,,,,,,,Annex B
Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Energy and Climate Change,Department of Energy and Climate Change,27/07/2011 ,Application Support Service,Operations - Finance and Procurement,PARITY RESOURCES LTD,1032142,"1,269.45 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/07/2011 ,Application Support Service,Operations - Finance and Procurement,PARITY RESOURCES LTD,1032143,"1,269.45 "
Department of Energy and Climate Change,Department of Energy and Climate Change,27/07/2011 ,Application Support Service,Operations - Finance and Procurement,PARITY RESOURCES LTD,1032143,"1,269.45 "
Department of Energy and Climate Change,Department of Energy and Climate Change,29/07/2011 ,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",MORGAN HUNT UK LTD,1032284,"1,764.66 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/07/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,AIR CONDITIONING CONTRACTORS OF AMERICA,4023858,"4,638.75 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/07/2011 ,Local IT Consultancy,National Climate Change & Consumer Support - Communications,AMEE UK LTD,4024803,"9,000.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/07/2011 ,Cash Expenditure During the Year - British Energy,Corporate Support & Shared Services - Corporate Support & Shared Services,NUCLEAR DECOMMISSIONING AUTHORITY,4025442,"15,411,270.26 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/07/2011 ,Cash Expenditure During the Year - British Energy,Corporate Support & Shared Services - Corporate Support & Shared Services,NUCLEAR DECOMMISSIONING AUTHORITY,4025443,"4,180,232.56 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/07/2011 ,Cash Expenditure During the Year - British Energy,Corporate Support & Shared Services - Corporate Support & Shared Services,NUCLEAR DECOMMISSIONING AUTHORITY,4025503,"17,432.16 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/07/2011 ,Cash Expenditure During the Year - British Energy,Corporate Support & Shared Services - Corporate Support & Shared Services,NUCLEAR DECOMMISSIONING AUTHORITY,4025504,"63,622.14 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/07/2011 ,Cash Expenditure During the Year - British Energy,Corporate Support & Shared Services - Corporate Support & Shared Services,NUCLEAR DECOMMISSIONING AUTHORITY,4025505,"64,267.18 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/07/2011 ,Cash Expenditure During the Year - British Energy,Corporate Support & Shared Services - Corporate Support & Shared Services,NUCLEAR DECOMMISSIONING AUTHORITY,4025506,"234,555.79 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/07/2011 ,Salaries - Permanent (Programme),Energy Markets & Infrastructure - Security and resilience,FOREIGN AND COMMONWEALTH OFFICE (FCO),4025778,"1,179.94 "
Department of Energy and Climate Change,Department of Energy and Climate Change,11/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),EMI - Energy Strategy & Futures/Electricity Market Reform,ADECCO UK LTD,4026141,540.16 
Department of Energy and Climate Change,Department of Energy and Climate Change,05/07/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",DELOITTE LLP,4026201,"10,604.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/07/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",DELOITTE LLP,4026202,"10,604.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/07/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",DELOITTE LLP,4026203,"10,604.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,05/07/2011 ,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",DELOITTE LLP,4026204,"10,604.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,11/07/2011 ,External Training,National Climate Change & Consumer Support - National Climate Change,NATIONAL SCHOOL OF GOVERNMENT (CMPS),4026231,"1,350.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,21/07/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,MET OFFICE,4026268,"1,372,166.60 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/07/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,QA LTD,4026287,895.00 
Department of Energy and Climate Change,Department of Energy and Climate Change,05/07/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,AIR CONDITIONING CONTRACTORS OF AMERICA,4026290,"4,548.00 "
Department of Energy and Climate Change,Department of Energy and Climate Change,11/07/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),EMI - Energy Strategy & Futures/Electricity Market Reform,ADECCO UK LTD,4026297,585.36 
