Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Energy and Climate Change,Department of Energy and Climate Change,18-Aug-2011,Project Management Costs (Programme),EMI - ORED,AEA TECHNOLOGY plc,4026076,"12,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,01-Aug-2011,Cash Expenditure During the Year - British Energy,Corporate Support & Shared Services - Corporate Support & Shared Services,NUCLEAR DECOMMISSIONING AUTHORITY,4026292,"15,366,283.23"
Department of Energy and Climate Change,Department of Energy and Climate Change,01-Aug-2011,Cash Expenditure During the Year - British Energy,Operations - Finance and Procurement,NUCLEAR DECOMMISSIONING AUTHORITY,4026293,"4,168,030.05"
Department of Energy and Climate Change,Department of Energy and Climate Change,16-Aug-2011,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,AMTEC Consulting plc,4026643,"21,510.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,08-Aug-2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4026716,633.41
Department of Energy and Climate Change,Department of Energy and Climate Change,08-Aug-2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4026725,645.74
Department of Energy and Climate Change,Department of Energy and Climate Change,02-Aug-2011,Hire of Agency Staff (Professional/Management),Operations - HR,METHODS CONSULTING LTD,4026789,"14,916.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,10-Aug-2011,Professional Training,ICCEE - International Climate Change,PINPOINT FACILITATION LTD,4026836,"2,500.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,02-Aug-2011,External Legal Advice and Services,Operations - Legal,LANDMARK CHAMBERS,4026853,"1,035.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,04-Aug-2011,Other Publication Costs,ICCEE - International Climate Change,ECOFYS GERMANY GMBH,4026857,"19,443.66"
Department of Energy and Climate Change,Department of Energy and Climate Change,11-Aug-2011,Salaries - Permanent (Programme),Energy Markets & Infrastructure - Security and resilience,FOREIGN AND COMMONWEALTH OFFICE (FCO),4026874,"1,523.44"
Department of Energy and Climate Change,Department of Energy and Climate Change,11-Aug-2011,Salaries - Permanent (Programme),Energy Markets & Infrastructure - Security and resilience,FOREIGN AND COMMONWEALTH OFFICE (FCO),4026876,587.99
Department of Energy and Climate Change,Department of Energy and Climate Change,01-Aug-2011,Capital Grants to Private Sector - Not Own Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",CARILLION ENERGY SERVICES LTD,4026934,"8,040,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,09-Aug-2011,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,MET OFFICE,4026946,"1,372,166.60"
