Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,08-Sep-2011 ,Finance & Accounting Advice,ICCEE - International Climate Change,ACADENT LTD,4028108,510.00 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,15-Sep-2011 ,Contributions (Programme),EMI - Energy Development,ACHILLES INFORMATION LTD T/A FIRST POINT ASSESSMENT,4028275,750.00 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,20-Sep-2011 ,Telecommunications,Operations - Finance and Procurement,ACT TELECONFERENCING LTD,4028319,"1,357.37 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,08-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),ICCEE - Fuel Poverty & Smart Meters,ADECCO UK LTD,4028033,735.53 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,13-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Economics,ADECCO UK LTD,4028034,596.74 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,08-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),ICCEE - Fuel Poverty & Smart Meters,ADECCO UK LTD,4028113,711.34 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,09-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Economics,ADECCO UK LTD,4028149,645.12 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Economics,ADECCO UK LTD,4028204,645.12 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,13-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),ICCEE - Heat & Industry,ADECCO UK LTD,4028210,918.24 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,21-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),ICCEE - Fuel Poverty & Smart Meters,ADECCO UK LTD,4028398,740.36 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,21-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),EMI - Energy Strategy & Futures/Electricity Market Reform,ADECCO UK LTD,4028399,819.50 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Operations - Economics,ADECCO UK LTD,4028400,669.31 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,28-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),ICCEE - Heat & Industry,ADECCO UK LTD,4028568,837.90 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,28-Sep-2011 ,Hire of Agency Staff (Professional/Management),Private Office - Private Office,ADECCO UK LTD,4028581,"1,021.55 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,28-Sep-2011 ,Hire of Agency Staff (Professional/Management),Private Office - Private Office,ADECCO UK LTD,4028582,975.64 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,28-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),EMI - Energy Strategy & Futures/Electricity Market Reform,ADECCO UK LTD,4028584,780.48 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Sep-2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),ICCEE - Fuel Poverty & Smart Meters,ADECCO UK LTD,4028585,740.36 ,,,
Department of Energy and Climate Change,Department of Energy and Climate Change,21-Sep-2011 ,Project Management Costs (Programme),ICCEE - Heat & Industry,AEA TECHNOLOGY ENVIRONMENT,4028410,"16,945.20 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,13-Sep-2011 ,Research & Development Expenditure (Programme),SEG Including Strategy - Energy Innovation Policy,AEA TECHNOLOGY plc,4027774,"8,923.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,16-Sep-2011 ,Technical Advice,ICCEE - Heat & Industry,AEA TECHNOLOGY plc,4028138,"24,930.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,13-Sep-2011 ,External Training,Operations - HR,AEA TECHNOLOGY plc,4028176,"5,149.29 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,14-Sep-2011 ,Outsourced Programme Management Services,ICCEE - Heat & Industry,AEA TECHNOLOGY plc,4028271,"85,963.39 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,22-Sep-2011 ,IT Software Licences,SEG Including Strategy - Strategy Inc Committee on Climate Change,AEA TECHNOLOGY plc,4028437,"3,852.00 ",,,
Department of Energy and Climate Change,Department of Energy and Climate Change,30-Sep-2011 ,Economic Consultancy and Research,Operations - Economics,AEA TECHNOLOGY plc,4028695,"17,873.25 ",,,
