Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Energy and Climate Change,Department of Energy and Climate Change,12-Oct-2011,Hire of Conference Facilities (Programme),EMI - Energy Development,ABERDEEN EXHIBITION AND CONFERENCE CENTRE LTD,4028986,842.58
Department of Energy and Climate Change,Department of Energy and Climate Change,14-Oct-2011,Hire of Conference Facilities (Programme),EMI - Energy Development,ABERDEEN EXHIBITION AND CONFERENCE CENTRE LTD,4029065,"1,738.82"
Department of Energy and Climate Change,Department of Energy and Climate Change,03-Oct-2011,Contributions (Programme),EMI - Energy Development,ACHILLES INFORMATION LTD T/A FIRST POINT ASSESSMENT,4028749,750
Department of Energy and Climate Change,Department of Energy and Climate Change,14-Oct-2011,Contributions (Programme),EMI - Energy Development,ACHILLES INFORMATION LTD T/A FIRST POINT ASSESSMENT,4029059,750
Department of Energy and Climate Change,Department of Energy and Climate Change,14-Oct-2011,Telecommunications,Operations - Finance and Procurement,ACT TELECONFERENCING LTD,4029002,"1,968.79"
Department of Energy and Climate Change,Department of Energy and Climate Change,31-Oct-2011,Telecommunications,Operations - Finance and Procurement,ACT TELECONFERENCING LTD,4029472,"1,791.34"
Department of Energy and Climate Change,Department of Energy and Climate Change,10-Oct-2011,Hire of Agency Staff (Professional/Management),Private Office - Private Office,ADECCO UK LTD,4028917,872.33
Department of Energy and Climate Change,Department of Energy and Climate Change,10-Oct-2011,Hire of Agency Staff (Clerical/Secretariat/Other),EMI - Energy Markets and Networks,ADECCO UK LTD,4028925,502.44
Department of Energy and Climate Change,Department of Energy and Climate Change,10-Oct-2011,Hire of Agency Staff (Professional/Management),Private Office - Private Office,ADECCO UK LTD,4028926,654.66
Department of Energy and Climate Change,Department of Energy and Climate Change,10-Oct-2011,Hire of Agency Staff (Professional/Management),Private Office - Private Office,ADECCO UK LTD,4028927,667.4
Department of Energy and Climate Change,Department of Energy and Climate Change,10-Oct-2011,Hire of Agency Staff (Clerical/Secretariat/Other),ICCEE - Heat & Industry,ADECCO UK LTD,4028928,659.99
Department of Energy and Climate Change,Department of Energy and Climate Change,20-Oct-2011,Hire of Agency Staff (Clerical/Secretariat/Other),SEG Including Strategy - Economics,ADECCO UK LTD,4029166,665.28
Department of Energy and Climate Change,Department of Energy and Climate Change,19-Oct-2011,Hire of Agency Staff (Professional/Management),Private Office - Private Office,ADECCO UK LTD,4029167,527.12
Department of Energy and Climate Change,Department of Energy and Climate Change,19-Oct-2011,Hire of Agency Staff (Professional/Management),Private Office - Private Office,ADECCO UK LTD,4029169,883.81
Department of Energy and Climate Change,Department of Energy and Climate Change,20-Oct-2011,Hire of Agency Staff (Clerical/Secretariat/Other),EMI - Energy Markets and Networks,ADECCO UK LTD,4029175,624.38
Department of Energy and Climate Change,Department of Energy and Climate Change,20-Oct-2011,Hire of Agency Staff (Clerical/Secretariat/Other),ICCEE - Heat & Industry,ADECCO UK LTD,4029180,642.77
Department of Energy and Climate Change,Department of Energy and Climate Change,24-Oct-2011,Hire of Agency Staff (Clerical/Secretariat/Other),ICCEE - Fuel Poverty & Smart Meters,ADECCO UK LTD,4029181,725.86
Department of Energy and Climate Change,Department of Energy and Climate Change,07-Oct-2011,Outsourced Programme Management Services,EMI - ORED,AEA TECHNOLOGY ENVIRONMENT,4028694,"30,581.10"
Department of Energy and Climate Change,Department of Energy and Climate Change,31-Oct-2011,Research & Development Expenditure (Programme),SEG Including Strategy - Energy Innovation Policy,AEA TECHNOLOGY ENVIRONMENT,4029457,"43,946.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,04-Oct-2011,Capital Grants to Private Sector - Own Asset Creation,EMI - ORED,AEA TECHNOLOGY plc,4028794,"116,158.43"
Department of Energy and Climate Change,Department of Energy and Climate Change,05-Oct-2011,Research & Development Expenditure (Programme),SEG Including Strategy - Energy Innovation Policy,AEA TECHNOLOGY plc,4028813,"44,245.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,28-Oct-2011,Research & Development Expenditure (Programme),SEG Including Strategy - Energy Innovation Policy,AEA TECHNOLOGY plc,4028814,"22,306.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,06-Oct-2011,Outsourced Programme Management Services,ICCEE - Heat & Industry,AEA TECHNOLOGY plc,4028838,"87,926.27"
Department of Energy and Climate Change,Department of Energy and Climate Change,07-Oct-2011,External Training,Operations - HR,AEA TECHNOLOGY plc,4028850,"7,549.14"
Department of Energy and Climate Change,Department of Energy and Climate Change,28-Oct-2011,Research & Development Expenditure (Programme),SEG Including Strategy - Economics,AEA TECHNOLOGY plc,4028935,"20,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,13-Oct-2011,Technical Advice,ICCEE - Heat & Industry,AEA TECHNOLOGY plc,4029006,"27,973.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,28-Oct-2011,Research & Development Expenditure (Programme),SEG Including Strategy - Energy Innovation Policy,AEA TECHNOLOGY plc,4029010,"3,320.79"
Department of Energy and Climate Change,Department of Energy and Climate Change,04-Oct-2011,Technical Support,ICCEE - Heat & Industry,AETHER LTD,4028798,"2,886.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,28-Oct-2011,Recruitment Consultancy Costs,Operations - Finance and Procurement,ALLEN LANE LTD,4029460,"10,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,28-Oct-2011,IT Maintenance and Management Services,Operations - Communications,AMEE UK LTD,4028448,"9,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,17-Oct-2011,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,AMTEC CONSULTING PLC,4028829,"19,900.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,17-Oct-2011,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,AMTEC CONSULTING PLC,4028830,"23,900.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,17-Oct-2011,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,AMTEC CONSULTING PLC,4029043,"17,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,19-Oct-2011,Consultancy Advice Provided From Third Parties,ICCEE - Fuel Poverty & Smart Meters,AMTEC CONSULTING PLC,4029170,"25,812.00"
