Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, 
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,Computer Consumables,Corporate Support & Shared Services - Corporate Support & Shared Services,XMA LTD,4013548," £5,761 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,Computer Consumables,Corporate Support & Shared Services - Corporate Support & Shared Services,XMA LTD,4013548," £5,638 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,Estates Consultancy,DECC Central Budgets - DECC Central Budgets,VEGA CONSULTING SERVICES LTD,4013575," £18,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,Estates Consultancy,DECC Central Budgets - DECC Central Budgets,VEGA CONSULTING SERVICES LTD,4013575," £18,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,Independent Experts,Energy Markets & Infrastructure - Office of Nuclear Development,U M C LTD,4013544," £2,688 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,Corporate Management Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,RHODEN GREEN COMMUNICATIONS,4013584," £8,284 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,Cash Expenditure During the Year - British Energy,Energy Markets & Infrastructure - Office of Nuclear Development,NUCLEAR DECOMMISSIONING AUTHORITY,4011974," £14,254,461 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,Cash Expenditure During the Year - British Energy,Energy Markets & Infrastructure - Office of Nuclear Development,NUCLEAR DECOMMISSIONING AUTHORITY,4011975," £3,866,454 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,Capital Grants to the Private Sector - Resource Expenditure,Science & Innovation Group - Science & Innovation Group,MICROCAB INDUSTRIES LTD,4013576," £2,769 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,Hospitality - UK,Energy Markets & Infrastructure - Energy Strategy and Futures,LEITHS AT SOMERSET HOUSE,4013466," £1,840 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,Estates Consultancy,DECC Central Budgets - DECC Central Budgets,JUDD FARRIS LTD,4013582," £1,394 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4013501," £5,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,Capital Grants to the Private Sector - Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EAGA PLC,4013465," £34,000,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,EA TECHNOLOGY LTD,4013545," £7,500 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,Hire of Agency Staff (Professional/Management),DECC Central Budgets - DECC Central Budgets,COI COMMUNICATIONS,4013556," £12,161 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,994481," £10,286 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,994480," £8,259 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,Other Media Costs,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4013555," £5,299 "
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,Recruitment Consultancy Costs,DECC Central Budgets - DECC Central Budgets,COI COMMUNICATIONS,4013556, £518 
Department of Energy and Climate Change,Department of Energy and Climate Change,04/05/2010,PR & Marketing Advice & Services,National Climate Change & Consumer Support - Communications,CENTRAL OFFICE OF INFORMATION [COI],4013562," £17,826 "
