Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount In Sterling,SUPPLIER_NUMBER
Department For Energy and Climate Change,Department For Energy and Climate Change,01/06/2010,Cash Expenditure During the Year - British Energy,Energy Markets & Infrastructure - Office of Nuclear Development,NUCLEAR DECOMMISSIONING AUTHORITY,4013311,"£14,357,288",10573
Department For Energy and Climate Change,Department For Energy and Climate Change,02/06/2010,Capital Grants to the Private Sector - Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4014449,"£3,904,384",8439
Department For Energy and Climate Change,Department For Energy and Climate Change,01/06/2010,Cash Expenditure During the Year - British Energy,Energy Markets & Infrastructure - Office of Nuclear Development,NUCLEAR DECOMMISSIONING AUTHORITY,4013312,"£3,894,345",10573
Department For Energy and Climate Change,Department For Energy and Climate Change,01/06/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4014495,"£3,578,000",127244
Department For Energy and Climate Change,Department For Energy and Climate Change,29/06/2010,Capital Grants to the Private Sector - Resource Expenditure,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EAGA PLC,4015356,"£2,857,975",11205
Department For Energy and Climate Change,Department For Energy and Climate Change,02/06/2010,Grants - Statutory - Current - Other,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4014451,"£2,747,708",8439
Department For Energy and Climate Change,Department For Energy and Climate Change,09/06/2010,Research & Development Expenditure (Programme),Energy Markets & Infrastructure - DECC Commercial Team,SCOTTISH POWER GENERATION LTD,4014748,"£1,978,168",36639
Department For Energy and Climate Change,Department For Energy and Climate Change,29/06/2010,Grants - Non Statutory - Current - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4015363,"£1,927,283",127244
Department For Energy and Climate Change,Department For Energy and Climate Change,02/06/2010,Grants - Statutory - Current - Other,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4014451,"£1,800,626",8439
Department For Energy and Climate Change,Department For Energy and Climate Change,01/06/2010,Grants - Non Statutory - Current - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4014468,"£1,788,516",127244
Department For Energy and Climate Change,Department For Energy and Climate Change,22/06/2010,Capital Grants - Other,National Climate Change & Consumer Support - National Climate Change,ENVIRONMENT AGENCY,4015152,"£1,746,317",128813
