Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount In Sterling,SUPPLIER_NUMBER
Department For Energy and Climate Change,Department For Energy and Climate Change,01/07/2010,Capital Grants to the Private Sector - Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EAGA PLC,4015354,"£24,000,000",11205
Department For Energy and Climate Change,Department For Energy and Climate Change,30/07/2010,Capital Grants to the Private Sector - Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EAGA PLC,4016188,"£24,000,000",11205
Department For Energy and Climate Change,Department For Energy and Climate Change,01/07/2010,Cash Expenditure During the Year - British Energy,Energy Markets & Infrastructure - Office of Nuclear Development,NUCLEAR DECOMMISSIONING AUTHORITY,4014259,"£14,633,637",10573
Department For Energy and Climate Change,Department For Energy and Climate Change,01/07/2010,Capital Grants to the Private Sector - Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4015398,"£5,786,131",8439
Department For Energy and Climate Change,Department For Energy and Climate Change,01/07/2010,Cash Expenditure During the Year - British Energy,Energy Markets & Infrastructure - Office of Nuclear Development,NUCLEAR DECOMMISSIONING AUTHORITY,4014258,"£3,969,303",10573
Department For Energy and Climate Change,Department For Energy and Climate Change,21/07/2010,Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4016000,"£3,083,463",8439
Department For Energy and Climate Change,Department For Energy and Climate Change,21/07/2010,Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4016006,"£2,981,960",8439
Department For Energy and Climate Change,Department For Energy and Climate Change,30/07/2010,Capital Grants to the Private Sector - Resource Expenditure,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EAGA PLC,4016187,"£2,653,618",11205
Department For Energy and Climate Change,Department For Energy and Climate Change,29/07/2010,Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,THE ENERGY SAVING TRUST LTD,4016201,"£2,625,371",127244
Department For Energy and Climate Change,Department For Energy and Climate Change,30/07/2010,Contributions (Programme),Energy & Climate Change International - International Energy & Carbon Budgets,RENEWABLE ENERGY & EFFICIENCY PARTNERSHIP,4016253,"£2,500,000",32797
Department For Energy and Climate Change,Department For Energy and Climate Change,07/07/2010,Cash Expenditure during the Year - Concessionary Fuel,Energy Markets & Infrastructure - Energy Development Unit,CPL FUELS,4015607,"£2,007,204",162499
Department For Energy and Climate Change,Department For Energy and Climate Change,01/07/2010,Grants - Statutory - Current - Other,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4015399,"£1,491,874",8439
Department For Energy and Climate Change,Department For Energy and Climate Change,13/07/2010,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,MET OFFICE,4015762,"£1,475,828",118721
Department For Energy and Climate Change,Department For Energy and Climate Change,30/07/2010,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,MET OFFICE,4016220,"£1,475,828",118721
Department For Energy and Climate Change,Department For Energy and Climate Change,21/07/2010,Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4016003,"£1,113,476",8439
Department For Energy and Climate Change,Department For Energy and Climate Change,21/07/2010,Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4016003,"£1,113,470",8439
Department For Energy and Climate Change,Department For Energy and Climate Change,30/07/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4016284,"£1,028,592",127244
Department For Energy and Climate Change,Department For Energy and Climate Change,28/07/2010,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,MINISTRY OF DEFENCE,4016028,"£1,000,000",101255
Department For Energy and Climate Change,Department For Energy and Climate Change,30/07/2010,Capital Grants to the Private Sector - Resource Expenditure,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EAGA PLC,4016186,"£893,663",11205
Department For Energy and Climate Change,Department For Energy and Climate Change,29/07/2010,Research & Development Expenditure (Programme),Energy Markets & Infrastructure - DECC Commercial Team,E.ON UK PLC,4015987,"£883,786",30590
