Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount In Sterling,SUPPLIER_NUMBER
Department For Energy and Climate Change,Department For Energy and Climate Change,02/08/2010,Cash Expenditure During the Year - British Energy,Energy Markets & Infrastructure - Office of Nuclear Development,NUCLEAR DECOMMISSIONING AUTHORITY,4015285,"£14,652,918",10573
Department For Energy and Climate Change,Department For Energy and Climate Change,04/08/2010,Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - National Climate Change,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,4016369,"£9,692,000",26095
Department For Energy and Climate Change,Department For Energy and Climate Change,04/08/2010,Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - National Climate Change,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,4016369,"£9,692,000",26095
Department For Energy and Climate Change,Department For Energy and Climate Change,20/08/2010,Capital Grants to the Private Sector - Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4016911,"£4,263,878",8439
Department For Energy and Climate Change,Department For Energy and Climate Change,02/08/2010,Cash Expenditure During the Year - British Energy,Energy Markets & Infrastructure - Office of Nuclear Development,NUCLEAR DECOMMISSIONING AUTHORITY,4015286,"£3,974,533",10573
Department For Energy and Climate Change,Department For Energy and Climate Change,27/08/2010,Capital Grants to the Private Sector - Resource Expenditure,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EAGA PLC,4017025,"£2,601,545",11205
Department For Energy and Climate Change,Department For Energy and Climate Change,09/08/2010,Capital Grants to the Private Sector - Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4016514,"£2,069,752",8439
Department For Energy and Climate Change,Department For Energy and Climate Change,02/08/2010,Capital Grants to the Private Sector - Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4016011,"£2,000,000",8439
Department For Energy and Climate Change,Department For Energy and Climate Change,18/08/2010,Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,THE ENERGY SAVING TRUST LTD,4016824,"£1,935,904",127244
Department For Energy and Climate Change,Department For Energy and Climate Change,02/08/2010,Capital Grants to the Private Sector - Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4016011,"£1,652,331",8439
Department For Energy and Climate Change,Department For Energy and Climate Change,12/08/2010,Cash Expenditure during the Year - Concessionary Fuel,Energy Markets & Infrastructure - Energy Development Unit,CPL FUELS,4016477,"£1,560,784",162499
Department For Energy and Climate Change,Department For Energy and Climate Change,02/08/2010,Grants - Statutory - Current - Other,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4016014,"£1,553,885",8439
Department For Energy and Climate Change,Department For Energy and Climate Change,26/08/2010,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,MET OFFICE,4016997,"£1,475,828",118721
Department For Energy and Climate Change,Department For Energy and Climate Change,23/08/2010,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,THE WASTE & RESOURCES ACTION PROGRAMME (WRAP),4016931,"£1,315,326",29039
Department For Energy and Climate Change,Department For Energy and Climate Change,02/08/2010,Grants - Statutory - Current - Other,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4016014,"£1,107,911",8439
Department For Energy and Climate Change,Department For Energy and Climate Change,02/08/2010,Capital Grants to the Private Sector - Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4016014,"£1,094,949",8439
Department For Energy and Climate Change,Department For Energy and Climate Change,27/08/2010,Capital Grants to the Private Sector - Resource Expenditure,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EAGA PLC,4017023,"£1,026,631",11205
Department For Energy and Climate Change,Department For Energy and Climate Change,02/08/2010,Grants - Statutory - Current - Other,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4016014,"£964,062",8439
Department For Energy and Climate Change,Department For Energy and Climate Change,04/08/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4016322,"£652,737",127244
Department For Energy and Climate Change,Department For Energy and Climate Change,02/08/2010,Capital Grants to the Private Sector - Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4016011,"£519,956",8439
Department For Energy and Climate Change,Department For Energy and Climate Change,12/08/2010,Administration of Grants and Awards,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4016544,"£500,000",127244
Department For Energy and Climate Change,Department For Energy and Climate Change,12/08/2010,Administration of Grants and Awards,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4016544,"£500,000",127244
Department For Energy and Climate Change,Department For Energy and Climate Change,09/08/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4016525,"£408,263",127244
Department For Energy and Climate Change,Department For Energy and Climate Change,09/08/2010,Administration of Grants and Awards,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4016525,"£408,263",127244
