Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount In Sterling,SUPPLIER_NUMBER
Department for Energy and Climate Change,Department for Energy and Climate Change,01/09/2010,Capital Grants to the Private Sector - Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EAGA PLC,4017114,"£24,000,000",
Department for Energy and Climate Change,Department for Energy and Climate Change,01/09/2010,Cash Expenditure During the Year - British Energy,Energy Markets & Infrastructure - Office of Nuclear Development,NUCLEAR DECOMMISSIONING AUTHORITY,4016023,"£14,620,784",
Department for Energy and Climate Change,Department for Energy and Climate Change,30/09/2010,Capital Grants to the Private Sector - Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EAGA PLC,4017973,"£14,300,000",
Department for Energy and Climate Change,Department for Energy and Climate Change,27/09/2010,Capital Grants to the Private Sector - Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4017861,"£9,817,785",
Department for Energy and Climate Change,Department for Energy and Climate Change,16/09/2010,Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - National Climate Change,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,4017603,"£8,776,250",
Department for Energy and Climate Change,Department for Energy and Climate Change,01/09/2010,Cash Expenditure During the Year - British Energy,Energy Markets & Infrastructure - Office of Nuclear Development,NUCLEAR DECOMMISSIONING AUTHORITY,4016024,"£3,965,817",
Department for Energy and Climate Change,Department for Energy and Climate Change,06/09/2010,Research & Development Expenditure (Programme),Energy Markets & Infrastructure - DECC Commercial Team,SCOTTISH POWER GENERATION LTD,4017281,"£2,831,678",
Department for Energy and Climate Change,Department for Energy and Climate Change,30/09/2010,Capital Grants to the Private Sector - Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4017976,"£2,561,734",
Department for Energy and Climate Change,Department for Energy and Climate Change,29/09/2010,Capital Grants to the Private Sector - Resource Expenditure,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EAGA PLC,4017947,"£2,404,014",
Department for Energy and Climate Change,Department for Energy and Climate Change,30/09/2010,Grants - Statutory - Current - Other,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4017976,"£2,152,879",
Department for Energy and Climate Change,Department for Energy and Climate Change,06/09/2010,Research & Development Expenditure (Programme),Energy Markets & Infrastructure - DECC Commercial Team,SCOTTISH POWER GENERATION LTD,4017281,"£2,000,120",
Department for Energy and Climate Change,Department for Energy and Climate Change,10/09/2010,Accommodation Rentals,Corporate Support & Shared Services - Corporate Support & Shared Services,DTZ DEBENHAM TIE LEUNG,4017422,"£1,935,575",
Department for Energy and Climate Change,Department for Energy and Climate Change,08/09/2010,Accommodation Rentals,Corporate Support & Shared Services - Corporate Support & Shared Services,DTZ DEBENHAM TIE LEUNG,4016977,"£1,844,661",
Department for Energy and Climate Change,Department for Energy and Climate Change,23/09/2010,Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,THE ENERGY SAVING TRUST LTD,4017806,"£1,785,806",
Department for Energy and Climate Change,Department for Energy and Climate Change,30/09/2010,Grants - Statutory - Current - Other,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4017976,"£1,715,461",
Department for Energy and Climate Change,Department for Energy and Climate Change,30/09/2010,Capital Grants to the Private Sector - Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4017979,"£1,545,795",
Department for Energy and Climate Change,Department for Energy and Climate Change,15/09/2010,Maintenance of IT Equipment (Programme),Energy Markets & Infrastructure - Security and resilience,MET OFFICE,4017556,"£1,443,166",
Department for Energy and Climate Change,Department for Energy and Climate Change,09/09/2010,Cash Expenditure during the Year - Concessionary Fuel,Energy Markets & Infrastructure - Energy Development Unit,CPL FUELS,4017212,"£1,315,746",
Department for Energy and Climate Change,Department for Energy and Climate Change,30/09/2010,Capital Grants to the Private Sector - Asset Creation,National Climate Change & Consumer Support - National Climate Change,THE CARBON TRUST,4017979,"£1,239,697",
Department for Energy and Climate Change,Department for Energy and Climate Change,15/09/2010,Maintenance of IT Equipment (Programme),Energy Markets & Infrastructure - Security and resilience,MET OFFICE,4017556,"£1,228,226",
