Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,
Department for Transport,Department for Transport,01/12/2014,Agency Staff Costs,Group Human Resource,CAPITA BUSINESS SERVICES LTD,2000018067,2274,#,DL1 9HN,
Department for Transport,Department for Transport,01/12/2014,Agency Staff Costs,Rail Commercial & Programme Office,BROOK STREET (UK) LIMITED,2000018072,519.74,#,AL1 4JB,
Department for Transport,Department for Transport,01/12/2014,Agency Staff Costs,Rail Commercial & Programme Office,CAPITA BUSINESS SERVICES LTD,2000018067,8568.72,#,DL1 9HN,
Department for Transport,Department for Transport,01/12/2014,Agency Staff Costs,Group Finance,CAPITA BUSINESS SERVICES LTD,2000018067,2144.11,#,DL1 9HN,
Department for Transport,Department for Transport,01/12/2014,Agency Staff Costs,Rail Commercial & Programme Office,CAPITA BUSINESS SERVICES LTD,2000018067,2310.34,#,DL1 9HN,
Department for Transport,Department for Transport,01/12/2014,Agency Staff Costs,Rail Franchising,CAPITA BUSINESS SERVICES LTD,2000018067,8900.28,#,DL1 9HN,
Department for Transport,Department for Transport,01/12/2014,Agency Staff Costs,Rail Strategy & Funding,CAPITA BUSINESS SERVICES LTD,2000018067,4510.62,#,DL1 9HN,
Department for Transport,Department for Transport,01/12/2014,Agency Staff Costs,Rail Strategy & Funding,CAPITA BUSINESS SERVICES LTD,2000018067,10572.84,#,DL1 9HN,
Department for Transport,Department for Transport,01/12/2014,Agency Staff Costs,Rail Franchising,CAPITA BUSINESS SERVICES LTD,2000018067,2030.64,#,DL1 9HN,
Department for Transport,Department for Transport,01/12/2014,Agency Staff Costs,Rail Strategy & Funding,CAPITA BUSINESS SERVICES LTD,2000018067,4510.62,#,DL1 9HN,
Department for Transport,Department for Transport,01/12/2014,Agency Staff Costs,Rail Strategy & Funding,CAPITA BUSINESS SERVICES LTD,2000018067,4510.62,#,DL1 9HN,
Department for Transport,Department for Transport,01/12/2014,Agency Staff Costs,Highspeed 2,Experis Ltd,2000018068,3286.94,#,EC2M 2RB,
Department for Transport,Department for Transport,01/12/2014,Agency Staff Costs,Rail Franchising,FIRST CLASS PARTNERSHIPS LTD,2000018075,39330,#,YO10 3EB,
Department for Transport,Department for Transport,01/12/2014,Agency Staff Costs,Highspeed 2,SPRING TECHNOLOGY LTD  ALSO T/A,2000018077,3720,#,B37 7YE,
Department for Transport,Department for Transport,01/12/2014,Cap Grt Pri Sec-Cos.,Network Rail Sponsorship,Network Rail Infstrcture (Treasury),2000018063,380000000,#,N1 9AG,
Department for Transport,Department for Transport,01/12/2014,Car Hire and Leasing,Motoring Services,LEX AUTOLEASE LTD,2000018066,760.1,#,BL9 8RT,
Department for Transport,Department for Transport,01/12/2014,Cars Maintenance,Motoring Services,THE PCC FOR AVON & SOMERSET,2000018089,682.77,#,BS20 8QJ,
Department for Transport,Department for Transport,01/12/2014,Computer equipment,Air Accident Investigation Branch,Novatech Ltd,2000018092,1560,NOVATECH CISCO TRANSCIEVER X2 15/10/14,PO6 4PU,
Department for Transport,Department for Transport,01/12/2014,Conferences / Semina,Portfolio Office,Principal Hayley Ltd T/A Troy,2000018069,6479.17,#,WC2B 5DA,
Department for Transport,Department for Transport,01/12/2014,CurrGrt Las in AEF/A,Local,DURHAM COUNTY COUNCIL,2000018065,476000,LSTF 2014-15 Revenue Q2,DH1 5UE,
Department for Transport,Department for Transport,01/12/2014,CurrGrt Las in AEF/A,Local,NORTH YORKSHIRE CC,2000018074,62687,LSTF 2014-15 Revenue Q2,DL7 8AL,
Department for Transport,Department for Transport,01/12/2014,CurrGrtPriSec-P&NPIS,Local,CarPlus Trust,2000018079,500000,Car Plus Grant Payment (#500k),LS1 4ND,
Department for Transport,Department for Transport,01/12/2014,CurrGrtPriSec-P&NPIS,Local,CTC,2000018080,240000,CTC - Propensity to Cycle Grant (#240k),GU2 9JX,
Department for Transport,Department for Transport,01/12/2014,Financial Consultanc,Rail Franchising,GRANT THORNTON UK LLP,2000018076,108557.87,#,NN4 7YE,
Department for Transport,Department for Transport,01/12/2014,Financial Consultanc,Rail Franchising,GRANT THORNTON UK LLP,2000018076,70173.78,#,NN4 7YE,
Department for Transport,Department for Transport,01/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,100021741,-1899.59,Credit May 2010 to June 2010 a/c No.20105593,WD17 1JW,
Department for Transport,Department for Transport,01/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,100021741,1899.59,Corona - 55 Victoria St Apr-May 2010,WD17 1JW,
Department for Transport,Department for Transport,01/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,100021742,-2827.38,"Credit incorrect match, Apr/-May10 20105593",WD17 1JW,
Department for Transport,Department for Transport,01/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,100021742,2827.38,Corona - 55 Victoria St Apr-May 2010,WD17 1JW,
Department for Transport,Department for Transport,01/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,100021743,-1250.33,Jul 10 to Aug 10 - Acc No. 20105593,WD17 1JW,
Department for Transport,Department for Transport,01/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,100021743,1250.33,Corona - 55 Victoria St July-Aug 2010,WD17 1JW,
Department for Transport,Department for Transport,01/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,100021744,-1349.33,June 2010 to Jul 2010 - Acc No. 20105593,WD17 1JW,
Department for Transport,Department for Transport,01/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,100021744,1349.33,Corona - 55 Victoria St June-July 2010,WD17 1JW,
Department for Transport,Department for Transport,01/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,100021745,-1508.88,Sep 10 to Oct 10 - Acc No.20105593,WD17 1JW,
Department for Transport,Department for Transport,01/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,100021745,1508.88,Corona - 55 Victoria St Sept-Oct 2010,WD17 1JW,
Department for Transport,Department for Transport,01/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,1500000022,-2580.01,Oct 2010 to Nov 2010 - Acc No. 20105593,WD17 1JW,
Department for Transport,Department for Transport,01/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,1500000022,-3421.17,Dec 2010 to Jan 2011 - Acc No. 20105593,WD17 1JW,
Department for Transport,Department for Transport,01/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,1500000022,-3492.52,Nov 2010 to Dec 2010 - Acc No. 20105593,WD17 1JW,
Department for Transport,Department for Transport,01/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,1500000022,-885.96,Apr 2012 to May 2012 Acc No. 20105593,WD17 1JW,
Department for Transport,Department for Transport,01/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,1500000022,-47768.34,Dec 2011 to Jan 2012 - Acc No. 20105593,WD17 1JW,
Department for Transport,Department for Transport,01/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,1500000022,-50908.24,Jan 2012 - Feb 2012 Acc No. 20105593,WD17 1JW,
Department for Transport,Department for Transport,01/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,1500000022,-3537.72,March 2011 Acc No. 20105593,WD17 1JW,
Department for Transport,Department for Transport,01/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,1500000022,-908.68,June 2011 to June 2011 - Acc No.20105593,WD17 1JW,
Department for Transport,Department for Transport,01/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,1500000022,-22219.14,Billing Apr 11 to May 11,WD17 1JW,
Department for Transport,Department for Transport,01/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,1500000022,-33055.5,Sept 2011 to Oct 2011 - Acc No.20105593,WD17 1JW,
Department for Transport,Department for Transport,01/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,1500000022,-39253.13,Gas Supplied to 55 Victoria St Oct 11 to Nov 11,WD17 1JW,
Department for Transport,Department for Transport,01/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,1500000022,-45030.47,Corona - Nov 11 to Dec 11 CREDIT,WD17 1JW,
Department for Transport,Department for Transport,01/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,1500000022,-3449.87,Gas Supplied to 55 Victoria St Feb 11 to March 11,WD17 1JW,
Department for Transport,Department for Transport,01/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,1500000022,-3299.53,Gas Supplied to 55 Victoria St Jan 11 to Feb 11,WD17 1JW,
Department for Transport,Department for Transport,01/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,1500000022,-1299.68,Corona - 01.08.2010,WD17 1JW,
Department for Transport,Department for Transport,01/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,1500000022,-33029.93,Corona - 01.05.2011,WD17 1JW,
Department for Transport,Department for Transport,01/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,1500000022,2918.77,Gas Supplied to 55 Victoria St April to May 2010,WD17 1JW,
Department for Transport,Department for Transport,01/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,1500000022,1953.43,20105593 May 10-June 10,WD17 1JW,
Department for Transport,Department for Transport,01/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,1500000022,960.87,Aug 10 - Sep 10 Acc No.20105593,WD17 1JW,
Department for Transport,Department for Transport,01/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,1500000022,1183.48,Jul 10 to Aug 10 - Acc No. 20105593,WD17 1JW,
Department for Transport,Department for Transport,01/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,1500000022,1848.87,Jun 2010 to Jul 2010 - Acc No. 20105593,WD17 1JW,
Department for Transport,Department for Transport,01/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,1500000022,3416.82,Dec 2010 to Jan 2011 Acc No. 20105593,WD17 1JW,
Department for Transport,Department for Transport,01/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,1500000022,3612.36,Nov 2010 to Dec 2010 - Acc No. 20105593,WD17 1JW,
Department for Transport,Department for Transport,01/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,1500000022,2661.33,Oct 2010 to Nov 2010  - Acc No. 20105593,WD17 1JW,
Department for Transport,Department for Transport,01/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,1500000022,3657.52,March 2011 Acc No. 20105593,WD17 1JW,
Department for Transport,Department for Transport,01/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,1500000022,3923.41,Billing May 11 to June 11,WD17 1JW,
Department for Transport,Department for Transport,01/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,1500000022,3878.99,Billing Apr 11 to May 11,WD17 1JW,
Department for Transport,Department for Transport,01/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,1500000022,3696.67,Billing Feb 11 to Mar 11,WD17 1JW,
Department for Transport,Department for Transport,01/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,1500000022,3397.62,Corona - Jan 11 to Feb 11 55 Victoria St,WD17 1JW,
Department for Transport,Department for Transport,01/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,1500000022,1548.09,Billing Sept 10 - Oct 10,WD17 1JW,
Department for Transport,Department for Transport,01/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,1500000022,4977.4,Corona - 55 Victoria St Nov-Dec 2011,WD17 1JW,
Department for Transport,Department for Transport,01/12/2014,Gas,Group Procurement & Estate,CORONA ENERGY RETAIL 4 LTD,1500000022,1295.65,Corona - 01.12.2013,WD17 1JW,
Department for Transport,Department for Transport,01/12/2014,Grt Aid to NDPBs,"Policy, Legislation and Funding",High Speed Two (HS2) Ltd,2000018004,5000000,HS2 Dec 14 1st Tranche,E14 5AB,
Department for Transport,Department for Transport,01/12/2014,L&B Excl Dwellings,Maritime,FAITHFUL & GOULD LTD,2000018095,3207.6,#,CF24 0AD,
Department for Transport,Department for Transport,01/12/2014,Legal Consultancy,Major Projects & Growth,HOGAN LOVELLS,2000018081,287915.76,#,EC1A 2FG,
Department for Transport,Department for Transport,01/12/2014,Legal Consultancy,Major Projects & Growth,HOGAN LOVELLS,2000018081,235147.05,#,EC1A 2FG,
Department for Transport,Department for Transport,01/12/2014,Legal Consultancy,Major Projects & Growth,HOGAN LOVELLS,2000018081,91486.2,#,EC1A 2FG,
