Account Name,Posted Date,Billing Amount,Merchant Name,Comments
DFT/HS2,11/08/2015,"£1,499.00",IND & PARLIAMENT TRST,Training Course 1 staff member over 1 day
DFT/HS2,27/08/2015,£540.00,WHITEHALL & INDUST,Training Course 1 staff member over 1 day
DFT/ISE,03/08/2015,£840.00,EML LEARNING,Attend 1 day training course
DFT/ISE,03/08/2015,£524.20,DOUBLETREE,Hotel Accommodation - 3 Nights
DFT/ISE,04/08/2015,£996.12,TUNISAIR,Return flights for two staff members
DFT/ISE,05/08/2015,£810.00,WWW.PRACADEMY.CO.UK,Online Training Course for 1 staff 
DFT/ISE,05/08/2015,£731.85,WWW.AEROSOCIETY.CO,Training course for 1 staff member over 2 days
DFT/ISE,11/08/2015,£616.27,HOTEL VILLA MANDARINE,Accommodation and meals for 1 person for 4 days
DFT/ISE,11/08/2015,£520.80,HOTEL VILLA MANDARINE,Accommodation and meals for 1 person for 4 days
DFT/ISE,12/08/2015,"£5,328.25",Pix4dEU,IT Software licence for accident site imagery 
DFT/ISE,12/08/2015,"£1,638.83",VODAFONE,Mobile Phone charges for 33 staff
DFT/ISE,12/08/2015,"£1,701.00",WWW.QA.COM,Training course for 1 staff x 5 days
DFT/ISE,14/08/2015,£820.00,ANDERSON TOURS TELE OR,Hire of two coaches for delegation visit
DFT/ISE,17/08/2015,£573.73,ACT International Soci,Attendance at conference for 1 staff member over 4 days
DFT/ISE,19/08/2015,£525.00,TREGLOS LTD,Accommodation for 4 staff members over night
DFT/ISE,19/08/2015,£547.35,D A PAK LTD,Health and Safety equipment 
DFT/ISE,19/08/2015,"£1,972.93",L-3 AVIATIONRECORDERS,Training course for 2 staff members over 4 days
DFT/ISE,20/08/2015,"£1,076.50",VIR ATL     2166248309,Return flights for two staff members
DFT/ISE,21/08/2015,"£5,975.00",BIRKBECK COLLEGE,Training
DFT/ISE,28/08/2015,"£2,249.05",BIKE SHOW INT.,Promotional stand for consumer information programme
DFT/R & S,05/08/2015,"£1,969.08",MYCSP LTD,Pensions staff Training
DFT/R & S,05/08/2015,"£1,140.00",MYCSP LTD,Pensions staff Training
DFT/R & S,05/08/2015,£999.96,MYCSP LTD,Pensions staff Training
DFT/R & S,05/08/2015,£834.00,MYCSP LTD,Pensions staff Training
DFT/R & S,05/08/2015,£834.00,MYCSP LTD,Pensions staff Training
DFT/R & S,05/08/2015,"£1,928.40",CIVIL SERVICE LEARNING,Training Course
DFT/R & S,07/08/2015,"£4,311.60",VENTURE MARKETING GROU,National Graduates Exhibition
DFT/R & S,10/08/2015,"£1,928.40",CIVIL SERVICE LEARNING,Training Course
DFT/R & S,10/08/2015,£846.00,CIVIL SERVICE LEARNING,Training Course
