Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,SumOfAmount
Department for Transport,British Transport Police,07/01/2011,LH BUILDINGS - ADDITIONS,CAPITAL CONTROL ACCOUNT,ATKINS LIMITED,229360,"40,363.00"
Department for Transport,British Transport Police,14/01/2011,IT HARDWARE PURCH (NONCAP),FHQ TECHNOLOGY MANAGER,AVENTE LTD,229932,"2,400.00"
Department for Transport,British Transport Police,14/01/2011,IT HARDWARE PURCH (NONCAP),FHQ TECHNOLOGY MANAGER,AVENTE LTD,229932,"104,520.00"
Department for Transport,British Transport Police,14/01/2011,IT HARDWARE MAINTENANCE,FHQ TECHNOLOGY MANAGER,AVENTE LTD,229933,"52,545.00"
Department for Transport,British Transport Police,28/01/2011,LH BUILDINGS - ADDITIONS,CAPITAL CONTROL ACCOUNT,Bellard Electronics Limited,231134,"68,489.05"
Department for Transport,British Transport Police,28/01/2011,ELECTRICITY,WN CARDIFF STAFF COSTS,BNP Paribas Real Estate Clients Account,230014,"-91,546.15"
Department for Transport,British Transport Police,28/01/2011,BUILDING RENTAL,WN CARDIFF STAFF COSTS,BNP Paribas Real Estate Clients Account,230040,"68,135.00"
Department for Transport,British Transport Police,28/01/2011,SERVICE CHARGES,WN CARDIFF STAFF COSTS,BNP Paribas Real Estate Clients Account,230040,"23,411.15"
Department for Transport,British Transport Police,07/01/2011,LH BUILDINGS - ADDITIONS,CAPITAL CONTROL ACCOUNT,BRITSPACE MODULAR BUILDING LIMITED,230050,"56,465.59"
Department for Transport,British Transport Police,07/01/2011,IT - ADDITIONS,CAPITAL CONTROL ACCOUNT,BT GLOBAL SERVICES,230092,"361,667.76"
Department for Transport,British Transport Police,07/01/2011,IT - ADDITIONS,CAPITAL CONTROL ACCOUNT,BT GLOBAL SERVICES,230092,"368,235.92"
Department for Transport,British Transport Police,22/01/2011,LH BUILDINGS - ADDITIONS,CAPITAL CONTROL ACCOUNT,BT REDCARE,229152,"727,362.20"
Department for Transport,British Transport Police,07/01/2011,BUILDING RENTAL,FHQ FACILITIES,Deauville Securites Ltd,229253,0
Department for Transport,British Transport Police,07/01/2011,BUILDING RENTAL,FHQ FACILITIES,Deauville Securites Ltd,229253,75.41
Department for Transport,British Transport Police,07/01/2011,BUILDING RENTAL,FHQ FACILITIES,Deauville Securites Ltd,229253,"163,394.56"
Department for Transport,British Transport Police,07/01/2011,BUILDING RENTAL,PDU CAMDEN ROAD,Elebro Limited,228989,"71,250.00"
Department for Transport,British Transport Police,22/01/2011,TELEPHONE CALLS,FHQ TECHNOLOGY MANAGER,GLOBAL CROSSING (UK) TELECOMMUNICATIONS,230380,"43,513.42"
Department for Transport,British Transport Police,22/01/2011,COMMS DATA,FHQ TECHNOLOGY MANAGER,GLOBAL CROSSING (UK) TELECOMMUNICATIONS,230475,"25,521.66"
Department for Transport,British Transport Police,22/01/2011,IT - ADDITIONS,CAPITAL CONTROL ACCOUNT,GLOBAL CROSSING (UK) TELECOMMUNICATIONS,230678,"1,102.00"
Department for Transport,British Transport Police,22/01/2011,IT - ADDITIONS,CAPITAL CONTROL ACCOUNT,GLOBAL CROSSING (UK) TELECOMMUNICATIONS,230678,"3,204.83"
Department for Transport,British Transport Police,22/01/2011,COMMS DATA,FHQ TECHNOLOGY MANAGER,GLOBAL CROSSING (UK) TELECOMMUNICATIONS,230678,"98,338.39"
Department for Transport,British Transport Police,22/01/2011,TRAINING-POLICE,LN TRAINING,HERTFORDSHIRE CONSTABULARY,231239,"26,180.00"
Department for Transport,British Transport Police,28/01/2011,IT - ADDITIONS,CAPITAL CONTROL ACCOUNT,INFOTERRA LTD,231359,"64,800.00"
Department for Transport,British Transport Police,14/01/2011,IT - ADDITIONS,CAPITAL CONTROL ACCOUNT,L8 Solutions,227693,50
Department for Transport,British Transport Police,14/01/2011,IT - ADDITIONS,CAPITAL CONTROL ACCOUNT,L8 Solutions,227693,"5,000.00"
Department for Transport,British Transport Police,14/01/2011,IT - ADDITIONS,CAPITAL CONTROL ACCOUNT,L8 Solutions,227693,"5,352.00"
Department for Transport,British Transport Police,14/01/2011,IT - ADDITIONS,CAPITAL CONTROL ACCOUNT,L8 Solutions,227693,"17,843.00"
Department for Transport,British Transport Police,14/01/2011,IT HARDWARE MAINTENANCE,50 DAYS OF CHANGE (IT),L8 Solutions,227693,"12,800.00"
Department for Transport,British Transport Police,14/01/2011,BUILDING RENTAL,LS AREA COMMAND,LONDON BRIDGE HOTEL LIMITED,230428,"52,629.00"
Department for Transport,British Transport Police,14/01/2011,IT SOFTWARE MAINTENANCE,FHQ TECHNOLOGY MANAGER,Memex Technology,229940,"125,000.00"
Department for Transport,British Transport Police,14/01/2011,TRAINING-POLICE,L&D BUSINESS ASSURANCE,NATIONAL POLICING IMPROVEMENT AGENCY,228644,"29,253.00"
Department for Transport,British Transport Police,14/01/2011,TRAINING-POLICE,L&D BUSINESS ASSURANCE,NATIONAL POLICING IMPROVEMENT AGENCY,228645,"-29,253.00"
Department for Transport,British Transport Police,21/01/2011,"CASH SEIZURES UNDER £1,000",FORCE BALANCE SHEET (EXCL.FAR),Note Machine,199787,"34,101.83"
Department for Transport,British Transport Police,22/01/2011,LH BUILDINGS - ADDITIONS,CAPITAL CONTROL ACCOUNT,OAKLAND BUILDING SERVICES LIMITED,231214,"33,650.11"
Department for Transport,British Transport Police,22/01/2011,LH BUILDINGS - ADDITIONS,CAPITAL CONTROL ACCOUNT,OAKLAND BUILDING SERVICES LIMITED,231230,"57,734.20"
Department for Transport,British Transport Police,22/01/2011,LH BUILDINGS - ADDITIONS,CAPITAL CONTROL ACCOUNT,OVERBURY PLC,228178,"46,427.31"
Department for Transport,British Transport Police,22/01/2011,LH BUILDINGS - ADDITIONS,CAPITAL CONTROL ACCOUNT,OVERBURY PLC,228178,"120,131.00"
Department for Transport,British Transport Police,07/01/2011,PRIVILEGED TRAVEL,LEADERSHIP & MGT DEV FACULTY,RAIL STAFF TRAVEL LIMITED,229029,"53,564.16"
Department for Transport,British Transport Police,22/01/2011,IT - ADDITIONS,CAPITAL CONTROL ACCOUNT,Software Box Ltd,231072,"3,000.00"
Department for Transport,British Transport Police,22/01/2011,IT - ADDITIONS,CAPITAL CONTROL ACCOUNT,Software Box Ltd,231072,"23,250.00"
Department for Transport,British Transport Police,22/01/2011,IT - ADDITIONS,CAPITAL CONTROL ACCOUNT,Software Box Ltd,231072,"33,800.00"
Department for Transport,British Transport Police,22/01/2011,IT - ADDITIONS,CAPITAL CONTROL ACCOUNT,Software Box Ltd,231072,"40,200.00"
Department for Transport,British Transport Police,22/01/2011,IT - ADDITIONS,CAPITAL CONTROL ACCOUNT,Software Box Ltd,231073,"63,433.00"
Department for Transport,British Transport Police,22/01/2011,IT - ADDITIONS,CAPITAL CONTROL ACCOUNT,Software Box Ltd,231073,"122,790.00"
Department for Transport,British Transport Police,22/01/2011,IT - ADDITIONS,CAPITAL CONTROL ACCOUNT,Software Box Ltd,231073,"175,650.00"
Department for Transport,British Transport Police,07/01/2011,LH BUILDINGS - ADDITIONS,CAPITAL CONTROL ACCOUNT,STRATEGIC TEAM GROUP CO LTD,230144,"42,924.73"
Department for Transport,British Transport Police,22/01/2011,IT HARDWARE MAINTENANCE,FHQ TECHNOLOGY MANAGER,Sungard Public Sector Ltd,228041,"-59,308.81"
Department for Transport,British Transport Police,22/01/2011,IT SOFTWARE MAINTENANCE,FHQ TECHNOLOGY MANAGER,Sungard Public Sector Ltd,229056,"33,315.24"
Department for Transport,British Transport Police,31/01/2011,"CASH SEIZURES UNDER £1,000",FORCE BALANCE SHEET (EXCL.FAR),The Accounting Officer,199798,"101,526.92"
Department for Transport,Department for Transport,11/01/2011,Service Charge Computer Expenses,London and Road Demand Management,1 SPATIAL GROUP LIMITED,2000022680,"2,986.71"
Department for Transport,Department for Transport,13/01/2011,Subsidies to Private Sector,Regional & Local Transport,A C WILLIAMS LTD,2000022799,646.38
Department for Transport,Department for Transport,13/01/2011,Subsidies to Private Sector,Regional & Local Transport,A.C MORSE LTD,2000023022,607.02
Department for Transport,Department for Transport,13/01/2011,Subsidies to Private Sector,Regional & Local Transport,ABELLIO WEST LONDON LTD,2000022987,"457,355.42"
Department for Transport,Department for Transport,13/01/2011,Subsidies to Private Sector,Regional & Local Transport,ACE TRAVEL (NORTH WEST) LTD,2000022800,"78,368.45"
Department for Transport,Department for Transport,13/01/2011,Subsidies to Private Sector,Regional & Local Transport,ACKLAM COACHES LTD,2000023019,"7,925.12"
Department for Transport,Department for Transport,27/01/2011,Subsidies to Private Sector,Regional & Local Transport,ADAPT (NORTH EAST),2000023855,"8,567.24"
Department for Transport,Department for Transport,17/01/2011,Subsidies to Private Sector,Maritime and Dangerous Goods,AEA TECHNOLOGY - ENVIRONMENT,2000023288,"42,000.00"
Department for Transport,Department for Transport,14/01/2011,Subsidies to Private Sector,Maritime and Dangerous Goods,AEA TECHNOLOGY ENVIRONMENT,2000023176,"1,063,022.00"
