Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,SumOfAmount,Text,Postcode
Department for Transport,Department for Transport,40863,Car Hire and Leasing,Air Accident Investigation Branch,ARVAL,2000016845,1275.41,ARVAL BRANCH CAR FUEL OCTOBER 2011,SN5 6PE
Department for Transport,Department for Transport,40872,Car Hire and Leasing,Air Accident Investigation Branch,AUTOMOTIVE LEASING,2000017462,7610.54, CARAVELLE + MAINT 03.11.11 - 02.11.2012,BN16 3HQ
Department for Transport,Department for Transport,40856,Car Hire and Leasing,Air Accident Investigation Branch,MASTERLEASE LTD,2000016121,588,MASTERLEASE 2X VEHS EXTENSION,B37 7HQ
Department for Transport,Department for Transport,40872,Car Hire and Leasing,Air Accident Investigation Branch,MASTERLEASE LTD,2000017455,1362,MASTERLEASE 1 MONTH EXTENSION SKODA ETAL,B37 7HQ
Department for Transport,Department for Transport,40856,Computer equipment,Air Accident Investigation Branch,DELL CORPORATION LTD,2000016101,4831.92,DELL 3 X LAPTOPS WITH INCREASED POWER,RG12 1LF
Department for Transport,Department for Transport,40872,Contract Cleaning,Air Accident Investigation Branch,NETWORK CLEANING SERVICES LTD,2000017443,1790,cleaning Oct 2011,GU51 3XB
Department for Transport,Department for Transport,40875,Corporate Clothing,Air Accident Investigation Branch,LINKUP LTD,2000017849,1835.4,,GU12 4RH
Department for Transport,Department for Transport,40861,IT Equipment Capital Cost,Air Accident Investigation Branch,BASSOM COMPUTER CONSULTANCY,2000016351,9503.26,bassom october 2011 towed fish,GU9 8LS
Department for Transport,Department for Transport,40870,IT Services  Running Costs,Air Accident Investigation Branch,EPIC PERFORMANCE IMPROVEMENT LTD,2000017276,6987.02,AIB web hosting x 3 to Oct 2012,BN1 1NH
Department for Transport,Department for Transport,40863,Machinery Rental,Air Accident Investigation Branch,DE LAGE LANDEN LEASING LTD,2000016893,810.8,Oce Finance 011211-010312 rental,WD18 8EZ
Department for Transport,Department for Transport,40854,Printing,Air Accident Investigation Branch,MWL PRINT GROUP LTD,2000015925,2092,Printing of AAIB 11/2011 by MWL,NP4 0DQ
Department for Transport,Department for Transport,40876,Printing,Air Accident Investigation Branch,MWL PRINT GROUP LTD,2000017929,2080,Printing AAIB Annual Safety Report 2011,NP4 0DQ
Department for Transport,Department for Transport,40861,Property Maintenance,Air Accident Investigation Branch,NORRIS & GARDINER,2000016356,578.18,Grounds Maintenance,G21 2TH
Department for Transport,Department for Transport,40856,Property Maintenance,Air Accident Investigation Branch,TEAM Q MAINTENANCE LIMITED,2000016096,3622.5,stud walls / window,EN8 0NJ
Department for Transport,Department for Transport,40856,Property Maintenance,Air Accident Investigation Branch,TEAM Q MAINTENANCE LIMITED,2000016096,4311.5,TEAM Q OCT MAINT 2011,EN8 0NJ
Department for Transport,Department for Transport,40876,Property Maintenance,Air Accident Investigation Branch,TEAM Q MAINTENANCE LIMITED,2000017922,780,Survey & Repair High Level Windows,EN8 0NJ
Department for Transport,Department for Transport,40865,Security,Air Accident Investigation Branch,G4S SECURE SOLUTIONS UK,2000017033,516.96,G4S SECURITY PATROLS KEYHOLDER SVS 2012,SM1 4LD
Department for Transport,Department for Transport,40870,Telephone charges,Air Accident Investigation Branch,ALTERNATIVE NETWORKS PLC,2000017305,1046.32,01 Oct 11 to 31 Oct 11,SW11 3UL
Department for Transport,Department for Transport,40872,Telephone charges,Air Accident Investigation Branch,VODAFONE LTD,2000017452,1582.95,VODAFONE 45 MOLBILES OCT 2011,RG14 5FF
Department for Transport,Department for Transport,40854,Training,Air Accident Investigation Branch,FAST HELICOPTERS LIMITED,2000015918,485.42,FAST HELICOPTERS FLYING TRAINING BLANKET 14958,BN43 5FF
Department for Transport,Department for Transport,40863,Training,Air Accident Investigation Branch,FAST HELICOPTERS LIMITED,2000016862,469.5,FAST NGB TRAINING PEBT 011111,BN43 5FF
