Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Sum of Amount,Text,Postcode
Department for Transport,Department for Transport,01.10.2012,Agency Staff Costs,Business Transformation,MORGAN HUNT UK LTD,2000013105,"£ 3,040.14",#,EC4M 7EG
Department for Transport,Department for Transport,01.10.2012,Agency Staff Costs,Group HR,HAYS PERSONNEL SERVICE LTD,2000013091,"£ 2,462.40",#,KT3 4JQ
Department for Transport,Department for Transport,01.10.2012,Agency Staff Costs,Rail Commercial Contracts,EXPERIS LTD,2000013096,"£ 10,010.20",#,EC1R 3DR
Department for Transport,Department for Transport,01.10.2012,Agency Staff Costs,Rail Commercial Contracts,MICHAEL PAGE INTERNATIONAL,2000013108,"£ 1,252.80",#,SL1 3SA
Department for Transport,Department for Transport,01.10.2012,Agency Staff Costs,Managing Director Motoring Services,NETWORKERS INTERNATIONAL (UK) PLC,2000013110,"£ 3,151.68",#,BR1 1HP
Department for Transport,Department for Transport,01.10.2012,Agency Staff Costs,Managing Director Motoring Services,NETWORKERS INTERNATIONAL (UK) PLC,2000013110,"£ 3,939.60",#,BR1 1HP
Department for Transport,Department for Transport,01.10.2012,Agency Staff Costs,Refran Prog Off,BADENOCH & CLARK,2000013094,"£ 3,650.40",#,W1T 5AE
Department for Transport,Department for Transport,01.10.2012,Agency Staff Costs,Refran Prog Off,BADENOCH & CLARK,2000013094,"£ 2,340.90",#,W1T 5AE
Department for Transport,Department for Transport,01.10.2012,Agency Staff Costs,Refran Prog Off,EXPERIS LTD,2000013096,"£ 15,474.82",#,EC1R 3DR
Department for Transport,Department for Transport,01.10.2012,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000013108,"£ 3,942.84",#,SL1 3SA
Department for Transport,Department for Transport,01.10.2012,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000013108,"£ 11,039.95",#,SL1 3SA
Department for Transport,Department for Transport,01.10.2012,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000013108,"£ 7,491.40",#,SL1 3SA
Department for Transport,Department for Transport,01.10.2012,Agency Staff Costs,Refran Prog Off,MICHAEL PAGE INTERNATIONAL,2000013108,£ 660.00,#,SL1 3SA
Department for Transport,Department for Transport,01.10.2012,Agency Staff Costs,Refran Prog Off,CAPITA RESOURCING LTD,2000013109,"£ 8,014.32",#,DL1 9HN
Department for Transport,Department for Transport,01.10.2012,Furniture & Fittings,Rail Accident Investigation Branch,UNITY AV LTD,2000013114,"£ 1,622.40",#,RG17 0QU
Department for Transport,Department for Transport,01.10.2012,IT Ser Running Costs,Business Transformation,DELIB LIMITED,2000013117,£ 636.00,#,BS1 4DZ
Department for Transport,Department for Transport,01.10.2012,Minor Developments,Analysis/Science,IBM UNITED KINGDOM LTD,2000013090,"£ 2,113.80",#,PO6 3AE
Department for Transport,Department for Transport,01.10.2012,Computer Consumables,Business Transformation,SUPPLIES TEAM,2000013092,£ 98.12,HP CLJ5500 SRS LASER TONER CART BLK,S9 1XU
Department for Transport,Department for Transport,01.10.2012,Computer Consumables,Business Transformation,SUPPLIES TEAM,2000013092,£ 137.70,HP CLJ5500 SRS LASER TONER CART CYAN,S9 1XU
Department for Transport,Department for Transport,01.10.2012,Computer Consumables,Business Transformation,SUPPLIES TEAM,2000013092,£ 137.70,HP CLJ5500 SRS LASER TONER CART MAG,S9 1XU
Department for Transport,Department for Transport,01.10.2012,Computer Consumables,Business Transformation,SUPPLIES TEAM,2000013092,£ 275.40,HP CLJ5500 SRS LASER TONER CART YLW,S9 1XU
Department for Transport,Department for Transport,01.10.2012,Computer Consumables,Business Transformation,SUPPLIES TEAM,2000013092,£ 117.49,OKI B6300 LASER TONER/DRUM 11K YIELD,S9 1XU
Department for Transport,Department for Transport,01.10.2012,Computer Consumables,Rail Commercial Contracts,SUPPLIES TEAM,2000013092,£ 148.10,ST HP 5500 LASER TONER BLACK,S9 1XU
Department for Transport,Department for Transport,01.10.2012,Computer Consumables,Rail Commercial Contracts,SUPPLIES TEAM,2000013092,£ 154.03,ST HP LASER TONER 5500 CART CYAN,S9 1XU
Department for Transport,Department for Transport,01.10.2012,Computer Consumables,Rail Commercial Contracts,SUPPLIES TEAM,2000013092,£ 154.03,ST HP LASER TONER CART 5500 MAGENTA,S9 1XU
