Department Family,Entity,Date,Expense Type,Expense Area ,Supplier,Transaction No,Sum of Amount,Item Text,Postal Code
Department for Transport,Department for Transport,01/05/2013,IT Consultancy,Rail Commercial Contracts,ATOS IT SERVICES UK LTD,2000002418,14071.36,#,WV10 6UH
Department for Transport,Department for Transport,01/05/2013,Research,Aviation,DFT ONE TIME VENDOR,1700000016,-19322.83,"30,000 USD - Manual Payment",SW1P 4DR
Department for Transport,Department for Transport,02/05/2013,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000002549,4896,#,SL1 3SA
Department for Transport,Department for Transport,02/05/2013,Agency Staff Costs,Refran Prog Off,MICHAEL PAGE INTERNATIONAL,2000002549,3159,#,SL1 3SA
Department for Transport,Department for Transport,02/05/2013,Agency Staff Costs,Refran Prog Off,MICHAEL PAGE INTERNATIONAL,2000002549,3514.8,#,SL1 3SA
Department for Transport,Department for Transport,02/05/2013,Agency Staff Costs,Group Finance,PARITY RESOURCES LTD,2000002550,12960,#,SW19 3RU
Department for Transport,Department for Transport,02/05/2013,Agency Staff Costs,Group Finance,PARITY RESOURCES LTD,2000002550,-1080,#,SW19 3RU
Department for Transport,Department for Transport,02/05/2013,Building Service Cha,Business Transformation,AMEY COMMUNITY LTD,2000002556,13521.47,#,OX4 4DQ
Department for Transport,Department for Transport,02/05/2013,Building Service Cha,Business Transformation,AMEY COMMUNITY LTD,2000002556,13521.48,#,OX4 4DQ
Department for Transport,Department for Transport,02/05/2013,Building Service Cha,Business Transformation,AMEY COMMUNITY LTD,2000002556,14177.56,#,OX4 4DQ
Department for Transport,Department for Transport,02/05/2013,Building Service Cha,Business Transformation,AMEY COMMUNITY LTD,2000002556,41126.95,#,OX4 4DQ
Department for Transport,Department for Transport,02/05/2013,Computer Consumables,Group Finance,XMA LIMITED GOSC,2000002555,606.86,#,NG11 7EP
Department for Transport,Department for Transport,02/05/2013,Legal Consultancy,Transport Security Strategy,PHELPS DUNBAR LLP,2000002557,8674.94,#,#
Department for Transport,Department for Transport,02/05/2013,Machinery Rental,Permanent Secretary,XEROX FINANCE LTD,2000002547,798.66,#,BN14 8RL
Department for Transport,Department for Transport,02/05/2013,Mobile Phone charges,Group Finance,VODAFONE LTD,2000002548,5875.93,Vodafone 310 Mobiles,RG14 5FF
Department for Transport,Department for Transport,02/05/2013,Small Software,Transport Security - Security Compliance Division ,TRIAD GROUP PLC,2000002546,12240,#,GU7 1XE
Department for Transport,Department for Transport,02/05/2013,Support Services,Group Finance,RAILWAYS PENSION MANAGEMENT LT,2000002551,1070000,#,DL3 6EH
Department for Transport,Department for Transport,02/05/2013,Telephone charges,Air Accident Investigation Branch,ALTERNATIVE NETWORKS PLC,2000002554,1029.28,#,SW11 3UL
Department for Transport,Department for Transport,02/05/2013,Training,Transport Security - Security Compliance Division ,AIRLOCK AVIATION LTD,2000002543,6300,#,TW18 4AX
Department for Transport,Department for Transport,02/05/2013,Training,Rail Accident Investigation Branch,INTERFLEET TECHNOLOGY LTD,2000002552,1810,#,DE24 8HX
Department for Transport,Department for Transport,02/05/2013,Training,Rail,INTERNATIONAL LEARNING,2000002553,2164.8,#,SE3 7NT
Department for Transport,Department for Transport,02/05/2013,Travel Expenses UK,Marine Accident Investigation Branch,CLYDE TRAVEL,2000002544,501.72,Clyde -   25.04.2013,G51 1HJ
Department for Transport,Department for Transport,03/05/2013,Agency Staff Costs,Group Finance,ALLEN LANE FINANCIAL RECRUITMENT,2000002600,2719.38,#,BN11 2BW
Department for Transport,Department for Transport,03/05/2013,Agency Staff Costs,Group Finance,ALLEN LANE FINANCIAL RECRUITMENT,2000002600,2175.5,#,BN11 2BW
Department for Transport,Department for Transport,03/05/2013,Agency Staff Costs,Group Finance,ALLEN LANE FINANCIAL RECRUITMENT,2000002600,1087.75,#,BN11 2BW
