Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code
Department for Transport,Department for Transport,03/03/2014,Agency Staff Costs,Air Accident Investigation Branch,BROOK STREET BUREAU,2000025914,675.77,#,AL1 4JB
Department for Transport,Department for Transport,03/03/2014,Agency Staff Costs,Group Internal Audit,REED SPECIALIST RECRUITMENT LTD,2000025910,2341.2,#,SW20 0BA
Department for Transport,Department for Transport,03/03/2014,Agency Staff Costs,Local,BROOK STREET BUREAU,2000025914,555.89,#,AL1 4JB
Department for Transport,Department for Transport,03/03/2014,Agency Staff Costs,Pre Re-Organisation,ADVANTAGE RESOURCING UK LTD,2000025927,4104,#,RG21 4FF
Department for Transport,Department for Transport,03/03/2014,Agency Staff Costs,Programme Office,BADENOCH & CLARK,2000025898,1755.66,#,EC4V 4BG
Department for Transport,Department for Transport,03/03/2014,Agency Staff Costs,Local,SPRING TECHNOLOGY LTD  ALSO T/A,2000025920,762.48,#,B37 7YE
Department for Transport,Department for Transport,03/03/2014,Agency Staff Costs,Rail Director's Office,EXPERIS LTD,2000025902,7703.4,#,EC1R 3DR
Department for Transport,Department for Transport,03/03/2014,Agency Staff Costs,Major Projects & Growth,SPRING TECHNOLOGY LTD  ALSO T/A,2000025920,1320,#,B37 7YE
Department for Transport,Department for Transport,03/03/2014,Agency Staff Costs,Major Projects & Growth,EXPERIS LTD,2000025902,1447.31,#,EC1R 3DR
Department for Transport,Department for Transport,03/03/2014,Agency Staff Costs,Rail Commercial & Programme Office,EXPERIS LTD,2000025902,10317.06,#,EC1R 3DR
Department for Transport,Department for Transport,03/03/2014,Agency Staff Costs,Rail Commercial & Programme Office,MORGAN HUNT UK LTD,2000025906,4311.38,#,EC4M 7EG
Department for Transport,Department for Transport,03/03/2014,Agency Staff Costs,Local,EXPERIS LTD,2000025902,1780.42,#,EC1R 3DR
Department for Transport,Department for Transport,03/03/2014,Agency Staff Costs,Rail Strategy & Funding,EXPERIS LTD,2000025902,1906.7,#,EC1R 3DR
Department for Transport,Department for Transport,03/03/2014,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000025918,2400,#,SL1 3SA
Department for Transport,Department for Transport,03/03/2014,Agency Staff Costs,Group Finance,EXPERIS LTD,2000025902,3850.32,#,EC1R 3DR
Department for Transport,Department for Transport,03/03/2014,Agency Staff Costs,Rail Franchising,EXPERIS LTD,2000025902,8941.44,#,EC1R 3DR
Department for Transport,Department for Transport,03/03/2014,Agency Staff Costs,Rail Franchising,EXPERIS LTD,2000025902,5526.72,#,EC1R 3DR
Department for Transport,Department for Transport,03/03/2014,Agency Staff Costs,Rail Franchising,LA INTERNATIONAL COMPUTER,2000025904,7200,#,ST1 5UB
Department for Transport,Department for Transport,03/03/2014,Agency Staff Costs,Rail Franchising,MICHAEL PAGE INTERNATIONAL,2000025918,10857.6,"AJ WE 17/11, 24/11 & 1/12",SL1 3SA
Department for Transport,Department for Transport,03/03/2014,Agency Staff Costs,Rail Franchising,MICHAEL PAGE INTERNATIONAL,2000025918,13572,#,SL1 3SA
Department for Transport,Department for Transport,03/03/2014,Agency Staff Costs,Rail Franchising,MICHAEL PAGE INTERNATIONAL,2000025918,25334.4,AJ from p/e 12.01 - p/e 16.02.2014,SL1 3SA
Department for Transport,Department for Transport,03/03/2014,Agency Staff Costs,Rail Franchising,MICHAEL PAGE INTERNATIONAL,2000025918,13455,#,SL1 3SA
Department for Transport,Department for Transport,03/03/2014,Agency Staff Costs,Rail Franchising,MICHAEL PAGE INTERNATIONAL,2000025918,666.6,#,SL1 3SA
Department for Transport,Department for Transport,03/03/2014,Agency Staff Costs,Rail Commercial & Programme Office,MICHAEL PAGE INTERNATIONAL,2000025918,1776,#,SL1 3SA
Department for Transport,Department for Transport,03/03/2014,Agency Staff Costs,Rail Franchising,MICHAEL PAGE INTERNATIONAL,2000025918,-25334.4,Credit for Invoice 5105980926,SL1 3SA
