Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,
Department for Transport,Department for Transport,01/04/2014,Agency Staff Costs,Group Communication,MICHAEL PAGE INTERNATIONAL,2000000078,9599.6,#,SL1 3SA,
Department for Transport,Department for Transport,01/04/2014,Agency Staff Costs,Group Human Resource,HAYS PERSONNEL SERVICE LTD,2000000063,4281.6,#,KT3 4JQ,
Department for Transport,Department for Transport,01/04/2014,Agency Staff Costs,Group Finance,ALLEN LANE FINANCIAL RECRUITMENT,2000000066,4036.38,#,BN11 2BW,
Department for Transport,Department for Transport,01/04/2014,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000000078,3852,#,SL1 3SA,
Department for Transport,Department for Transport,01/04/2014,Agency Staff Costs,Group Finance,ALLEN LANE FINANCIAL RECRUITMENT,2000000066,2463.84,#,BN11 2BW,
Department for Transport,Department for Transport,01/04/2014,Agency Staff Costs,Group Finance,SPRING TECHNOLOGY LTD  ALSO T/A,2000000081,939.78,#,B37 7YE,
Department for Transport,Department for Transport,01/04/2014,Agency Staff Costs,Group Finance,SPRING TECHNOLOGY LTD  ALSO T/A,2000000081,1566.3,#,B37 7YE,
Department for Transport,Department for Transport,01/04/2014,Agency Staff Costs,Rail Commercial & Programme Office,MICHAEL PAGE INTERNATIONAL,2000000078,1332,#,SL1 3SA,
Department for Transport,Department for Transport,01/04/2014,Cap Grt Loc Auth,"Energy, Technology and International",Rolec Services Limited,2000000087,700000,Rolec   #700k,PE20 1Q,
Department for Transport,Department for Transport,01/04/2014,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",ASHWOODS AUTOMOTIVE LTD,2000000083,137200,LCVPPP 29th Payment 40 Vehicles,EX4 8DS,
Department for Transport,Department for Transport,01/04/2014,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Meridian Environmental Limited,2000000091,10996.39,Meridan Environmental Feb 2014 #10996.39,BH15 4QB,
Department for Transport,Department for Transport,01/04/2014,Computer Consumables,Motoring Services,XMA LIMITED GOSC,2000000085,599.98,#,NG11 7EP,
Department for Transport,Department for Transport,01/04/2014,Computer equipment,Motoring Services,SPECIALIST COMPUTER CENTRES PLC,2000000080,18131.01,#,B11 2LE,
Department for Transport,Department for Transport,01/04/2014,Financial Consultanc,Rail Franchising,PRICEWATERHOUSECOOPERS LLP,2000000072,40640.4,#,E14 9SQ,
Department for Transport,Department for Transport,01/04/2014,Maintenance Other,"Motoring, Freight & London",TDC SYSTEMS LIMITED,2000000075,1935,#,BS24 9BP,
Department for Transport,Department for Transport,01/04/2014,Maintenance Other,"Motoring, Freight & London",TDC SYSTEMS LIMITED,2000000075,8900,#,BS24 9BP,
Department for Transport,Department for Transport,01/04/2014,Maintenance Other,"Motoring, Freight & London",TDC SYSTEMS LIMITED,2000000075,480,#,BS24 9BP,
Department for Transport,Department for Transport,01/04/2014,Maintenance Other,"Motoring, Freight & London",TDC SYSTEMS LIMITED,2000000075,2750,#,BS24 9BP,
Department for Transport,Department for Transport,01/04/2014,Maintenance Other,"Motoring, Freight & London",TDC SYSTEMS LIMITED,2000000075,3000,#,BS24 9BP,
Department for Transport,Department for Transport,01/04/2014,Maintenance Other,"Motoring, Freight & London",TDC SYSTEMS LIMITED,2000000075,5690,#,BS24 9BP,
Department for Transport,Department for Transport,01/04/2014,Postage,"Policy, Legislation and Funding",ROYAL MAIL,2000000074,1271.11,#,PE4 5PG,
Department for Transport,Department for Transport,01/04/2014,Publicity,Principal Priv. Secretary & Head of Private Office,CHUBB SYSTEMS LIMITED,2000000068,4799.1,#,BB1 2PR,
Department for Transport,Department for Transport,01/04/2014,Publicity,Group Communication,ABBOTT MEAD VICKERS BBDO LTD,2000000065,12000,#,NW1 5QE,
Department for Transport,Department for Transport,01/04/2014,Publicity,Group Communication,ABBOTT MEAD VICKERS BBDO LTD,2000000065,25000,PO 8000127945,NW1 5QE,
Department for Transport,Department for Transport,01/04/2014,Publicity,Group Communication,ABBOTT MEAD VICKERS BBDO LTD,2000000065,-25000,PO 8000127945,NW1 5QE,
Department for Transport,Department for Transport,01/04/2014,Publicity,Group Communication,TNS UK LTD,2000000076,13950,#,W5 1UA,
Department for Transport,Department for Transport,01/04/2014,Rent - L&B (non-PFI),Group Procurement & Estate,DWP SHARED SERVICES,2000000000,1073.24,#,CF14 3UW,
Department for Transport,Department for Transport,01/04/2014,Small Software,Motoring Services,ORACLE CORPORATION UK LTD,2000000071,2985.74,#,RG6 1RA,
Department for Transport,Department for Transport,01/04/2014,Small Software,Motoring Services,ORACLE CORPORATION UK LTD,2000000071,2403.54,#,RG6 1RA,
Department for Transport,Department for Transport,01/04/2014,Storage & Distributi,General Counsel's Office,COMMUNITIES AND LOCAL GOVERNMENT,2000000001,65590.55,#,HP2 4XN,
Department for Transport,Department for Transport,01/04/2014,Storage & Distributi,General Counsel's Office,COMMUNITIES AND LOCAL GOVERNMENT,2000000001,65001.68,#,HP2 4XN,
Department for Transport,Department for Transport,01/04/2014,Storage & Distributi,General Counsel's Office,COMMUNITIES AND LOCAL GOVERNMENT,2000000001,62834.66,#,HP2 4XN,
Department for Transport,Department for Transport,01/04/2014,Subscriptions to Pro,Group Human Resource,WHITEHALL & INDUSTRY GROUP,2000000077,5160,#,SW1H 9AA,
Department for Transport,Department for Transport,01/04/2014,Support Services,General Counsel's Office,Charles Lucas & Marshall,2000000088,70107.58,#,RG14 5EU,
Department for Transport,Department for Transport,01/04/2014,Support Services,Group Finance,DD ACCRAILWAY PENS TRUSTEE,2000000079,701.94,#,DL3 6XR,
Department for Transport,Department for Transport,01/04/2014,Transport  Consult,Major Projects & Growth,JACOBS UK LTD,2000000069,180019.8,#,G2 7HX,
Department for Transport,Department for Transport,01/04/2014,Transport  Consult,Major Projects & Growth,ATKINS LTD (TRANSPORT PLANNING),2000000067,884,#,WR5 1TX,
Department for Transport,Department for Transport,01/04/2014,Transport  Consult,Rail Franchising,ATKINS LTD (TRANSPORT PLANNING),2000000067,41284.86,#,WR5 1TX,
Department for Transport,Department for Transport,02/04/2014,Agency Staff Costs,Air Accident Investigation Branch,BROOK STREET (UK) LIMITED,2000000199,557.05,#,AL1 4JB,
Department for Transport,Department for Transport,02/04/2014,Agency Staff Costs,Corporate Governance,BADENOCH & CLARK,2000000177,3098.2,#,EC4V 4BG,
Department for Transport,Department for Transport,02/04/2014,Agency Staff Costs,Corporate Governance,BADENOCH & CLARK,2000000177,3442.44,#,EC4V 4BG,
Department for Transport,Department for Transport,02/04/2014,Agency Staff Costs,Group Finance,BADENOCH & CLARK,2000000177,4843.66,#,EC4V 4BG,
Department for Transport,Department for Transport,02/04/2014,Agency Staff Costs,Group Finance,BADENOCH & CLARK,2000000177,3347.7,#,EC4V 4BG,
Department for Transport,Department for Transport,02/04/2014,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000000202,4080,#,SL1 3SA,
Department for Transport,Department for Transport,02/04/2014,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000000202,2304,#,SL1 3SA,
Department for Transport,Department for Transport,02/04/2014,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000000202,3210,#,SL1 3SA,
Department for Transport,Department for Transport,02/04/2014,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000000202,2880,#,SL1 3SA,
Department for Transport,Department for Transport,02/04/2014,Agency Staff Costs,Programme Office,BADENOCH & CLARK,2000000177,1755.66,#,EC4V 4BG,
Department for Transport,Department for Transport,02/04/2014,Agency Staff Costs,Major Projects & Growth,SPRING TECHNOLOGY LTD  ALSO T/A,2000000211,1056,#,B37 7YE,
Department for Transport,Department for Transport,02/04/2014,Agency Staff Costs,Rail Commercial & Programme Office,CAPITA RESOURCING LTD,2000000203,-37095,#,DL1 9HN,
Department for Transport,Department for Transport,02/04/2014,Agency Staff Costs,Rail Commercial & Programme Office,CAPITA RESOURCING LTD,2000000203,37095,#,DL1 9HN,
Department for Transport,Department for Transport,02/04/2014,Agency Staff Costs,Rail Commercial & Programme Office,MORGAN HUNT UK LTD,2000000190,4311.38,#,EC4M 7EG,
Department for Transport,Department for Transport,02/04/2014,Agency Staff Costs,Group Finance,ALLEN LANE FINANCIAL RECRUITMENT,2000000173,2463.84,#,BN11 2BW,
Department for Transport,Department for Transport,02/04/2014,Agency Staff Costs,Group Finance,REED SPECIALIST RECRUITMENT LTD,2000000195,2264.4,#,SW20 0BA,
Department for Transport,Department for Transport,02/04/2014,Agency Staff Costs,Group Finance,SPRING TECHNOLOGY LTD  ALSO T/A,2000000211,1566.3,#,B37 7YE,
Department for Transport,Department for Transport,02/04/2014,Agency Staff Costs,Rail Franchising,CAPITA RESOURCING LTD,2000000203,15000.32,#,DL1 9HN,
Department for Transport,Department for Transport,02/04/2014,Agency Staff Costs,Rail Franchising,CAPITA RESOURCING LTD,2000000203,17280,#,DL1 9HN,
Department for Transport,Department for Transport,02/04/2014,Agency Staff Costs,Rail Franchising,CAPITA RESOURCING LTD,2000000203,4740,#,DL1 9HN,
Department for Transport,Department for Transport,02/04/2014,Agency Staff Costs,Strategic Roads & Smart Ticketing,EXPERIS LTD,2000000184,12265.44,#,EC1R 3DR,
Department for Transport,Department for Transport,02/04/2014,Agency Staff Costs,Rail Franchising,MICHAEL PAGE INTERNATIONAL,2000000202,3333,#,SL1 3SA,
