Department Family,Entity,Date,Expense Type,Expense Area Rev,Supplier,Transaction Number,Amount,Description,Supplier Postcode
Department for Transport,Department for Transport,01/10/2014,Agency Staff Costs,Group Human Resource,NETWORKERS INTERNATIONAL (UK) PLC,2000013507,1013.52,#,BR1 1HP
Department for Transport,Department for Transport,01/10/2014,Agency Staff Costs,Group Human Resource,HAYS PERSONNEL SERVICE LTD,2000013494,3110.4,#,KT3 4JQ
Department for Transport,Department for Transport,01/10/2014,Agency Staff Costs,Group Finance,NETWORKERS INTERNATIONAL (UK) PLC,2000013507,3391.26,#,BR1 1HP
Department for Transport,Department for Transport,01/10/2014,Agency Staff Costs,Rail Strategy & Funding,NETWORKERS INTERNATIONAL (UK) PLC,2000013507,959.46,#,BR1 1HP
Department for Transport,Department for Transport,01/10/2014,Agency Staff Costs,Rail Strategy & Funding,Experis Ltd,2000013500,5999.4,#,EC2M 2RB
Department for Transport,Department for Transport,01/10/2014,Agency Staff Costs,Group Finance,NETWORKERS INTERNATIONAL (UK) PLC,2000013507,1925.7,#,BR1 1HP
Department for Transport,Department for Transport,01/10/2014,Agency Staff Costs,Rail Franchising,CAPITA RESOURCING LTD,2000013504,12600,#,DL1 9HN
Department for Transport,Department for Transport,01/10/2014,Agency Staff Costs,Rail Franchising,CAPITA RESOURCING LTD,2000013504,19459.87,#,DL1 9HN
Department for Transport,Department for Transport,01/10/2014,Agency Staff Costs,Highspeed 2,Experis Ltd,2000013500,4199.58,#,EC2M 2RB
Department for Transport,Department for Transport,01/10/2014,Agency Staff Costs,Rail Strategy & Funding,NETWORKERS INTERNATIONAL (UK) PLC,2000013507,959.46,#,BR1 1HP
Department for Transport,Department for Transport,01/10/2014,Cap Grt Loc Auth,"Energy, Technology and International",ESSEX COUNTY COUNCIL,2000013523,110898.59,ESSEX LA RAPID CHARGERS #110898.59,CM1 1LX
Department for Transport,Department for Transport,01/10/2014,Cap Grt Loc Auth,"Energy, Technology and International",MILTON KEYNES BC,2000013524,522606,2013/14 [name of org] #xxxxx Rapid Chargepoints,MK9 3EE
Department for Transport,Department for Transport,01/10/2014,Cap Grt Pri Sec-Cos.,Major Projects & Growth,NETWORK RAIL INFRASTRUCTURE LTD,2000013510,747499.07,4013165 NETWORK RAIL INFRASTRUCTURE LTD,M60 7WY
