Account Name,Posted Date,Billing Amount,Merchant Name,Comments
DFT/HS2,20/11/2015,"£1,193.56",WWW.IMECHE.ORG,Team event for 25 staff over 1 day
DFT/HS2,23/11/2015,£565.20,CIVIL SERVICE LEARNING,Training course for 1 staff member over 5 days
DFT/ISE,02/11/2015,500.26,THE SPENCER HOTEL,Accommodation 1 person 7 nights
DFT/ISE,03/11/2015,"£6,098.31",HOUSE OF COMMONS,Catering services for 200 conference attendees
DFT/ISE,06/11/2015,"1,454.38",VODAFONE,Mobile Phone charges for 33 staff
DFT/ISE,09/11/2015,840.00,UNIVERSITY OF EAST,Training for 2 days for 2 people 
DFT/ISE,10/11/2015,718.29,BURLINGTON UNIFORMS LT,PPE not available on DFT catalogue
DFT/ISE,11/11/2015,"£2,768.36",SINGAPOREAI 24123444230,Return flight for 1 staff member
DFT/ISE,12/11/2015,512.55,AMAZON EU,Office supplies
DFT/ISE,12/11/2015,840.00,UNIVERSITY OF EAST,Training for 2 days for 2 people 
DFT/ISE,13/11/2015,£894.96,KEMPSTON CONTROLS,IT Hardware for Flight Data Recorders Laboratories
DFT/ISE,16/11/2015,547.20,CIVIL SERVICE LEARNING,Training for 1 person
DFT/ISE,17/11/2015,708.00,HEADSETS4BUSINESS,Office supplies
DFT/ISE,18/11/2015,540.00,SOCIETY OF MARITIME IN,Conference for 1 person
DFT/ISE,19/11/2015,794.52,BRITISH A,Return flight to attend conference for 2 staff members.
DFT/R & S,02/11/2015,£968.00,CERTIFIED ACCOUNTA,Training course for 1 staff member over 3 days
DFT/R & S,04/11/2015,"£1,609.76",CIVIL SERVICE LEARNING,Training Course
DFT/R & S,05/11/2015,"£1,020.00",CIVIL SERVICE LEARNING,Training Course
DFT/R & S,05/11/2015,£679.20,CIVIL SERVICE LEARNING,Training Course
DFT/R & S,09/11/2015,644.01,BRITISH A,3 x return economy class plane tickets 
DFT/R & S,10/11/2015,"1,194.00",VENTURE MARKETING GROU,Advertising
DFT/R & S,10/11/2015,609.00,THE SPEECH CENTRE,Equipment for workplace adjustments
DFT/R & S,10/11/2015,577.86,OSMOND GROUP LTD,Equipment for workplace adjustments
DFT/R & S,10/11/2015,"1,929.58",POSTURITE (UK) LTD,Maintenance Agreement
DFT/R & S,10/11/2015,991.93,STATIONERY OFFICE BOOK,Purchase of Parliamentary Papers. 
DFT/R & S,12/11/2015,834.00,E-CONSULTANCY.COM,"Specialist training course, 1 person, 1 day"
DFT/R & S,12/11/2015,"£1,155.60",CIVIL SERVICE LEARNING,Training Course
DFT/R & S,13/11/2015,819.00,THE SPEECH CENTRE,Equipment for workplace adjustments
DFT/R & S,13/11/2015,"£1,082.56",CIVIL SERVICE LEARNING,Training Course
DFT/R & S,13/11/2015,£964.80,CIVIL SERVICE LEARNING,Training Course
DFT/R & S,13/11/2015,£714.00,CIVIL SERVICE LEARNING,Training Course
DFT/R & S,13/11/2015,£660.00,CIVIL SERVICE LEARNING,Training Course
DFT/R & S,13/11/2015,£534.00,CIVIL SERVICE LEARNING,Training Course
DFT/R & S,13/11/2015,£534.00,CIVIL SERVICE LEARNING,Training Course
DFT/R & S,18/11/2015,£510.00,LIVEGROUP.CO.UK,Conference for 1 staff member over 2 days
DFT/R & S,19/11/2015,"1,678.51",JOHNSON STEVENS INT FO,Freight charges
DFT/R & S,20/11/2015,"1,427.40",CONTINUITY SHOP,Training 1 person.
DFT/R & S,20/11/2015,£534.00,CIVIL SERVICE LEARNING,Training Course
DFT/R & S,23/11/2015,834.00,MYCSP LTD,1 person seminar attendance
DFT/R & S,24/11/2015,509.00,RICS SUBS UK CYBS,Professional subscriptions
DFT/R & S,24/11/2015,509.00,RICS SUBS UK CYBS,Professional subscriptions
DFT/R & S,24/11/2015,509.00,RICS SUBS UK CYBS,Professional subscriptions
DFT/R & S,24/11/2015,509.00,RICS SUBS UK CYBS,Professional subscriptions
DFT/R & S,24/11/2015,509.00,RICS SUBS UK CYBS,Professional subscriptions
DFT/R & S,24/11/2015,"£1,155.60",CIVIL SERVICE LEARNING,Training Course
DFT/R & S,25/11/2015,559.01,SEARCYS@ST PANCRAS,Catering for official visit 
DFT/R & S,25/11/2015,"2,887.20",WWW.THOMASTELFORD.ORG.,"Room, Refreshments and Facilities"
DFT/R & S,25/11/2015,£534.00,CIVIL SERVICE LEARNING,Training Course
