Account Name,Posted Date,Billing Amount,Merchant Name,Comments
DFT/HS2,12/10/2015,£800.00,ENVIRONMENT,Training Course 3 staff members over 1day
DFT/HS2,19/10/2015,£558.00,ABBEY COMMUNITY SERVIC,Team event for 25 people over 1 day
DFT/HS2,22/10/2015,£935.78,YOUR ORDER  ANIS CHOW,Television and accessories for video-conferencing  facilities
DFT/ISE,01/10/2015,"1,218.74",GLASDON U K LTD,Security research equipment
DFT/ISE,02/10/2015,£512.18,CIVIL SERVICE LEARNING,Training
DFT/ISE,05/10/2015,£900.00,CRANFIELD UNIVERSITY,Conference for 2 days for 3 people
DFT/ISE,06/10/2015,"1,424.56",VODAFONE,Mobile Phone charges for 33 staff
DFT/ISE,06/10/2015,"£1,167.81",INNOVATA LLC,Statistical Data
DFT/ISE,07/10/2015,"£4,025.00",HOUSE OF COMMONS,Catering services for 200 conference attendees
DFT/ISE,08/10/2015,"£1,151.16",HELMET CITY,Motorcycle helmets purchased for consumer tests
DFT/ISE,12/10/2015,"3,034.30",PAYPAL  FPV.CO.UK,2 x Unmanned Aerial Vehicle
DFT/ISE,12/10/2015,"1,727.88",EUROUSC,Training course for two staff over two days
DFT/ISE,13/10/2015,£520.45,BURLINGTON UNIFORMS LT,Clothing/uniform items
DFT/ISE,14/10/2015,"£3,663.56",NATIONAL INSTRUMENTS,IT Software license for Flight Data Recorders Laboratories
DFT/ISE,15/10/2015,"£2,052.00",SOUTH COAST CONTAINERS LT,Air Accident Investigation equipment
DFT/ISE,20/10/2015,"£1,783.50",WWW.AEROSOCIETY.CO,Attendance at conference for 29 staff members over 1 day
DFT/ISE,23/10/2015,£759.36,VIDEO VISION,Promotional stand equipment for consumer information programme
DFT/ISE,26/10/2015,624.40,THON HOTEL EU,Hotel for 3 nights for 1 person
DFT/ISE,26/10/2015,£797.04,GES LIMITED,Promotional stand equipment for consumer information programme
DFT/ISE,28/10/2015,£534.00,WWW.PMGLTD.CO.UK,Training course for 1 staff member over 1 day
DFT/ISE,29/10/2015,£521.27,HELMET CITY,Motorcycle helmets purchased for consumer tests
DFT/ISE,29/10/2015,"£1,306.36",DELTA AIR   0062325537528,Return flight for 1 staff member
DFT/ISE,30/10/2015,£676.80,Unique Magazines Ltd,Specialist annual publications subscription (x2) over 2 years
DFT/R & S,01/10/2015,510.00,LIVEGROUP.CO.UK,Conference fee
DFT/R & S,01/10/2015,"2,178.00",CONTINUITY SHOP,Staff Training 1 staff member 3 days
DFT/R & S,01/10/2015,874.80,CIVIL SERVICE LEARNING,Staff Training 1 staff member 3 days
DFT/R & S,01/10/2015,"£1,114.80",CIVIL SERVICE LEARNING,Training Course
DFT/R & S,02/10/2015,882.66,AIR CAN,2 Economy air tickets
DFT/R & S,02/10/2015,"1,737.43",OSMOND GROUP LTD,Specialist Disability Equipment
DFT/R & S,02/10/2015,"1,093.70",OSMOND GROUP LTD,Specialist Disability Equipment
DFT/R & S,02/10/2015,852.24,OSMOND GROUP LTD,Specialist Disability Equipment
DFT/R & S,02/10/2015,852.24,OSMOND GROUP LTD,Specialist Disability Equipment
DFT/R & S,02/10/2015,706.39,OSMOND GROUP LTD,Specialist Disability Equipment
DFT/R & S,02/10/2015,619.54,OSMOND GROUP LTD,Specialist Disability Equipment
DFT/R & S,02/10/2015,569.93,OSMOND GROUP LTD,Specialist Disability Equipment
DFT/R & S,02/10/2015,"£1,716.00",CIVIL SERVICE LEARNING,Training Course
DFT/R & S,02/10/2015,£534.00,CIVIL SERVICE LEARNING,Training Course
DFT/R & S,02/10/2015,£508.80,CIVIL SERVICE LEARNING,Training Course
DFT/R & S,05/10/2015,"£2,150.40",ROYAL MAIL GROUP,Mail collection fee
DFT/R & S,06/10/2015,"1,716.00",CIVIL SERVICE LEARNING,staff training 1 staff member 2 days
DFT/R & S,06/10/2015,"£1,155.60",CIVIL SERVICE LEARNING,Training Course
DFT/R & S,07/10/2015,"£2,031.60",CIVIL SERVICE LEARNING,Training Course
DFT/R & S,07/10/2015,£508.80,CIVIL SERVICE LEARNING,Training Course
DFT/R & S,08/10/2015,"1,200.00",INST CHART ACCTS,staff training 1 staff member 2 days
DFT/R & S,08/10/2015,"1,015.00",RFCA FOR GREATER LONDO,Venue hire
DFT/R & S,09/10/2015,721.79,THE SPEECH CENTRE,Equipment for workplace adjustments
DFT/R & S,12/10/2015,630.00,HOGREFE LTD,staff training 1 staff member 2 days
DFT/R & S,15/10/2015,"£1,928.40",CIVIL SERVICE LEARNING,Training Course
DFT/R & S,19/10/2015,"£2,289.60",CIVIL SERVICE LEARNING,Training Course
DFT/R & S,19/10/2015,"£1,604.40",CIVIL SERVICE LEARNING,Training Course
DFT/R & S,21/10/2015,609.00,THE SPEECH CENTRE,Equipment for workplace adjustments
DFT/R & S,21/10/2015,991.57,STATIONERY OFFICE BOOK,Purchase of Parliamentary Papers. 
DFT/R & S,21/10/2015,£921.60,CIVIL SERVICE LEARNING,Training Course
DFT/R & S,23/10/2015,"1,342.67",OSMOND GROUP LTD,Equipment for workplace adjustments
DFT/R & S,23/10/2015,"1,000.92",OSMOND GROUP LTD,Equipment for workplace adjustments
DFT/R & S,23/10/2015,852.24,OSMOND GROUP LTD,Equipment for workplace adjustments
DFT/R & S,23/10/2015,588.98,OSMOND GROUP LTD,Equipment for workplace adjustments
DFT/R & S,26/10/2015,"£2,031.60",CIVIL SERVICE LEARNING,Training Course
