Account Name,Posted Date,Billing Amount,Merchant Name,Comments
DFT/HS2,08/09/2015,£999.00,IND & PARLIAMENT TRST,Training Course 1 staff member over 1 day
DFT/ISE,03/09/2015,£938.88,SEQUENCE (UK) LIMITED,Accommodation rental
DFT/ISE,03/09/2015,604.65,AMAZON EU,IT Hardware
DFT/ISE,03/09/2015,"£2,892.04",PAYPAL  FPV.CO.UK,Unmanned Aircraft for accident site photography and site search
DFT/ISE,04/09/2015,"1,469.58",VODAFONE,Mobile Phone charges for 33 staff
DFT/ISE,07/09/2015,£692.59,KEMPINSKI NILE HOTEL,Accommodation costs for 1 member of staff for 5 days 
DFT/ISE,07/09/2015,525.73,CALISKAN KARDESLER,Accommodation 1 staff x 3 days
DFT/ISE,08/09/2015,"1,290.38",BAXTERSTOREY LTD,Conference refreshments
DFT/ISE,08/09/2015,£832.20,CENTRAL SOURCE LTD,Hanger equipment
DFT/ISE,08/09/2015,"£1,773.60",NATIONAL INSTRUMENTS,IT Software license for Flight Data Recorders Laboratories
DFT/ISE,09/09/2015,"2,160.00",UNIVERSITY OF ST A,Training
DFT/ISE,14/09/2015,£654.50,MOVENPICK HOTEL,3 nights accommodation for one person 
DFT/ISE,15/09/2015,£566.85,ETSTUR.COM/4440387,Accommodation for 1 staff members for 5 nights
DFT/ISE,15/09/2015,£566.85,ETSTUR.COM/4440387,Accommodation for 1 staff members for 5 nights
DFT/ISE,18/09/2015,"1,135.23",MCI EUROCONGRESS,Conference 1 member of staff for 4 days
DFT/ISE,18/09/2015,£552.00,INTERTRONICS,Engineering equipment for air accident investigation
DFT/ISE,21/09/2015,"1,109.49",MARRIOTT,Accommodation x 1 staff x 5 days
DFT/ISE,21/09/2015,£784.80,SAFETYSTOCK.CO.UK,Health and Safety equipment 
DFT/ISE,22/09/2015,£649.68,BURLINGTON UNIFORMS LT,Clothing/uniform items
DFT/ISE,24/09/2015,"£3,621.89",EMIRATES    1762193183916,Return flight for 1 staff member
