Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description,Supplier Site Postcode,Project Code,Expenditure Type,Supplier Type,Contract Number,Vat Registration Num
,,01/09/2015,Outsourcing Contract,DG: IGT,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12671396,"44,216.00",LD Census,LS1 6AE,,,PUBLIC,,
,,01/09/2015,Outsourcing Contract,DG: IGT,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12671396,"-44,216.00",Adult Psychiatric Morbidity Survey,LS1 6AE,,,PUBLIC,,
,,01/09/2015,Outsourcing Contract,DG: SFNHS,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,6287817,"208,536.00",2015-16 Funding to cover direct costs of providing hosting services for  Ambulance Radio Programme,EX2 7HY,,,PUBLIC,,
,,01/09/2015,Research & development,DG: RDD,PUBLIC HEALTH ENGLAND PHE033,ERS-543392-109547,"241,250.00",CJD ,SP4 0JG,,,PUBLIC,,
,,01/09/2015,SpHAs Programme Revenue Parliamentary Funding,DG: Central Technical,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-18707,"9,300,000.00",,NE1 6SN,,,PUBLIC,,
,,01/09/2015,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,NHS ENGLAND CBA033,HAFS-18708,"3,224,514,000.00",,LS2 7UE,,,PUBLIC,,GB654442045
,,01/09/2015,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,NHS ENGLAND CBA033,HAFS-18709,"5,101,215,000.00",,LS2 7UE,,,PUBLIC,,GB654442045
,,01/09/2015,SpHAs Programme Revenue Parliamentary Funding,DG: Central Technical,NHS TRUST DEVELOPMENT AUTHORITY,HAFS-18710,"3,500,000.00",,SW1E 6QT,,,PUBLIC,,GB654441930
,,01/09/2015,SpHAs Programme Revenue Parliamentary Funding,DG: Central Technical,PUBLIC HEALTH ENGLAND PHE033,HAFS-18711,"72,500,000.00",,SP4 0JG,,,PUBLIC,,
,,01/09/2015,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,CARE QUALITY COMMISSION (CQC) CQC033,HAFS-18712,"10,000,000.00",,,,,PUBLIC,,
,,01/09/2015,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,HAFS-18713,"16,000,000.00",,WF3 1WE,,,PUBLIC,,
,,01/09/2015,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,HEALTH EDUCATION ENGLAND T1510,HAFS-18714,"400,000,000.00",,LS1 4PL,,,PUBLIC,,
,,01/09/2015,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,HEALTH RESEARCH AUTHORITY,HAFS-18715,"1,100,000.00",,SE1 6LH,,,PUBLIC,,GB654441482
,,01/09/2015,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,HUMAN TISSUE AUTHORITY (HTA033),HAFS-18717,"350,000.00",,,,,PUBLIC,,
,,01/09/2015,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,MONITOR INDEPENDENT REGULATOR OF NHS FOUNDATION TRUSTS MIR033,HAFS-18718,"6,000,000.00",,,,,PUBLIC,,
,,01/09/2015,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),HAFS-18719,"6,000,000.00",,SE1 7NT,,,PUBLIC,,
,,01/09/2015,Additions PDC Capital Support NHS T Permenant,DG: Central Technical,LEWISHAM AND GREENWICH NHS TRUST,HAFS-18720,"328,000.00",,SE13 6LH,,,PUBLIC,,
,,01/09/2015,Additions NHS FTs Working Capital Loans,DG: Central Technical,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,HAFS-18721,"5,000,000.00",,PE3 6DA,,,PUBLIC,,
,,01/09/2015,Addition Clearing - SW LIC,DG: IGT,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST,I0012596,"15,274.09",LSP NME Capital Lorenzo May 2015,BB3 0FG,,,PUBLIC,,
,,01/09/2015,Service charge,DG: IGT,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST,I0012596,"196,564.07",LSP NME Revenue Lorenzo May 2015,BB3 0FG,,,PUBLIC,,
,,03/09/2015,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,1410024894,"136,272.67",NCCRCD Management,LS9 7TF,,,PUBLIC,,
,,03/09/2015,Research & development,DG: RDD,LEEDS TEACHING HOSPITAL NHS TRUST,1410024895,"37,072.67",NCCRCD Management,LS9 7TF,,,PUBLIC,,
,,03/09/2015,Outsourcing Contract,DG: SFNHS,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,6288094,"208,536.00",2015-16 Funding to cover direct costs of providing hosting services for  Ambulance Radio Programme,EX2 7HY,,,PUBLIC,,
,,03/09/2015,Outsourcing Contract,DG: PHD,NHS SUPPLY CHAIN,9046000039,"48,625.42",NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2015/16 - 1st April to 31st July 2015,DE55 4QJ,,,PUBLIC,,
,,03/09/2015,Outsourcing Contract,DG: PHD,NHS SUPPLY CHAIN,9046000040,"719,122.31",NHS Supply Chain - School Fruit Vegetable Scheme (SFVS) Distributor funding 2015/16 - 1st April to 31st July 2015,DE55 4QJ,,,PUBLIC,,
