Dept Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number ,Amount
CLG,FSC,01/04/2010,Scrap Vehicles,Ops-Fireground,Common Road Dismantlers,PIN079159,608.06
CLG,FSC,01/04/2010,Scrap Vehicles,Ops-Fireground,Common Road Dismantlers,PIN079159,1730
CLG,FSC,01/04/2010,Electricity,Facilities Costs,EDF Electricity (Was London Electricity Plc),PCR003877,-11852.24
CLG,FSC,01/04/2010,Electricity,Facilities Costs,EDF Electricity (Was London Electricity Plc),PCR003877,-8803.32
CLG,FSC,01/04/2010,Electricity,Facilities Costs,EDF Electricity (Was London Electricity Plc),PIN079455,8713.65
CLG,FSC,01/04/2010,Electricity,Facilities Costs,EDF Electricity (Was London Electricity Plc),PIN079120,8803.32
CLG,FSC,01/04/2010,Electricity,Facilities Costs,EDF Electricity (Was London Electricity Plc),PIN079120,11852.24
CLG,FSC,01/04/2010,Electricity,Facilities Costs,EDF Electricity (Was London Electricity Plc),PIN079455,11852.24
CLG,FSC,01/04/2010,Catering - Other,Int Facilities Mgmt,Europa Facilities Management Ltd,PIN079114,6595.16
CLG,FSC,01/04/2010,Catering - Hospitality,Int Facilities Mgmt,Europa Facilities Management Ltd,PIN079114,37629.19
CLG,FSC,01/04/2010,Catering - Meals,Int Facilities Mgmt,Europa Facilities Management Ltd,PIN079114,70662.76
CLG,FSC,01/04/2010,Travel - Course Delivery,Incident Management,Expotel Hotel Reservations Ltd,PIN079182,-319.16
CLG,FSC,01/04/2010,Travel - Course Delivery,Incident Management,Expotel Hotel Reservations Ltd,PIN079182,1.2
CLG,FSC,01/04/2010,"VL,AL,VF Hotels & Meals",CSSC - FRS FS Trng,Expotel Hotel Reservations Ltd,PIN079183,16.23
CLG,FSC,01/04/2010,"VL,AL,VF Hotels & Meals",CSSC - FRS FS Trng,Expotel Hotel Reservations Ltd,PIN079183,92.5
CLG,FSC,01/04/2010,"VL,AL,VF Hotels & Meals",CSSC - FRS FS Trng,Expotel Hotel Reservations Ltd,PIN079183,92.5
CLG,FSC,01/04/2010,"VL,AL,VF Hotels & Meals",CSSC - FRS FS Trng,Expotel Hotel Reservations Ltd,PIN079183,370
CLG,FSC,01/04/2010,Travel - Course Delivery,Special Ops,Expotel Hotel Reservations Ltd,PIN079182,2960
CLG,FSC,01/04/2010,Travel - Course Delivery,Incident Management,Expotel Hotel Reservations Ltd,PIN079182,6200
CLG,FSC,01/04/2010,Travel - Course Delivery,Incident Management,Expotel Hotel Reservations Ltd,PIN079182,9250
CLG,FSC,01/04/2010,Soft services contract,Int Facilities Mgmt,Fire Service College Mess Club,PIN079277,1333.33
CLG,FSC,01/04/2010,Marketing - Exhibitions,Marketing,Institution of Fire Engineers (Publications),PIN080555,3000
CLG,FSC,01/04/2010,Prepayments,IT Section,IRIS Enterprise Software Ltd,PIN079365,9527
CLG,FSC,01/04/2010,Fireground Consumables,Ops-Fireground,James Latham Western - Lathams Ltd,PIN079210,7725
CLG,FSC,01/04/2010,Telephone Charges,IT Section,Kcom,PIN079209,1217.37
CLG,FSC,01/04/2010,Prepayments,Publications,OCE (UK) Ltd.,PIN079156,11255.12
CLG,FSC,01/04/2010,L&B - WIP,Default Cost Centre,Peter Evans Partnership,PIN079176,1899.44
CLG,FSC,01/04/2010,"VL,AT,RP Fees",Incident Management,SHD Consulting Ltd.,PIN079275,1052
CLG,FSC,01/04/2010,IT Hardware - Rental,IT Section,Star Technology Services Ltd.,PIN079304,3779.66
CLG,FSC,01/04/2010,Water Hygiene & Pollution Control,Prop & Maint Costs,WCS Environmental Ltd,PIN079685,1315.95
CLG,FSC,04/04/2010,"VL,AT,RP Fees",Incident Management,CodexR Ltd,PIN079276,201.6
CLG,FSC,04/04/2010,"VL,AT,RP Fees",Incident Management,CodexR Ltd,PIN079276,3600
CLG,FSC,04/04/2010,"VL,AT,RP Fees",Incident Management,CodexR Ltd,PIN079276,6100
CLG,FSC,05/04/2010,"Student - Travel, etc",Transport,ETC Private Hire & Chauffeur Services,PIN079603,1020
CLG,FSC,06/04/2010,Non-Fgnd Training - Eqpt Rental,Firefighter Training,Cotswold Marquees Ltd.,PIN079270,557.66
CLG,FSC,06/04/2010,Licences and PRS/PPL fees,Facilities Costs,Environment Agency,PIN079635,3420
CLG,FSC,06/04/2010,Core Variable Costs,Int Facilities Mgmt,Europa Facilities Management Ltd,PIN079150,18116.59
CLG,FSC,06/04/2010,Core Fixed Costs,Int Facilities Mgmt,Europa Facilities Management Ltd,PIN079151,36463.03
CLG,FSC,06/04/2010,Core Fixed Costs,Int Facilities Mgmt,Europa Facilities Management Ltd,PIN079151,38431.27
CLG,FSC,06/04/2010,Copyright fees,Information Services,The Copyright Licensing Agency Ltd,PIN079682,1446.12
CLG,FSC,07/04/2010,USAR consumables,USAR,Clucas MOE Ltd.,PIN079376,25
CLG,FSC,07/04/2010,USAR consumables,USAR,Clucas MOE Ltd.,PIN079376,930
CLG,FSC,07/04/2010,Seconded Salary,Default Cost Centre,Fife Council,PIN079099,12293.82
CLG,FSC,07/04/2010,"VL,AT,RP Fees",Incident Management,KA C&CC,PIN079250,7307.33
CLG,FSC,07/04/2010,Prepayments,Facilities Costs,TV Licensing,PIN079148,8875.5
CLG,FSC,07/04/2010,Agency Costs (Admin),Finance Department,Venn Group Limited,PIN079147,2870.9
CLG,FSC,08/04/2010,Reactive Maintenance,Facilities Costs,BMD Fabrications Ltd.,PIN079160,684
CLG,FSC,08/04/2010,Planned Maintenance,Facilities Costs,Buzz Electrical Ltd,PIN079161,1355.78
CLG,FSC,08/04/2010,Vehicles - External Repairs,Ops-Workshops,Direct Access Platforms Ltd,PIN079428,900
CLG,FSC,08/04/2010,Agency Costs (Admin),Marketing,Hays Sales & Marketing,PIN079164,1160
