Department,Entity,Payment date,Expense Type,Expense Area,Supplier,Transaction No,Amount
BIS,HEFCE,13/11/2012,PD - research,R&E programme,Centr for Enterprise,PIC468,"33,187.99"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Accrington,GPROSTD318778,"75,323.00"
BIS,HEFCE,15/11/2012,TCIF Round 2,Finance,Anglia Ruskin Uni,GPROSTD317488,"155,022.00"
BIS,HEFCE,15/11/2012,RCIF Round 2,Finance,Anglia Ruskin Uni,GPROSTD317865,"27,234.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Anglia Ruskin Uni,GPROSTD318796,"2,592,061.00"
BIS,HEFCE,15/11/2012,Research 12-13,RIS policy team,Anglia Ruskin Uni,GPROSTD321604,"111,138.00"
BIS,HEFCE,15/11/2012,HEIF 2011-15,RIS policy team,Anglia Ruskin Uni,GPROSTD322714,"144,076.00"
BIS,HEFCE,15/11/2012,Emp Engagement - Rec,E&P policy team,Anglia Ruskin Uni,GPROSTD326333,"125,000.00"
BIS,HEFCE,15/11/2012,Basic Grant,RIS policy team,Anglia Ruskin Uni,GPROSTD326889,"53,203.00"
BIS,HEFCE,15/11/2012,TCIF Round 2,Finance,Arts Uni Bournemouth,GPROSTD317499,"33,765.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Arts Uni Bournemouth,GPROSTD318805,"642,244.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Askham Bryan College,GPROSTD318823,"137,959.00"
BIS,HEFCE,15/11/2012,TCIF Round 2,Finance,Aston University,GPROSTD317489,"91,788.00"
BIS,HEFCE,15/11/2012,RCIF Round 2,Finance,Aston University,GPROSTD317866,"229,312.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Aston University,GPROSTD318832,"1,860,995.00"
BIS,HEFCE,15/11/2012,Research 12-13,RIS policy team,Aston University,GPROSTD321622,"633,445.00"
BIS,HEFCE,15/11/2012,HEIF 2011-15,RIS policy team,Aston University,GPROSTD322726,"140,796.00"
BIS,HEFCE,15/11/2012,Emp Engagement - Rec,E&P policy team,Aston University,GPROSTD326341,"62,500.00"
BIS,HEFCE,15/11/2012,Basic Grant,RIS policy team,Aston University,GPROSTD326898,"27,228.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Barking and Dagenham,GPROSTD318850,"52,319.00"
BIS,HEFCE,15/11/2012,Inherited Staff,Finance,Barking LEA,GPROSTD314313,"82,106.00"
BIS,HEFCE,15/11/2012,Inherited Staff,Finance,Barnet LEA,GPROSTD314314,"79,108.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Basingstoke College,GPROSTD318886,"34,534.00"
BIS,HEFCE,15/11/2012,Inherited Staff,Finance,Bath LEA,GPROSTD314312,"63,158.00"
BIS,HEFCE,15/11/2012,TCIF Round 2,Finance,Bath Spa University,GPROSTD317491,"77,457.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Bath Spa University,GPROSTD318895,"1,300,669.00"
BIS,HEFCE,15/11/2012,Research 12-13,RIS policy team,Bath Spa University,GPROSTD321631,"57,718.00"
BIS,HEFCE,15/11/2012,Emp Engagement - Rec,E&P policy team,Bath Spa University,GPROSTD326369,"62,500.00"
BIS,HEFCE,15/11/2012,JISC,JISC NAH,Bath Spa University,GPROSTD327479,"35,449.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Bedford College,GPROSTD318913,"56,514.00"
BIS,HEFCE,15/11/2012,TCIF Round 2,Finance,Birkbeck College,GPROSTD317493,"80,360.00"
BIS,HEFCE,15/11/2012,RCIF Round 2,Finance,Birkbeck College,GPROSTD317870,"354,131.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Birkbeck College,GPROSTD318958,"1,667,129.00"
BIS,HEFCE,15/11/2012,Research 12-13,RIS policy team,Birkbeck College,GPROSTD321649,"1,092,397.00"
BIS,HEFCE,15/11/2012,HEIF 2011-15,RIS policy team,Birkbeck College,GPROSTD322750,"53,378.00"
BIS,HEFCE,15/11/2012,TCIF Round 2,Finance,Birmingham City Univ,GPROSTD317495,"173,806.00"
BIS,HEFCE,15/11/2012,RCIF Round 2,Finance,Birmingham City Univ,GPROSTD317872,"69,053.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Birmingham City Univ,GPROSTD319255,"2,997,196.00"
BIS,HEFCE,15/11/2012,Research 12-13,RIS policy team,Birmingham City Univ,GPROSTD321766,"171,540.00"
BIS,HEFCE,15/11/2012,HEIF 2011-15,RIS policy team,Birmingham City Univ,GPROSTD322894,"107,749.00"
BIS,HEFCE,15/11/2012,Inherited Staff,Finance,Birmingham LEA,GPROSTD314317,"57,839.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Birmingham Met Coll,GPROSTD318985,"34,914.00"
BIS,HEFCE,15/11/2012,Policy Ongoing Serv,Central,BIS,PIG6667,"26,642.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Bishop Burton,GPROSTD319003,"220,084.00"
BIS,HEFCE,15/11/2012,TCIF Round 2,Finance,Bishop Gros Uni Coll,GPROSTD317497,"25,730.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Bishop Gros Uni Coll,GPROSTD318994,"297,521.00"
BIS,HEFCE,15/11/2012,Capital for FECs,E&P policy team,Blackburn College,GPROSTD318220,"84,166.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Blackburn College,GPROSTD319012,"621,908.00"
BIS,HEFCE,15/11/2012,Capital for FECs,E&P policy team,Blackpool College,GPROSTD318221,"69,430.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Blackpool College,GPROSTD319021,"653,373.00"
BIS,HEFCE,15/11/2012,TCIF Round 2,Finance,Bournemouth Uni,GPROSTD317500,"154,522.00"
BIS,HEFCE,15/11/2012,RCIF Round 2,Finance,Bournemouth Uni,GPROSTD317874,"62,335.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Bournemouth Uni,GPROSTD319057,"2,762,292.00"
BIS,HEFCE,15/11/2012,Research 12-13,RIS policy team,Bournemouth Uni,GPROSTD321685,"200,227.00"
BIS,HEFCE,15/11/2012,HEIF 2011-15,RIS policy team,Bournemouth Uni,GPROSTD322786,"53,416.00"
BIS,HEFCE,15/11/2012,Capital for FECs,E&P policy team,Bradford College,GPROSTD318223,"86,997.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Bradford College,GPROSTD319075,"513,115.00"
BIS,HEFCE,15/11/2012,Inherited Staff,Finance,Bradford LEA,GPROSTD314319,"29,471.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Bridgwater College,GPROSTD319093,"45,007.00"
BIS,HEFCE,15/11/2012,TCIF Round 2,Finance,Brunel University,GPROSTD317503,"144,296.00"
BIS,HEFCE,15/11/2012,RCIF Round 2,Finance,Brunel University,GPROSTD317877,"430,069.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Brunel University,GPROSTD319156,"2,591,870.00"
BIS,HEFCE,15/11/2012,Research 12-13,RIS policy team,Brunel University,GPROSTD321721,"1,218,198.00"
BIS,HEFCE,15/11/2012,HEIF 2011-15,RIS policy team,Brunel University,GPROSTD322834,"93,668.00"
BIS,HEFCE,15/11/2012,Inherited Staff,Finance,Bucks County Council,GPROSTD314322,"35,458.00"
BIS,HEFCE,15/11/2012,TCIF Round 2,Finance,Bucks New University,GPROSTD317504,"71,908.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Bucks New University,GPROSTD319165,"1,390,733.00"
BIS,HEFCE,15/11/2012,Research 12-13,RIS policy team,Bucks New University,GPROSTD321730,"26,403.00"
BIS,HEFCE,15/11/2012,HEIF 2011-15,RIS policy team,Bucks New University,GPROSTD322846,"63,028.00"
BIS,HEFCE,15/11/2012,JISC,JISC NAH,BUFVC,GPROSTD327456,"152,875.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Calderdale College,GPROSTD319183,"49,719.00"
BIS,HEFCE,15/11/2012,TCIF Round 2,Finance,Canterbury CCUC,GPROSTD317506,"128,260.00"
BIS,HEFCE,15/11/2012,RCIF Round 2,Finance,Canterbury CCUC,GPROSTD317881,"28,084.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Canterbury CCUC,GPROSTD319210,"1,807,480.00"
BIS,HEFCE,15/11/2012,Research 12-13,RIS policy team,Canterbury CCUC,GPROSTD321748,"101,170.00"
BIS,HEFCE,15/11/2012,HEIF 2011-15,RIS policy team,Canterbury CCUC,GPROSTD322870,"73,169.00"
BIS,HEFCE,15/11/2012,Emp Engagement - Rec,E&P policy team,Canterbury CCUC,GPROSTD326345,"62,500.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Carlisle College,GPROSTD319237,"44,483.00"
BIS,HEFCE,15/11/2012,Voluntary Giving,Finance,Case Europe,GPROSTD314831,"41,291.80"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Central Sussex Coll,GPROSTD319282,"52,095.00"
BIS,HEFCE,15/11/2012,Inherited Staff,Finance,Cheshire West,GPROSTD314324,"38,475.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Chesterfield College,GPROSTD319300,"102,739.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Chichester College,GPROSTD319309,"32,092.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,City of Sunderland C,GPROSTD319363,"82,963.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,City of Westminster,GPROSTD319336,"56,167.00"
BIS,HEFCE,15/11/2012,TCIF Round 2,Finance,City University,GPROSTD317510,"89,765.00"
BIS,HEFCE,15/11/2012,RCIF Round 2,Finance,City University,GPROSTD317884,"281,944.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,City University,GPROSTD319381,"1,599,337.00"
BIS,HEFCE,15/11/2012,Research 12-13,RIS policy team,City University,GPROSTD321811,"1,047,413.00"
BIS,HEFCE,15/11/2012,HEIF 2011-15,RIS policy team,City University,GPROSTD322942,"139,491.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Cleveland College,GPROSTD319417,"141,103.00"
BIS,HEFCE,15/11/2012,TCIF Round 2,Finance,Conservatoire D&D,GPROSTD317602,"28,342.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Conservatoire D&D,GPROSTD319435,"851,096.00"
BIS,HEFCE,15/11/2012,HEIF 2011-15,RIS policy team,Conservatoire D&D,GPROSTD322954,"31,238.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Courtauld Institute,GPROSTD319453,"83,788.00"
BIS,HEFCE,15/11/2012,Research 12-13,RIS policy team,Courtauld Institute,GPROSTD321820,"122,390.00"
BIS,HEFCE,15/11/2012,"Museums, Gal & Coll",RIS policy team,Courtauld Institute,GPROSTD323950,"80,385.00"
BIS,HEFCE,15/11/2012,Inherited Staff,Finance,Coventry LEA,GPROSTD314325,"28,803.00"
BIS,HEFCE,15/11/2012,TCIF Round 2,Finance,Coventry University,GPROSTD317511,"187,749.00"
BIS,HEFCE,15/11/2012,RCIF Round 2,Finance,Coventry University,GPROSTD317885,"93,767.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Coventry University,GPROSTD319462,"3,633,789.00"
BIS,HEFCE,15/11/2012,Research 12-13,RIS policy team,Coventry University,GPROSTD321829,"198,126.00"
BIS,HEFCE,15/11/2012,HEIF 2011-15,RIS policy team,Coventry University,GPROSTD322966,"237,405.00"
BIS,HEFCE,15/11/2012,Emp Engagement - Rec,E&P policy team,Coventry University,GPROSTD326277,"250,000.00"
BIS,HEFCE,15/11/2012,TCIF Round 2,Finance,Cranfield University,GPROSTD317512,"43,221.00"
BIS,HEFCE,15/11/2012,RCIF Round 2,Finance,Cranfield University,GPROSTD317886,"848,849.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Cranfield University,GPROSTD319480,"911,527.00"
BIS,HEFCE,15/11/2012,Research 12-13,RIS policy team,Cranfield University,GPROSTD321838,"1,289,908.00"
BIS,HEFCE,15/11/2012,HEIF 2011-15,RIS policy team,Cranfield University,GPROSTD322978,"237,405.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Craven College,GPROSTD319471,"40,670.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Croydon College,GPROSTD319498,"197,114.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Dearne Valley Coll,GPROSTD319516,"31,377.00"
BIS,HEFCE,15/11/2012,TCIF Round 2,Finance,De Montfort Uni,GPROSTD317514,"201,409.00"
BIS,HEFCE,15/11/2012,RCIF Round 2,Finance,De Montfort Uni,GPROSTD317887,"198,768.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,De Montfort Uni,GPROSTD319525,"3,425,222.00"
BIS,HEFCE,15/11/2012,Research 12-13,RIS policy team,De Montfort Uni,GPROSTD321865,"461,471.00"
BIS,HEFCE,15/11/2012,HEIF 2011-15,RIS policy team,De Montfort Uni,GPROSTD322990,"85,343.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Derby College,GPROSTD319543,"28,086.00"
BIS,HEFCE,15/11/2012,Inherited Staff,Finance,Devon LEA,GPROSTD314330,"35,146.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Doncaster College,GPROSTD319552,"195,813.00"
BIS,HEFCE,15/11/2012,Inherited Staff,Finance,Dorset LEA,GPROSTD314332,"25,768.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Dudley Coll of Tech,GPROSTD319561,"44,608.00"
BIS,HEFCE,15/11/2012,JISC,JISC NAH,Dundee Uni,GPROSTD327481,"25,021.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Ealing Ham  & W Lond,GPROSTD319579,"30,669.00"
BIS,HEFCE,15/11/2012,Inherited Staff,Finance,East Riding,GPROSTD314336,"51,645.00"
BIS,HEFCE,15/11/2012,Inherited Staff,Finance,East Riding,GPROSTD327443,"56,878.12"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,East Riding College,GPROSTD319624,"40,954.00"
BIS,HEFCE,15/11/2012,Inherited Staff,Finance,East Sussex LEA,GPROSTD314337,"82,977.00"
BIS,HEFCE,15/11/2012,TCIF Round 2,Finance,Edge Hill University,GPROSTD317519,"133,103.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Edge Hill University,GPROSTD319633,"1,862,746.00"
BIS,HEFCE,15/11/2012,Research 12-13,RIS policy team,Edge Hill University,GPROSTD321910,"27,200.00"
BIS,HEFCE,15/11/2012,Emp Engagement - Rec,E&P policy team,Edge Hill University,GPROSTD326293,"125,000.00"
BIS,HEFCE,15/11/2012,JISC,JISC NAH,Edinburgh University,GPROSTD327454,"614,084.00"
BIS,HEFCE,15/11/2012,JISC Capital,JISC NAH,Edinburgh University,GPROSTD327496,"58,328.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Exeter College,GPROSTD319660,"29,002.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Farnborough College,GPROSTD319696,"197,260.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Gateshead College,GPROSTD319714,"101,701.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Gloucestershire Coll,GPROSTD319732,"104,673.00"
BIS,HEFCE,15/11/2012,TCIF Round 2,Finance,Goldsmiths College,GPROSTD317525,"73,936.00"
BIS,HEFCE,15/11/2012,RCIF Round 2,Finance,Goldsmiths College,GPROSTD317898,"233,226.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Goldsmiths College,GPROSTD319741,"1,113,564.00"
BIS,HEFCE,15/11/2012,Research 12-13,RIS policy team,Goldsmiths College,GPROSTD321964,"876,237.00"
BIS,HEFCE,15/11/2012,HEIF 2011-15,RIS policy team,Goldsmiths College,GPROSTD323110,"27,585.00"
BIS,HEFCE,15/11/2012,Capital for FECs,E&P policy team,Grimsby Institute,GPROSTD318252,"56,543.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Grimsby Institute,GPROSTD319759,"433,567.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Guildford College,GPROSTD319768,"128,831.00"
BIS,HEFCE,15/11/2012,SDF Recurrent,RIS policy team,Guildhall Sch M & D,GPROSTD311937,"56,000.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Guildhall Sch M & D,GPROSTD319777,"189,091.00"
BIS,HEFCE,15/11/2012,HEIF 2011-15,RIS policy team,Guildhall Sch M & D,GPROSTD323134,"25,437.00"
BIS,HEFCE,15/11/2012,Inherited Staff,Finance,Hampshire LEA,GPROSTD314340,"94,607.00"
BIS,HEFCE,15/11/2012,Revolving Green Fund,RIS policy team,Harper Adams Uni Col,GPROSTD261888,"60,000.00"
BIS,HEFCE,15/11/2012,TCIF Round 2,Finance,Harper Adams Uni Col,GPROSTD317528,"52,058.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Harper Adams Uni Col,GPROSTD319831,"1,239,874.00"
BIS,HEFCE,15/11/2012,Research 12-13,RIS policy team,Harper Adams Uni Col,GPROSTD321991,"30,507.00"
BIS,HEFCE,15/11/2012,Emp Engagement - Rec,E&P policy team,Harper Adams Uni Col,GPROSTD326285,"250,000.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Hartpury College,GPROSTD319840,"46,870.00"
BIS,HEFCE,15/11/2012,Capital for FECs,E&P policy team,Havering College,GPROSTD318256,"38,437.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Havering College,GPROSTD319858,"296,452.00"
BIS,HEFCE,15/11/2012,HE Academy,E&P policy team,HE Academy,GPROSTD326398,"500,000.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Henley College,GPROSTD319867,"49,892.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Hereford Coll of Art,GPROSTD319876,"93,050.00"
BIS,HEFCE,15/11/2012,Inherited Staff,Finance,Hertfordshire LEA,GPROSTD314342,"31,201.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Heythrop College,GPROSTD319903,"96,425.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Highbury College,GPROSTD319912,"49,853.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Hopwood Hall College,GPROSTD319930,"40,676.00"
BIS,HEFCE,15/11/2012,Capital for FECs,E&P policy team,Hull College,GPROSTD318262,"53,404.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Hull College,GPROSTD319957,"391,173.00"
BIS,HEFCE,15/11/2012,SDF Recurrent,RIS policy team,Imperial College,GPROSTD287395,"28,618.00"
BIS,HEFCE,15/11/2012,SDF Recurrent,RIS policy team,Imperial College,GPROSTD304061,"29,405.00"
BIS,HEFCE,15/11/2012,TCIF Round 2,Finance,Imperial College,GPROSTD317532,"223,828.00"
BIS,HEFCE,15/11/2012,RCIF Round 2,Finance,Imperial College,GPROSTD317904,"6,068,269.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Imperial College,GPROSTD319975,"4,935,908.00"
BIS,HEFCE,15/11/2012,Research 12-13,RIS policy team,Imperial College,GPROSTD322036,"10,692,634.00"
BIS,HEFCE,15/11/2012,HEIF 2011-15,RIS policy team,Imperial College,GPROSTD323182,"237,405.00"
BIS,HEFCE,15/11/2012,RCIF Round 2,Finance,Inst Cancer Research,GPROSTD317880,"853,839.00"
BIS,HEFCE,15/11/2012,Teaching 12-13,E&P policy team,Inst Cancer Research,GPROSTD319219,"70,364.00"
BIS,HEFCE,15/11/2012,Research 12-13,RIS policy team,Inst Cancer Research,GPROSTD321757,"1,791,815.00"
BIS,HEFCE,15/11/2012,HEIF 2011-15,RIS policy team,Inst Cancer Research,GPROSTD322882,"58,570.00"
