Department,Entity,Payment date,Expense Type,Expense Area,Supplier,Transaction no,Amount
BIS,HEFCE,10/01/2013,Payroll control,Running costs,Cabinet Office PCSPS,PIS2441,"181,157.90"
BIS,HEFCE,10/01/2013,PD - research,R&E programme,Eduserv,PIC489,"209,052.84"
BIS,HEFCE,10/01/2013,PD - research,R&E programme,I Graduate,PIC490,"53,907.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Accrington,GPROSTD318775,"75,323.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Anglia Ruskin Uni,GPROSTD318793,"2,592,061.00"
BIS,HEFCE,14/01/2013,Research 12-13,RIS policy team,Anglia Ruskin Uni,GPROSTD321601,"111,138.00"
BIS,HEFCE,14/01/2013,HEIF 2011-15,RIS policy team,Anglia Ruskin Uni,GPROSTD322708,"144,075.00"
BIS,HEFCE,14/01/2013,Access to Learn Fund,E&P policy team,Anglia Ruskin Uni,GPROSTD325333,"145,901.00"
BIS,HEFCE,14/01/2013,Basic Grant,RIS policy team,Anglia Ruskin Uni,GPROSTD326886,"53,155.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Arts Uni Bournemouth,GPROSTD318802,"642,244.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Askham Bryan College,GPROSTD318820,"137,959.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Aston University,GPROSTD318829,"1,860,995.00"
BIS,HEFCE,14/01/2013,Research 12-13,RIS policy team,Aston University,GPROSTD321619,"633,445.00"
BIS,HEFCE,14/01/2013,HEIF 2011-15,RIS policy team,Aston University,GPROSTD322720,"140,796.00"
BIS,HEFCE,14/01/2013,Access to Learn Fund,E&P policy team,Aston University,GPROSTD325345,"34,619.00"
BIS,HEFCE,14/01/2013,Basic Grant,RIS policy team,Aston University,GPROSTD326895,"27,204.00"
BIS,HEFCE,14/01/2013,Inherited Staff,Finance,Barking and Dagenham,GPROSTD314503,"82,106.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Barking and Dagenham,GPROSTD318847,"52,319.00"
BIS,HEFCE,14/01/2013,Inherited Staff,Finance,Barnet LEA,GPROSTD314504,"79,108.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Basingstoke College,GPROSTD318883,"34,534.00"
BIS,HEFCE,14/01/2013,Inherited Staff,Finance,Bath LEA,GPROSTD314502,"63,158.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Bath Spa University,GPROSTD318892,"1,300,669.00"
BIS,HEFCE,14/01/2013,Research 12-13,RIS policy team,Bath Spa University,GPROSTD321628,"57,718.00"
BIS,HEFCE,14/01/2013,Access to Learn Fund,E&P policy team,Bath Spa University,GPROSTD325366,"41,619.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Bedford College,GPROSTD318910,"56,514.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Birkbeck College,GPROSTD318955,"1,667,129.00"
BIS,HEFCE,14/01/2013,Research 12-13,RIS policy team,Birkbeck College,GPROSTD321646,"1,092,397.00"
BIS,HEFCE,14/01/2013,HEIF 2011-15,RIS policy team,Birkbeck College,GPROSTD322744,"53,378.00"
BIS,HEFCE,14/01/2013,Access to Learn Fund,E&P policy team,Birkbeck College,GPROSTD325387,"130,920.00"
BIS,HEFCE,14/01/2013,Teaching 12-13,E&P policy team,Birmingham City Univ,GPROSTD319252,"2,997,196.00"
BIS,HEFCE,14/01/2013,Research 12-13,RIS policy team,Birmingham City Univ,GPROSTD321763,"171,540.00"
BIS,HEFCE,14/01/2013,HEIF 2011-15,RIS policy team,Birmingham City Univ,GPROSTD322888,"107,749.00"
