Department,Entity,Payment date,Supplier,TransactionNo,Amount,Expense Type,Expense Area
BIS,HEFCE,09/01/2015,Knight Frank LLP,PIS4349,"94,413.60",Premises costs,ROBO
BIS,HEFCE,09/01/2015,Knight Frank LLP,PIS4350,"69,982.50",Premises costs,ROBO
BIS,HEFCE,15/01/2015,Accrington,GPROSTD355251,"25,244.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Anglia Ruskin Uni,GPROSTD355269,"1,201,511.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Anglia Ruskin Uni,GPROSTD358293,"126,469.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,Anglia Ruskin Uni,GPROSTD361470,"129,720.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,Anglia Ruskin Uni,GPROSTD362361,"43,240.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,15/01/2015,Anglia Ruskin Uni,GPROSTD366822,"212,696.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,Arts Uni Bournemouth,GPROSTD355278,"160,515.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Askham Bryan College,GPROSTD355296,"78,382.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Aston University,GPROSTD346835,"234,079.00",PSS,E&P policy team
BIS,HEFCE,15/01/2015,Aston University,GPROSTD355305,"977,427.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Aston University,GPROSTD358311,"633,122.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,Aston University,GPROSTD361479,"126,767.00",HEIF 2011-15 (BIS),RIS policy team
BIS,HEFCE,15/01/2015,Aston University,GPROSTD362370,"42,256.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,15/01/2015,Aston University,GPROSTD366825,"36,671.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,Barking and Dagenham,GPROSTD355323,"44,720.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Barnsley College,GPROSTD355350,"53,759.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Bath Spa University,GPROSTD355368,"310,795.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Bath Spa University,GPROSTD358320,"59,355.00",Research 14-15,RIS policy team
BIS,HEFCE,15/01/2015,Bath Spa University,GPROSTD366827,"28,389.00",CO,E&P policy team
BIS,HEFCE,15/01/2015,Bedford College,GPROSTD355386,"57,218.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Birkbeck College,GPROSTD256471,"142,857.00",SDF Capital (T),RIS policy team
BIS,HEFCE,15/01/2015,Birkbeck College,GPROSTD355440,"1,016,696.00",Teaching 14-15,E&P policy team
BIS,HEFCE,15/01/2015,Birkbeck College,GPROSTD358338,"1,077,399.00",Research 14-15,RIS policy team
