Department,Entity,Payment date,Expense Type,Expense Area,Supplier,Transaction No,Amount,Expense Type,Expense Area
BIS,HEFCE,06/04/2013,PL Control - Run,Running costs,Cabinet Office PCSPS,PIS2624,"170,704.99",Payroll control,Running costs
BIS,HEFCE,11/04/2013,PL Control - Run,Running costs,Centr for Enterprise,PIC529,"41,715.00",PD - research,R&E programme
BIS,HEFCE,11/04/2013,PL Control - Run,Running costs,City of London,PIS2659,"42,075.00",Rates,Facilities Managemen
BIS,HEFCE,11/04/2013,PL Control - Run,Running costs,HESA,PIS2644,"68,592.58",Contract staff,Regulatory Partnersh
BIS,HEFCE,11/04/2013,PL Control - Run,Running costs,I Graduate,PIC528,"42,000.00",PD - research,R&E programme
BIS,HEFCE,11/04/2013,PL Control - Run,Running costs,South Glos Council,PIS2660,"142,477.50",Rates,Facilities Managemen
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Accrington,GPROSTD318780,"62,185.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Anglia Ruskin Uni,GPROSTD318798,"2,139,957.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Anglia Ruskin Uni,GPROSTD321606,"91,753.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Anglia Ruskin Uni,GPROSTD322716,"144,248.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Anglia Ruskin Uni,GPROSTD326891,"53,155.00",Basic Grant,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Anglia Ruskin Uni,GPROSTD331241,"685,750.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Arts Uni Bournemouth,GPROSTD318807,"530,225.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Arts Uni Bournemouth,GPROSTD331252,"155,508.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Askham Bryan College,GPROSTD318825,"113,897.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Aston University,GPROSTD318834,"1,536,403.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Aston University,GPROSTD321624,"522,960.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Aston University,GPROSTD322728,"140,965.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Aston University,GPROSTD326900,"27,204.00",Basic Grant,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Barking and Dagenham,GPROSTD318852,"43,194.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Basingstoke College,GPROSTD318888,"28,511.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Bath Spa University,GPROSTD318897,"1,073,808.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Bath Spa University,GPROSTD321633,"47,651.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Bedford College,GPROSTD318915,"46,657.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Birkbeck College,GPROSTD318960,"1,376,351.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Birkbeck College,GPROSTD321651,"901,863.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Birkbeck College,GPROSTD322752,"53,442.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Birmingham City Univ,GPROSTD319257,"2,474,429.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Birmingham City Univ,GPROSTD321768,"141,620.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Birmingham City Univ,GPROSTD322896,"107,878.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Birmingham Met Coll,GPROSTD318987,"28,825.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Birmingham Met Coll,GPROSTD331379,"67,362.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Bishop Burton,GPROSTD319005,"181,697.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Bishop Burton,GPROSTD331380,"53,669.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Bishop Gros Uni,GPROSTD318996,"245,628.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Blackburn College,GPROSTD319014,"513,435.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Blackpool College,GPROSTD319023,"539,413.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Bournemouth Uni,GPROSTD319059,"2,280,497.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Bournemouth Uni,GPROSTD321687,"165,304.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Bournemouth Uni,GPROSTD322788,"53,480.00",HEIF 2011-15,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Bournemouth Uni,GPROSTD331253,"39,903.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Bradford College,GPROSTD319077,"423,618.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Bradford College,GPROSTD331385,"39,137.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Bridgwater College,GPROSTD319095,"37,156.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Brooksby College,GPROSTD331391,"29,089.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Brunel University,GPROSTD319158,"2,139,800.00",Teaching 12-13,E&P policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Brunel University,GPROSTD321723,"1,005,722.00",Research 12-13,RIS policy team
BIS,HEFCE,18/04/2013,PL Control - Grant,Grant,Brunel University,GPROSTD322836,"93,781.00",HEIF 2011-15,RIS policy team
