Department,Entity,Payment date,Expense Type,Expense Area,Supplier,TransactionNo,Amount
BIS,HEFCE,04/07/2015,PD - research,"R,,E & KE",Pye Tait Consulting,PIC755,"32,484.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Anglia Ruskin Uni,GPROSTD355277,"1,081,360.00"
BIS,HEFCE,16/07/2015,Research 14-15,RIS policy team,Anglia Ruskin Uni,GPROSTD358301,"103,473.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15 (BIS),RIS policy team,Anglia Ruskin Uni,GPROSTD361478,"129,719.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15,RIS policy team,Anglia Ruskin Uni,GPROSTD362369,"43,239.00"
BIS,HEFCE,16/07/2015,Teaching 13-14,E&P policy team,Anglia Ruskin Uni,GPROSTD374049,"26,036.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Arts Uni Bournemouth,GPROSTD355286,"144,464.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Askham Bryan College,GPROSTD355304,"70,544.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Aston University,GPROSTD355313,"879,685.00"
BIS,HEFCE,16/07/2015,Research 14-15,RIS policy team,Aston University,GPROSTD358319,"518,009.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15 (BIS),RIS policy team,Aston University,GPROSTD361487,"126,767.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15,RIS policy team,Aston University,GPROSTD362378,"42,255.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Barking and Dagenham,GPROSTD355331,"40,248.00"
BIS,HEFCE,16/07/2015,Inherited Staff,Finance,Barking and Dagenham,GPROSTD382066,"71,813.94"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Barnsley College,GPROSTD355358,"48,383.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Bath Spa University,GPROSTD355376,"279,716.00"
BIS,HEFCE,16/07/2015,Research 14-15,RIS policy team,Bath Spa University,GPROSTD358328,"48,562.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Bath Spa University,GPROSTD371441,"36,918.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Bedford College,GPROSTD355394,"51,495.00"
BIS,HEFCE,16/07/2015,SDF Capital (T),RIS policy team,Birkbeck College,GPROSTD256477,"142,858.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Birkbeck College,GPROSTD355448,"915,025.00"
BIS,HEFCE,16/07/2015,Research 14-15,RIS policy team,Birkbeck College,GPROSTD358346,"881,508.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15 (BIS),RIS policy team,Birkbeck College,GPROSTD361505,"48,059.00"
BIS,HEFCE,16/07/2015,Catalyst Fund  (R),RIS policy team,Birkbeck College,GPROSTD363290,"48,794.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Birmingham City Univ,GPROSTD355781,"1,065,653.00"
BIS,HEFCE,16/07/2015,Research 14-15,RIS policy team,Birmingham City Univ,GPROSTD358463,"156,770.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15 (BIS),RIS policy team,Birmingham City Univ,GPROSTD361613,"97,012.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15,RIS policy team,Birmingham City Univ,GPROSTD362504,"32,337.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Birmingham City Univ,GPROSTD371613,"352,772.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Birmingham Met Coll,GPROSTD355475,"52,586.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Bishop Burton,GPROSTD355493,"99,343.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Bishop Gros Uni,GPROSTD355484,"61,561.00"
BIS,HEFCE,16/07/2015,Teaching 13-14,E&P policy team,Bishop Gros Uni,GPROSTD374133,"57,764.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Blackburn College,GPROSTD355511,"190,826.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Blackpool College,GPROSTD355520,"243,405.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Bournemouth & Poole,GPROSTD355565,"39,188.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Bournemouth Uni,GPROSTD355556,"1,017,405.00"
BIS,HEFCE,16/07/2015,Research 14-15,RIS policy team,Bournemouth Uni,GPROSTD358382,"177,213.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15 (BIS),RIS policy team,Bournemouth Uni,GPROSTD361532,"48,093.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Bradford College,GPROSTD355583,"196,263.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Bridgwater College,GPROSTD355601,"25,154.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Brunel University,GPROSTD355664,"965,670.00"
BIS,HEFCE,16/07/2015,Research 14-15,RIS policy team,Brunel University,GPROSTD358418,"1,003,127.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15 (BIS),RIS policy team,Brunel University,GPROSTD361568,"84,335.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15,RIS policy team,Brunel University,GPROSTD362459,"28,111.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Brunel University,GPROSTD371565,"27,666.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Bucks New University,GPROSTD355673,"381,768.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15 (BIS),RIS policy team,Bucks New University,GPROSTD361577,"56,747.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Burnley College,GPROSTD355682,"25,756.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Canterbury CCUC,GPROSTD355736,"448,091.00"
BIS,HEFCE,16/07/2015,Research 14-15,RIS policy team,Canterbury CCUC,GPROSTD358445,"77,099.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15 (BIS),RIS policy team,Canterbury CCUC,GPROSTD361595,"65,878.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Canterbury CCUC,GPROSTD371593,"229,018.00"
BIS,HEFCE,16/07/2015,Teaching 13-14,E&P policy team,Canterbury CCUC,GPROSTD374237,"29,727.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Canterbury College,GPROSTD355754,"27,528.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Central College Nott,GPROSTD357689,"30,956.00"
BIS,HEFCE,16/07/2015,Inherited Staff,Finance,Cheshire West,GPROSTD382071,"31,215.48"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Chesterfield College,GPROSTD355826,"36,524.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,City College Norwich,GPROSTD357230,"59,040.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,City of Bristol Coll,GPROSTD355925,"61,043.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,City of Westminster,GPROSTD355871,"43,508.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Cleveland College,GPROSTD355943,"47,965.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Conservatoire D&D,GPROSTD355961,"570,624.00"
BIS,HEFCE,16/07/2015,HEIF 2011-15 (BIS),RIS policy team,Conservatoire D&D,GPROSTD361658,"28,124.00"
BIS,HEFCE,16/07/2015,Teaching 14-15,E&P policy team,Cornwall College,GPROSTD355970,"70,017.00"
