Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract,Project Code,Expenditure
HMRC,HMRC,03/12/2012,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100074492,"£999,818.88",Utility payment,SE1 0TA,,,,
HMRC,HMRC,03/12/2012,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100074492,"£381,866.10",Utility payment,SE1 0TA,,,,
HMRC,HMRC,03/12/2012,Oil,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100074492,"£105,484.51",Utility payment,SE1 0TA,,,,
HMRC,HMRC,03/12/2012,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100074492,"£100,015.25",Utility payment,SE1 0TA,,,,
HMRC,HMRC,03/12/2012,Water,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100074492,"£74,620.41",Utility payment,SE1 0TA,,,,
HMRC,HMRC,03/12/2012,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100074492,"£51,399.91",Utility payment,SE1 0TA,,,,
HMRC,HMRC,03/12/2012,Water,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100074492,"£42,720.18",Utility payment,SE1 0TA,,,,
HMRC,HMRC,03/12/2012,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100074492,"£4,749.21",Utility payment,SE1 0TA,,,,
HMRC,HMRC,03/12/2012,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100074492,"£3,871.36",Utility payment,SE1 0TA,,,,
HMRC,HMRC,03/12/2012,Oil,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100074492,"£3,260.51",Utility payment,SE1 0TA,,,,
HMRC,HMRC,04/12/2012,Samplng & Analytical,Specialist Investigations (SI),LGC LTD,5100073799,"£94,785.60",Forensic Services,TW11 0LY,,,,
HMRC,HMRC,04/12/2012,Research (VAT rec),Knowledge Analysis & Intelligence,IFF RESEARCH LTD,5100073806,"£35,368.80",Evaluation of the impact of HMRC's education programmes on the tax compliance attitude and behaviour of SMEs.,N1 6DD,,,,
HMRC,HMRC,04/12/2012,Disposal Seized Gds,Specialist Investigations (SI),VEOLIA ENVIRONMENTAL SERVICES PLC,5100074493,"£43,030.66",Outsourced services for storing & disposing of seized goods,WS11 8JP,,,,
HMRC,HMRC,04/12/2012,Website Development,Business Customer & Strategy,SERCO ASSURANCE,5100074494,"£696,000.00",Provision & maintenance of the business.gov website for HMRC,RG27 9XA,,,,
HMRC,HMRC,04/12/2012,Legal Service Sol's,Solicitors Office,THE SCOTLAND OFFICE,5100074560,"£34,824.48",Costs incurred by OSAG (Office for the Solicitor to the Advocate General) for HMRC cases.,EH3 7HW,,,,
HMRC,HMRC,04/12/2012,Govt dept services,Risk & Intelligence,FOREIGN AND COMMONWEALTH OFFICE,5100074636,"£41,325.84",Payment of costs of HMRC officers stationed abroad,MK10 1PX
HMRC,HMRC,04/12/2012,Data Purchases,S&ID,COMPANIES HOUSE,5100074660,"£41,500.00",Provision of data for tax administration.,CF14 3UZ
HMRC,HMRC,05/12/2012,Nat Pst Del Ser(VAT),Commercial Directorate,ROYAL MAIL,5100074665,"£535,937.12",Payment for mail delivery services,PE4 5BR
HMRC,HMRC,05/12/2012,Nat Pst Del Ser NVAT,Commercial Directorate,ROYAL MAIL,5100074665,"£12,211.00",Payment for mail collection and sorting service before final delivery to customers,PE4 5BR
HMRC,HMRC,05/12/2012,Oth PFI unitary chrg,Estates & Support Services,HAYMARKET SPV LTD,5100074817,"£173,817.28",Charges for accommodation provided under the Edinburgh Private Finance Initiative contract,W1U 8EW
HMRC,HMRC,05/12/2012,Oth PFI unitary chrg,Estates & Support Services,COCHRANE SQUARE SPV LTD,5100074818,"£177,181.04",Charges for accommodation provided under the Glasgow Private Finance Initiative contract,W1U 8EW
HMRC,HMRC,05/12/2012,Oth PFI unitary chrg,Estates & Support Services,LR (MANCHESTER) LTD,5100074819,"£844,980.41",Charges for accommodation provided under the Manchester Private Finance Initiative contract,W1U 8EW
HMRC,HMRC,05/12/2012,Maj AW struc non-VAT,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100074821,"£385,857.98",Essential works to support the optimisation of offices in Bristol,SE1 0TA
HMRC,HMRC,05/12/2012,Court Fees,Debt Management & Banking,THE INSOLVENCY SERVICE,5100074829,"£109,810.00",Court Fees,B4 6FD
HMRC,HMRC,05/12/2012,Maj AW non-struc VAT,Estates & Support Services,EXCHEQUER PARTNERSHIP PLC,5100074832,"£569,873.21",Feasibility work as part of the optimisation of 100 Parliament Street London ,M41 7HG
HMRC,HMRC,05/12/2012,STEPS FUP,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100074834,"£18,973.74",Monthly charge for fully serviced accommodation across the UK under the Mapeley STEPS Private Finance Initiative contract,SE1 0TA
HMRC,HMRC,05/12/2012,STEPS FUP,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100074834,"£7,378.68",Monthly charge for fully serviced accommodation across the UK under the Mapeley STEPS Private Finance Initiative contract,SE1 0TA
HMRC,HMRC,05/12/2012,Min AW non-struc VAT,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100074842,"£64,028.16",Air handling works undertaken in Shipley,SE1 0TA
HMRC,HMRC,05/12/2012,Min AW non-struc VAT,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100074843,"£63,390.51",Air handling works undertaken in Shipley,SE1 0TA
HMRC,HMRC,05/12/2012,Grant in Aid Funding,PT Customer & Strategy,TAXAID,5100074881,"£95,254.00",Programme to provide support to HMRCs vulnerable customers who need help when interacting with HMRC. ,SE1 0LH
HMRC,HMRC,05/12/2012,Grant in Aid Funding,PT Customer & Strategy,TAXAID,5100074883,"£31,875.00",Programme to provide support to HMRCs vulnerable customers who need help when interacting with HMRC. ,SE1 0LH
HMRC,HMRC,05/12/2012,Printing,PT Director,WILLIAMS LEA LTD,5100074905,"£36,123.95",Printing of letters to issue to RTI,WF6 1TN
HMRC,HMRC,05/12/2012,Printing,PT Director,WILLIAMS LEA LTD,5100074907,"£28,172.29",Printing of letters to issue to RTI,WF6 1TN
HMRC,HMRC,05/12/2012,Grant in Aid Funding,PT Customer & Strategy,TAX VOLUNTEERS,5100074999,"£60,000.00",Programme to provide support to HMRCs vulnerable customers who need help when interacting with HMRC. ,DT6 5DB
HMRC,HMRC,05/12/2012,Landlord Charges,Estates & Support Services,LAMBERT SMITH HAMPTON GROUP LTD,5100075050,"£26,042.98",Standard Landlord Service Charge payable to the Landlord,W1D 1NN
HMRC,HMRC,05/12/2012,Landlord Charges,Estates & Support Services,LAMBERT SMITH HAMPTON GROUP LTD,5100075050,"£1,960.22",Standard Landlord Service Charge payable to the Landlord,W1D 1NN
HMRC,HMRC,05/12/2012,Oth PFI unitary chrg,Estates & Support Services,LR STOCKPORT LTD,5100075051,"£167,228.00",Charges for accommodation provided under the Stockport Private Finance Initiative contract,W1U 8EW
HMRC,HMRC,05/12/2012,Rent,Estates & Support Services,LAND SECURITIES TRILLIUM,5100075056,"£48,258.25",Quarterly rent payment payable to the Landlord,LS11 9DX
HMRC,HMRC,05/12/2012,Landlord Charges,Estates & Support Services,LAND SECURITIES TRILLIUM,5100075056,"£7,876.31",Standard Landlord Service Charge payable to the Landlord,LS11 9DX
HMRC,HMRC,05/12/2012,Storage (non enfmnt),Estates & Support Services,DERWENT FACILITIES MANAGEMENT LTD,5100075060,"£74,786.72",Charges for office support services (storage post room messenger secretarial),HG2 8QT
HMRC,HMRC,06/12/2012,Cycle to Work,HR,CYCLESCHEME LTD,1900202552,"£35,779.62",Cost of bikes and equipment that have been leased to our employees by CycleScheme Ltd. Employees pay for the cost of the bike etc via a salary sacrifice scheme so at the end of the 6/12/18 month contract full costs are recovered.,HP23 5QY
HMRC,HMRC,06/12/2012,Cycle to Work,HR,CYCLESCHEME LTD,1900202555,"£28,012.76",Cost of bikes and equipment that have been leased to our employees by CycleScheme Ltd. Employees pay for the cost of the bike etc via a salary sacrifice scheme so at the end of the 6/12/18 month contract full costs are recovered.,HP23 5QY
HMRC,HMRC,06/12/2012,Vehicle servicing ma,PT Operations,INCHCAPE FLEET SOLUTIONS,5100074971,"£26,455.69",Departmental Vehicle Costs,P06 4RP
HMRC,HMRC,06/12/2012,Vehicle leasing,PT Operations,INCHCAPE FLEET SOLUTIONS,5100074971,"£21,568.59",Departmental Vehicle Costs,P06 4RP
HMRC,HMRC,06/12/2012,Vehicle repairs,PT Operations,INCHCAPE FLEET SOLUTIONS,5100074971,"£1,775.62",Departmental Vehicle Costs,P06 4RP
HMRC,HMRC,06/12/2012,Vehicle servicing ma,PT Operations,INCHCAPE FLEET SOLUTIONS,5100074971,"£1,757.55",Departmental Vehicle Costs,P06 4RP
