Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
HMRC,HMRC,01/04/2010,Business Rates,Estates & Support Services,Salford City Council,5100000000,63292.67
HMRC,HMRC,01/04/2010,Business Rates,Estates & Support Services,Salford City Council,5100000002,145508.75
HMRC,HMRC,01/04/2010,Business Rates,Estates & Support Services,Cardiff County Council,5100000016,86299
HMRC,HMRC,01/04/2010,Business Rates,Estates & Support Services,Sefton Mbc,5100000026,38627.8
HMRC,HMRC,01/04/2010,Business Rates,Estates & Support Services,Sefton Mbc,5100000028,37018.06
HMRC,HMRC,01/04/2010,Business Rates,Estates & Support Services,Sheffield City Council,5100000031,35825.51
HMRC,HMRC,01/04/2010,Business Rates,Estates & Support Services,Coventry City Council,5100000032,52435.73
HMRC,HMRC,01/04/2010,Business Rates,Estates & Support Services,Croydon Council,5100000033,57320.22
HMRC,HMRC,01/04/2010,Business Rates,Estates & Support Services,Sunderland City Council,5100000041,75396.61
HMRC,HMRC,01/04/2010,Business Rates,Estates & Support Services,Liverpool City Council,5100000053,99360
HMRC,HMRC,01/04/2010,Business Rates,Estates & Support Services,Liverpool City Council,5100000054,32085
HMRC,HMRC,01/04/2010,Business Rates,Estates & Support Services,Liverpool City Council,5100000055,45954
HMRC,HMRC,01/04/2010,Business Rates,Estates & Support Services,Manchester City Council,5100000063,53311.73
HMRC,HMRC,01/04/2010,Business Rates,Estates & Support Services,Woking Borough  Council,5100000065,43845.52
HMRC,HMRC,01/04/2010,Business Rates,Estates & Support Services,Worthing Borough Council,5100000068,56934.71
HMRC,HMRC,01/04/2010,Business Rates,Estates & Support Services,Leeds City Council,5100000075,36225
HMRC,HMRC,01/04/2010,100 PS Service Charg,Estates & Support Services,Exchequer Partnership Plc,5100000102,2040691.59
HMRC,HMRC,01/04/2010,STEPS FUP,Estates & Support Services,Mapeley Steps Limited,5100000118,19390664.64
HMRC,HMRC,01/04/2010,Research (VAT rec),Knowledge Analysis & Intelligence,National Centre for Social Research,5100000122,33300
HMRC,HMRC,01/04/2010,Data output prod,Information Management Solutions,Aspire,5100000168,58340055.56
HMRC,HMRC,01/04/2010,IT Software Capgemin,Information Management Solutions,Aspire,5100000168,14927340.82
HMRC,HMRC,01/04/2010,Automobiles or cars,Commercial Directorate,RYGOR Commercial Ltd,5100153510,48762.5
HMRC,HMRC,01/04/2010,Govt auditing serv,Central Compliance,Home Office Immigration & Nationali,5100155348,51988.07
HMRC,HMRC,01/04/2010,Marketing Promotion,Communications & Marketing,COI - COI Trading Fund/GNN,5100155835,35250
HMRC,HMRC,01/04/2010,Govt accounting serv,Money Laundering Regulations,Department of the Enviroment,5100156006,26144.77
HMRC,HMRC,01/04/2010,Employee education,People Function,Cabinet Office,5100156165,44650
HMRC,HMRC,06/04/2010,Govt dept services,Estates & Support Services,Valuation Office Agency,5100000758,25262.5
HMRC,HMRC,06/04/2010,Business Consultancy,Estates & Support Services,Valuation Office Agency,5100000791,109275
HMRC,HMRC,06/04/2010,Rent,Estates & Support Services,TELFORD & WREKIN COUNCIL,5100000800,39876.56
HMRC,HMRC,06/04/2010,Rent,Estates & Support Services,Eddisons,5100000809,231555.19
HMRC,HMRC,06/04/2010,OGD costs,Estates & Support Services,Department of Finance & Personnel,5100000810,81113.8
HMRC,HMRC,06/04/2010,Business Consultancy,People Function,Deloitte MCS Limited,5100155388,77550
HMRC,HMRC,06/04/2010,Postal delivery serv,Commercial Directorate,Total Equipment Services,5100155425,25850
HMRC,HMRC,06/04/2010,IT consultancy,Information Management Solutions,Detica Limited,5100156122,45121.03
HMRC,HMRC,07/04/2010,Legal Service Sol's,Solicitors Office,PricewaterhouseCoopers LLP,1900000603,45825
HMRC,HMRC,07/04/2010,Travel agencies ,Risk & Intelligence,Carlson Wagonlit Travel,1900003969,31154.5
HMRC,HMRC,07/04/2010,Franking mach (P),Commercial Directorate,Neopost Ltd Accounts,5100000109,104509.2
HMRC,HMRC,07/04/2010,Legal Service Sol's,Solicitors Office,Howes Percival Solicitors,5100000192,91227.09
HMRC,HMRC,07/04/2010,Landlord Charges,Estates & Support Services,Mapeley Steps Limited,5100001308,24109.32
HMRC,HMRC,07/04/2010,Rent,Estates & Support Services,Mapeley Steps Limited,5100001308,19707.19
HMRC,HMRC,07/04/2010,Rent,Estates & Support Services,Mapeley Steps Limited,5100001313,54833.34
HMRC,HMRC,07/04/2010,Landlord Charges,Estates & Support Services,Mapeley Steps Limited,5100001313,52871.21
HMRC,HMRC,07/04/2010,Video Conference Equipment ,Information Management Solutions,Specialist Computer Ctr,5100001359,142654.41
HMRC,HMRC,07/04/2010,Rent,Estates & Support Services,Mapeley Steps Limited,5100001365,39259.17
HMRC,HMRC,07/04/2010,Landlord Charges,Estates & Support Services,Mapeley Steps Limited,5100001369,30168.81
HMRC,HMRC,07/04/2010,Rent,Estates & Support Services,Mapeley Steps Limited,5100001369,26664.66
HMRC,HMRC,07/04/2010,Rent,Estates & Support Services,Mapeley Steps Limited,5100001407,84830.4
HMRC,HMRC,07/04/2010,Electricity,Estates & Support Services,Mapeley Steps Limited,5100001760,2585399.82
HMRC,HMRC,07/04/2010,Gas,Estates & Support Services,Mapeley Steps Limited,5100001760,978727.17
HMRC,HMRC,07/04/2010,Water,Estates & Support Services,Mapeley Steps Limited,5100001760,262066.21
HMRC,HMRC,07/04/2010,Electricity,Estates & Support Services,Mapeley Steps Limited,5100001760,148325.79
HMRC,HMRC,07/04/2010,Oil,Estates & Support Services,Mapeley Steps Limited,5100001760,135612.14
HMRC,HMRC,07/04/2010,Gas,Estates & Support Services,Mapeley Steps Limited,5100001760,83349.97
HMRC,HMRC,07/04/2010,Water,Estates & Support Services,Mapeley Steps Limited,5100001760,21485.03
HMRC,HMRC,07/04/2010,Oil,Estates & Support Services,Mapeley Steps Limited,5100001760,4149.38
HMRC,HMRC,07/04/2010,Electricity,Estates & Support Services,Mapeley Steps Limited,5100001760,3945.29
HMRC,HMRC,07/04/2010,Gas,Estates & Support Services,Mapeley Steps Limited,5100001760,679.79
HMRC,HMRC,07/04/2010,IT Config Services,Information Management Solutions,Foreign and Commonwealth,5100155286,55436.51
HMRC,HMRC,07/04/2010,Software licences,Information Management Solutions,Northgate Information,5100155297,46060
HMRC,HMRC,07/04/2010,IT Config Services,Information Management Solutions,Northgate Information,5100155297,27171.11
HMRC,HMRC,07/04/2010,Server Accessories,Information Management Solutions,Northgate Information,5100155297,5735.53
HMRC,HMRC,07/04/2010,Computer access.kits,Information Management Solutions,Northgate Information,5100155297,3037.8
HMRC,HMRC,07/04/2010,Business Consultancy,Performance and Improvement,Fujitsu Services Ltd (Pacesetter),5100155383,93273.57
HMRC,HMRC,07/04/2010,Research (VAT rec),Knowledge Analysis & Intelligence,B M R B International,5100155431,157924.7
HMRC,HMRC,07/04/2010,Business Consultancy,Performance and Improvement,Fujitsu Services Ltd (Pacesetter),5100155556,106484.04
HMRC,HMRC,07/04/2010,Govt finance service,Finance & Internal Audit,PricewaterhouseCoopers LLP,5100155570,25955.75
HMRC,HMRC,07/04/2010,Marketing Promotion,Charities Assets & Residence,COI - COI Trading Fund/GNN,5100155809,29591.8
HMRC,HMRC,08/04/2010,Legal Service Sol's,Specialist Investigations (SI),Howes Percival Solicitors,1900004293,54726.9
HMRC,HMRC,08/04/2010,Franking mach (P),Commercial Directorate,Neopost Ltd Accounts,5100000116,108356.15
