Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
HMRC,HMRC,01/12/2010,Rent,Estates & Support Services,Colliers Cre,5100073672,62128.13
HMRC,HMRC,01/12/2010,Landlord Charges,Estates & Support Services,Colliers Cre,5100073672,22341.45
HMRC,HMRC,01/12/2010,Document destruction,Estates & Support Services,Banner Business Services Ltd,5100073677,89796.75
HMRC,HMRC,01/12/2010,Document destruction,Estates & Support Services,Banner Business Services Ltd,5100073681,46778.61
HMRC,HMRC,01/12/2010,100 PS Service Charg,Estates & Support Services,Exchequer Partnership Plc,5100073726,2052335.5
HMRC,HMRC,01/12/2010,STEPS FUP,Estates & Support Services,Mapeley Steps Limited,5100073727,17197584.78
HMRC,HMRC,01/12/2010,Maintenance fees,Information Management Solutions,Accenture (UK) Limited,5100073742,305108.34
HMRC,HMRC,01/12/2010,Data Output Production,Information Management Solutions,Aspire,5100073780,54348075.45
HMRC,HMRC,01/12/2010,IT Software Capgemin,Information Management Solutions,Aspire,5100073780,10442717.32
HMRC,HMRC,02/12/2010,High Court Costs,Debt Management & Banking,RBSG Central 10000607,1900165695,40000
HMRC,HMRC,02/12/2010,Forensic Services,Criminal Investigations,CCL Forensics Limited,5100073940,96647.56
HMRC,HMRC,02/12/2010,Research (VAT rec),Knowledge Analysis & Intelligence,Market & Opinion Research Int,5100073969,57575
HMRC,HMRC,03/12/2010,STEPS FUP,Estates & Support Services,Mapeley Steps Limited,1700091149,-25811.41
HMRC,HMRC,03/12/2010,Research (VAT rec),Knowledge Analysis & Intelligence,TNS-BMRB,5100074140,68551.85
HMRC,HMRC,03/12/2010,County Court Proceed,Debt Management & Banking,Her Majesty's Court Service,5100074160,92555
HMRC,HMRC,03/12/2010,Translation services,Estates & Support Services,K International,5100074197,48523.8
HMRC,HMRC,03/12/2010,Maj AW struc non-VAT,Estates & Support Services,Mapeley Steps Limited,5100074201,170182.86
HMRC,HMRC,03/12/2010,Non PFI serv VAT,Estates & Support Services,MacLellan International Limited,5100074203,51044.41
HMRC,HMRC,03/12/2010,STEPS FUP VAT recvbl,Estates & Support Services,Mapeley Steps Limited,5100074204,456194.25
HMRC,HMRC,03/12/2010,Security services,Estates & Support Services,Mapeley Steps Limited,5100074204,209704.8
HMRC,HMRC,03/12/2010,Min AW non-struc VAT,Estates & Support Services,Mapeley Steps Limited,5100074207,58331.84
HMRC,HMRC,03/12/2010,Security services,Estates & Support Services,Mapeley Steps Limited,5100074213,77780.59
HMRC,HMRC,03/12/2010,Min AW non-struc VAT,Estates & Support Services,Mapeley STEPS Contractor Ltd  Compo,5100074221,44306.7
HMRC,HMRC,06/12/2010,Rent,Estates & Support Services,GVA Grimley LLP,5100074258,208640.34
HMRC,HMRC,06/12/2010,Rent,Estates & Support Services,2001/02 Balliol No 2 Syndicate,5100074396,270058.18
HMRC,HMRC,06/12/2010,Commission Fees,Debt Management & Banking,Commercial Collection Services,5100074436,69239.06
HMRC,HMRC,06/12/2010,Business Consultancy,Knowledge Analysis & Intelligence,CapGemini UK Plc - PeoplePoint,5100074442,162150
HMRC,HMRC,06/12/2010,PRIME costs,Estates & Support Services,DWP,5100074492,966901.74
HMRC,HMRC,07/12/2010,Commission Fees,Debt Management & Banking,iQor holdings Limited,5100074498,226772.44
HMRC,HMRC,07/12/2010,Commission Fees,Debt Management & Banking,Fairfax Solicitors Limited,5100074499,218533.51
HMRC,HMRC,07/12/2010,Research conslt serv,Individuals Customer Directorate,TNS-BMRB,5100074735,37529.5
HMRC,HMRC,07/12/2010,Vehicle servicing ma,Commercial Directorate,Inchcape Fleet Solutions,5100074784,91531.03
HMRC,HMRC,07/12/2010,Samplng & Analytical,Specialist Investigations (SI),L G C Ltd,5100074837,61947.3
HMRC,HMRC,07/12/2010,Storage (non enfmnt),Estates & Support Services,Serco Integrated Services,5100074870,32421.52
HMRC,HMRC,07/12/2010,Electricity,Estates & Support Services,Mapeley Steps Limited,5100075002,1085288.35
HMRC,HMRC,07/12/2010,Water,Estates & Support Services,Mapeley Steps Limited,5100075002,215717.52
HMRC,HMRC,07/12/2010,Gas,Estates & Support Services,Mapeley Steps Limited,5100075002,166856.31
