Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
HMRC,HMRC,01/02/2011,100 PS Service Charg,Estates & Support Services,Exchequer Partnership Plc,5100089351,2165868.95
HMRC,HMRC,01/02/2011,Forensic Services,Criminal Investigations,Forensic Science Service,5100088994,62753.95
HMRC,HMRC,01/02/2011,Governement Secure Intranet Quarterly Charge,Information Management Solutions,Cable & Wireless,5100089412,93433.65
HMRC,HMRC,01/02/2011,Samplng & Analytical,Specialist Investigations (SI),L G C Ltd,5100089202,41920.32
HMRC,HMRC,01/02/2011,Storage (non enfmnt),Estates & Support Services,Serco Integrated Services,5100089182,31906.78
HMRC,HMRC,02/02/2011,Maj AW struc non-VAT,Estates & Support Services,Mapeley Steps Limited,5100089771,160483.86
HMRC,HMRC,02/02/2011,OGD costs,Commercial Directorate,3m Security Removal and Systems Ltd,5100089659,39323.72
HMRC,HMRC,02/02/2011,Oth PFI unitary chrg,Estates & Support Services,LR (Manchester) Limited,5100089774,90359.72
HMRC,HMRC,03/02/2011,Diesel fuel,Commercial Directorate,Arval BNP Paribas Group,5100090447,43703.7
HMRC,HMRC,03/02/2011,Diesel fuel,Commercial Directorate,Arval BNP Paribas Group,5100090446,66773.25
HMRC,HMRC,03/02/2011,Forensic Services,Criminal Investigations,CCL Forensics Limited,5100090354,134743.39
HMRC,HMRC,03/02/2011,Landlord Service Charge,Estates & Support Services,Mapeley Steps Limited,5100089804,24622.27
HMRC,HMRC,03/02/2011,Landlord Service Charge,Estates & Support Services,Savills Commercial Limited,5100090252,237657.6
HMRC,HMRC,03/02/2011,Oth PFI unitary chrg,Estates & Support Services,LR (Manchester) Limited,5100082821,845381.3
HMRC,HMRC,03/02/2011,Postal delivery serv,Commercial Directorate,Royal Mail,5100090504,461679.74
HMRC,HMRC,03/02/2011,Rent,Estates & Support Services,Mapeley Steps Limited,5100089804,20126.51
HMRC,HMRC,04/02/2011,Document destruction,Estates & Support Services,Banner Business Services Ltd ,5100090494,49832
HMRC,HMRC,04/02/2011,Document destruction,Estates & Support Services,Banner Business Services Ltd ,5100090489,72615.05
HMRC,HMRC,04/02/2011,High Court Costs,Debt Management & Banking,RBSG Central,1900198018,40000
HMRC,HMRC,04/02/2011,Landlord Charges,Estates & Support Services,Mapeley Steps Limited,5100090663,30810.7
HMRC,HMRC,04/02/2011,Non PFI serv VAT,Estates & Support Services,MacLellan International Limited,5100090661,52130.46
HMRC,HMRC,04/02/2011,Rent,Estates & Support Services,Mapeley Steps Limited,5100090663,27231.99
HMRC,HMRC,07/02/2011,Business Consultancy,Finance & Internal Audit,Paymaster (1836) Limited,5100091824,76375
HMRC,HMRC,07/02/2011,Business Consultancy,People Function,White Consultants Ltd (WCL),5100090862,78183.37
HMRC,HMRC,07/02/2011,Commission Fees ,Debt Management & Banking,Commercial Collection Services,5100091364,59137.34
HMRC,HMRC,07/02/2011,Commission Fees ,Debt Management & Banking,Credit Solutions,5100091365,83335.01
HMRC,HMRC,07/02/2011,County Court Proceed,Debt Management & Banking,Her Majesty's Court Service,5100091381,84840
HMRC,HMRC,07/02/2011,Court Fees,Debt Management & Banking,The Insolvency Service,5100091379,189030
HMRC,HMRC,07/02/2011,Electricity,Estates & Support Services,Mapeley Steps Limited,5100091736,130278.64
HMRC,HMRC,07/02/2011,Electricity,Estates & Support Services,Mapeley Steps Limited,5100091736,168009.53
HMRC,HMRC,07/02/2011,Fixed Telephony Service to HMRC and VOA,Information Management Solutions,OGC Buying Solutions,5100090791,94423.14
HMRC,HMRC,07/02/2011,Gas,Estates & Support Services,Mapeley Steps Limited,5100091736,43242.52
HMRC,HMRC,07/02/2011,Gas,Estates & Support Services,Mapeley Steps Limited,5100091736,72348.54
HMRC,HMRC,07/02/2011,Govt dept services,Risk & Intelligence,Foreign and Commonwealth Office,5100090885,68783.1
HMRC,HMRC,07/02/2011,Grant in Aid Funding,Individuals Customer Directorate,TaxAid,5100091256,33750
HMRC,HMRC,07/02/2011,Grant in Aid Funding,Individuals Customer Directorate,TaxAid,5100091254,45300
HMRC,HMRC,07/02/2011,Oil,Estates & Support Services,Mapeley Steps Limited,5100091736,2297.47
HMRC,HMRC,07/02/2011,Oil,Estates & Support Services,Mapeley Steps Limited,5100091736,3215.53
HMRC,HMRC,07/02/2011,Oil,Estates & Support Services,Mapeley Steps Limited,5100091736,231326.39
HMRC,HMRC,07/02/2011,Postal delivery serv,Commercial Directorate,TNT Post UK Ltd,5100091315,65674.52
HMRC,HMRC,07/02/2011,Postal delivery serv,Commercial Directorate,TNT Post UK Ltd,5100091309,111855.61
HMRC,HMRC,07/02/2011,Project admin/plan,Charities Assets & Residence,Ministry Of Justice,5100091306,45383
HMRC,HMRC,07/02/2011,Water,Estates & Support Services,Mapeley Steps Limited,5100091736,2992.85
HMRC,HMRC,07/02/2011,Water,Estates & Support Services,Mapeley Steps Limited,5100091736,133507.84
HMRC,HMRC,08/02/2011,Employee education,People Function,Kent Police,5100091735,30945
HMRC,HMRC,08/02/2011,Forensic Services,Criminal Investigations,Forensic Science Service,5100091758,39089.93
HMRC,HMRC,08/02/2011,Postal delivery serv,Commercial Directorate,Royal Mail Wholesale,5100091937,2917047.81
HMRC,HMRC,08/02/2011,STEPS FUP,Estates & Support Services,Mapeley Steps Limited,1700113818,2006.56
HMRC,HMRC,08/02/2011,STEPS FUP,Estates & Support Services,Mapeley Steps Limited,1700113818,81396.3
HMRC,HMRC,09/02/2011,Filtered Mains Drinking Water,Estates & Support Services,Mapeley Steps Limited,5100091960,31584.59
HMRC,HMRC,09/02/2011,Mail and Fulfilment,Business Customer Unit,BSS Scotland Ltd,5100092430,49069.44
HMRC,HMRC,09/02/2011,Maintenance fees,Information Management Solutions,Accenture (UK) Limited,5100092353,226027.06
HMRC,HMRC,09/02/2011,OHS,People Function,Capita Health Solutions Limited,5100092459,28162.13
HMRC,HMRC,09/02/2011,OHS,People Function,Capita Health Solutions Limited,5100092451,151463.58
HMRC,HMRC,09/02/2011,Oth PFI unitary chrg,Estates & Support Services,Haymarket SPV Ltd,5100092445,163735.51
HMRC,HMRC,09/02/2011,Oth PFI unitary chrg,Estates & Support Services,Newcastle Estate Partnership,5100092704,3641756.89
HMRC,HMRC,09/02/2011,Research (VAT rec),Knowledge Analysis & Intelligence,Office for National Statistics,5100092462,86082
HMRC,HMRC,09/02/2011,Secretarial and Support Service,People Function,MacLellan International Limited,5100092376,12059.33
HMRC,HMRC,09/02/2011,Security services,Estates & Support Services,Mapeley Steps Limited,5100091953,79435.5
HMRC,HMRC,09/02/2011,Security services,Estates & Support Services,Mapeley Steps Limited,5100091951,214166.6
HMRC,HMRC,09/02/2011,STEPS FUP VAT recvbl,Estates & Support Services,Mapeley Steps Limited,5100091951,465900.52
HMRC,HMRC,09/02/2011,Storage (non enfmnt),Estates & Support Services,Iron Mountain (UK) Ltd,5100091965,91386.68
HMRC,HMRC,09/02/2011,Temp clerical/admin,Customer Operations PSA & NICEO,MacLellan International Limited,5100092376,3229.61
HMRC,HMRC,09/02/2011,Temp clerical/admin,Charities Assets & Residence,MacLellan International Limited,5100092376,4625.99
HMRC,HMRC,09/02/2011,Temporary clerical or administrative assistance,E&C Central Services,MacLellan International Limited,5100092376,2922.01
HMRC,HMRC,09/02/2011,Temporary clerical or administrative assistance,Charities Assets & Residence,MacLellan International Limited,5100092376,5259.62
HMRC,HMRC,09/02/2011,Temporary clerical or administrative assistance,Specialist Investigations (SI),MacLellan International Limited,5100092376,5259.62
HMRC,HMRC,09/02/2011,Temporary clerical or administrative assistance,Large Business Service,MacLellan International Limited,5100092376,8766.04
HMRC,HMRC,10/02/2011,Commission Fees,Debt Management & Banking,Fairfax Solicitors Limited,5100092582,169079.32
HMRC,HMRC,10/02/2011,Govt dept services,People Function,Right Corecare,5100092761,119224.27
HMRC,HMRC,10/02/2011,Oth PFI unitary chrg,Estates & Support Services,LR Stockport Ltd,5100092534,167228
HMRC,HMRC,10/02/2011,Oth PFI unitary chrg,Estates & Support Services,Cochrane Square S P V LTD,5100092531,167320.42
HMRC,HMRC,10/02/2011,Oth PFI unitary chrg,Estates & Support Services,LR (Manchester) Limited,5100092523,845381.3
HMRC,HMRC,10/02/2011,Seized Goods Cont,Specialist Investigations (SI),Veolia Environmental Services Plc,5100092780,46328.16
HMRC,HMRC,11/02/2011,Bank Charges CSH/CHQ,Finance & Internal Audit,Alliance and Leicester,5100092883,37459.13
HMRC,HMRC,11/02/2011,Bank Charges CSH/CHQ,Finance & Internal Audit,Alliance and Leicester,5100092900,77100.9
HMRC,HMRC,11/02/2011,Commission Fees,Debt Management & Banking,iQor holdings Limited,5100093189,180504.81
HMRC,HMRC,11/02/2011,Hardware maintenance,Information Management Solutions,CapGemini UK Plc - PeoplePoint,5100093226,974330.6
HMRC,HMRC,11/02/2011,Interpretation,Customer Contact,Thebigword Interpreting Services Lt,5100093097,25801.57
HMRC,HMRC,11/02/2011,Interpretation,Customer Contact,Thebigword Interpreting Services Lt,5100092931,62783.72
HMRC,HMRC,11/02/2011,Interpretation,Customer Contact,Thebigword Interpreting Services Lt,5100092935,68875.13
HMRC,HMRC,11/02/2011,Interpretation,Customer Contact,Thebigword Interpreting Services Lt,5100092937,79194.11
HMRC,HMRC,11/02/2011,Interpretation,Customer Contact,Thebigword Interpreting Services Lt,5100093120,97904.98
HMRC,HMRC,11/02/2011,Maintenance (build),Estates & Support Services,ZIP Heaters,5100093146,42655.68
HMRC,HMRC,14/02/2011,Crown Sol's Off NI,Debt Management & Banking,Crown Solicitors Office,5100094005,30055.2
HMRC,HMRC,14/02/2011,Dept forms Non Stock,Commercial Directorate,Adare Halcyon Ltd ,5100093541,31328
HMRC,HMRC,14/02/2011,Govt dept services,Risk & Intelligence,Foreign and Commonwealth Office,5100093677,64612.27
HMRC,HMRC,14/02/2011,Landlord Charges,Estates & Support Services,Mapeley Steps Limited,5100093546,25470.65
HMRC,HMRC,14/02/2011,Landlord Charges,Estates & Support Services,Mapeley Steps Limited,5100093543,53996.14
HMRC,HMRC,14/02/2011,Landlord Charges,Estates & Support Services,Zurich Assurance Ltd,5100093540,56133
HMRC,HMRC,14/02/2011,Non PFI serv VAT,Estates & Support Services,MacLellan International Limited,5100093557,423742.82
HMRC,HMRC,14/02/2011,Provision of IT Investment in the Government Gateway,Information Management Solutions,Vodafone Corporate,5100093345,8970.1
HMRC,HMRC,14/02/2011,Provision of IT Investment in the Government Gateway,Information Management Solutions,Vodafone Corporate,5100093347,14738.65
HMRC,HMRC,14/02/2011,Provision of IT Investment in the Government Gateway,Information Management Solutions,Vodafone Corporate,5100093347,19871.52
HMRC,HMRC,14/02/2011,Provision of IT Investment in the Government Gateway,Information Management Solutions,Vodafone Corporate,5100093345,23925.31
HMRC,HMRC,14/02/2011,Rent,Estates & Support Services,Mapeley Steps Limited,5100093543,56000
HMRC,HMRC,15/02/2011,Crown Solicitors Office N. Ireland Cost Recovery,Debt Management & Banking,Crown Solicitors Office,5100094015,25046
HMRC,HMRC,15/02/2011,Disposal of Seized Goods,Specialist Investigations (SI),Thamesdown Recycling,5100093779,36628
HMRC,HMRC,15/02/2011,Travel agencies ,Commercial Directorate,Carlson Wagonlit Travel,5100094038,50505.22
HMRC,HMRC,15/02/2011,Valuation Services,Risk & Intelligence,Valuation Office Agency,5100094123,878085
HMRC,HMRC,16/02/2011,Business Consultancy,People Function,Deloitte M C S Ltd,5100094706,111011
HMRC,HMRC,16/02/2011,Diesel fuel,Commercial Directorate,Arval BNP Paribas Group,5100094435,44811.77
HMRC,HMRC,16/02/2011,Diesel fuel,Commercial Directorate,Arval BNP Paribas Group,5100094440,65759.6
HMRC,HMRC,16/02/2011,Payroll services,People Function,Department for Work & Pension,5100094688,155755.2
HMRC,HMRC,16/02/2011,Vehicle leasing,Commercial Directorate,Inchcape Fleet Solutions,5100094468,38264.94
HMRC,HMRC,16/02/2011,Vehicle leasing,Commercial Directorate,Inchcape Fleet Solutions,5100094482,88002.87
HMRC,HMRC,17/02/2011,Bank Charges PO Card,Finance & Internal Audit,Post Office Limited,5100095332,1098001.29
HMRC,HMRC,17/02/2011,Business Consultancy,Finance & Internal Audit,PricewaterhouseCoopers LLP,5100095176,225823.2
HMRC,HMRC,17/02/2011,External Database IS,Information Management Solutions,Specialist Computer Ctr ,5100091850,36243.23
HMRC,HMRC,17/02/2011,Gov Bank Serv Charge,Finance & Internal Audit,RBS - Natwest,5100095292,191995.84
HMRC,HMRC,17/02/2011,High Court Costs,Debt Management & Banking,RBSG Central,1900208358,40000
HMRC,HMRC,17/02/2011,Research (VAT rec),Business Customer Unit,Quadrangle Group LLP,5100095121,68400
HMRC,HMRC,18/02/2011,Gov Bank Serv Charge,Finance & Internal Audit,RBS - Natwest,5100095697,273054.63
HMRC,HMRC,18/02/2011,High Court Costs,Debt Management & Banking,RBSG Central,1900208652,35145
HMRC,HMRC,18/02/2011,High Court Costs,Debt Management & Banking,RBSG Central,1900208674,40000
HMRC,HMRC,18/02/2011,Mail delivery/pickup,Commercial Directorate,G3 Worldwide (UK) Ltd,5100095353,21844.35
HMRC,HMRC,18/02/2011,Mail delivery/pickup,Commercial Directorate,G3 Worldwide (UK) Ltd,5100095353,72231.01
HMRC,HMRC,18/02/2011,Maj AW non-struc VAT,Estates & Support Services,Mapeley Steps Limited,5100095826,29374.78
HMRC,HMRC,18/02/2011,Research (VAT rec),Knowledge Analysis & Intelligence,National Centre for Social Research,5100095805,109420
