Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract,Project Code,Expediture
HMRC,HMRC,06/02/2012,Depart Booklet NStk,Benefits & Credits Delivery,Williams Lea Limited,5100094322,"£25,200.00",Printed Forms & Envelopes for Child Benefit & Tax Credits,WF6 1TN,,,,
HMRC,HMRC,06/02/2012,Next Day Del. Closed,Benefits & Credits Delivery,TNT UK Ltd,5100095214,"£60,226.91",Courier/postal service for Child Benefit & Tax Credits,BL10 9AR,,,,
HMRC,HMRC,09/02/2012,Gasoline or Petrol,Benefits & Credits Delivery,Allstar Business Services Ltd,5100096599,£984.31,Fuel for B&C pool/ASC cars,SN5 6PE,,,,
HMRC,HMRC,15/02/2012,Next Day Del. Open,Benefits & Credits Delivery,TNT UK Ltd,5100098757,"£2,533.56",Courier/ postal service for Child Benefit & Tax Credits,BL10 9AR,,,,
HMRC,HMRC,16/02/2012,Next Day Del. Open,Benefits & Credits Delivery,TNT UK Ltd,5100096906,"£2,175.90",Courier/ postal service for Child Benefit & Tax Credits,BL10 9AR,,,,
HMRC,HMRC,15/02/2012,Next Day Del. Open,BT Enabling,TNT UK Ltd,5100098757,£59.38,courier charges,BL10 9AR,,,,
HMRC,HMRC,16/02/2012,Next Day Del. Open,BT Enabling,TNT UK Ltd,5100096906,£50.60,courier charges,BL10 9AR,,,,
HMRC,HMRC,06/02/2012,Research (VAT rec),Business Customer Unit,Experian Ltd,5100095190,"£30,240.00",Geo Maps building on ability dimension work.,NG80 1TH,,,,
HMRC,HMRC,09/02/2012,Gasoline or Petrol,Business Customer Unit,Allstar Business Services Ltd,5100096599,£100.07,Delegated vehicles budget,SN5 6PE,,,,
HMRC,HMRC,09/02/2012,Mail and Fulfilment,Business Customer Unit,BSS Scotland Ltd,5100096633,"£36,695.71",Provision of Mailing Services - Emploter Orderline Jan 2012,G32 8FA,,,,
HMRC,HMRC,10/02/2012,Research (VAT rec),Business Customer Unit,The Futures Company,5100097353,"£28,512.00",Developing concepts and tests for Hidden Economy work.,SE1 2QY,,,,
HMRC,HMRC,13/02/2012,Research (VAT rec),Business Customer Unit,The Futures Company,5100097569,"£35,958.00",Research into most significant obstacles encounterd by small business in their dealings with HMRC.,SE1 2QY,,,,
HMRC,HMRC,15/02/2012,Next Day Del. Open,Business Customer Unit,TNT UK Ltd,5100098757,£172.66,Delegated courier budget,BL10 9AR,,,,
HMRC,HMRC,16/02/2012,Next Day Del. Open,Business Customer Unit,TNT UK Ltd,5100096906,£149.27,Delegated courier budget,BL10 9AR,,,,
HMRC,HMRC,22/02/2012,Website Development,Business Customer Unit,Serco Assurance,5100101196,"£1,278,000.00",Website Maintenance and Development for HMRC - Business.gov site,RG27 9XA,,,,
HMRC,HMRC,15/02/2012,Next Day Del. Open,Business International,TNT UK Ltd,5100098757,£112.10,courier charges,BL10 9AR
HMRC,HMRC,16/02/2012,Next Day Del. Open,Business International,TNT UK Ltd,5100096906,£96.14,courier charges,BL10 9AR
HMRC,HMRC,27/02/2012,Recruitment services,Central Policy,Ashbourne Assessment Systems Ltd,5100102380,"£70,811.40",Selection testing for HMRC graduate recruitment,EC3R 7QQ
HMRC,HMRC,03/02/2012,Postal delivery serv,Commercial Directorate,Royal Mail,5100094791,"£452,559.71",Payment for mail sorting and delivery services,PE4 5BR
HMRC,HMRC,07/02/2012,Travel agencies ,Commercial Directorate,Carlson Wagonlit Travel,1700110314,"-£52,999.90",Hotel Commissions returned for July - Sept 2011 ,EN6 5RF
HMRC,HMRC,09/02/2012,Gasoline or Petrol,Commercial Directorate,Allstar Business Services Ltd,5100096599,£220.65,Fuel charges for HMRC fleet of vehicles,SN5 6PE
HMRC,HMRC,10/02/2012,Mail delivery/pickup,Commercial Directorate,G3 Worldwide (UK) Ltd,5100096734,"£101,802.80",Delivery of HMRC overseas mail,UB2 5LF
HMRC,HMRC,10/02/2012,Mail delivery/pickup,Commercial Directorate,G3 Worldwide (UK) Ltd,5100096734,"£36,147.41",Delivery of HMRC overseas mail,UB2 5LF
HMRC,HMRC,14/02/2012,Postal delivery serv,Commercial Directorate,Royal Mail Wholesale,5100098307,"£3,758,639.28",Payment for mail sorting and delivery services,EC4Y 0HQ
HMRC,HMRC,14/02/2012,Postal delivery serv,Commercial Directorate,Royal Mail Wholesale,5100098308,"-£544,403.93",Reimbursement for below forecast postal services,EC4Y 0HQ
HMRC,HMRC,15/02/2012,Postal delivery serv,Commercial Directorate,Royal Mail Wholesale,5100098740,"£25,757.37",Payment for mail sorting and delivery services,EC4Y 0HQ
HMRC,HMRC,15/02/2012,Next Day Del. Open,Commercial Directorate,TNT UK Ltd,5100098757,£40.24,Express next day delivery charge for urgent document movements by TNT  ,BL10 9AR
HMRC,HMRC,16/02/2012,Next Day Del. Open,Commercial Directorate,TNT UK Ltd,5100096906,£35.42,Express next day delivery charge for urgent document movements by TNT  ,BL10 9AR
HMRC,HMRC,17/02/2012,Postal delivery serv,Commercial Directorate,TNT Post UK Ltd,5100099493,"£74,339.80",Payment for mail collection and sorting service before final delivery to customers,SL7 1HY
HMRC,HMRC,17/02/2012,Postal delivery serv,Commercial Directorate,TNT Post UK Ltd,5100099505,"£112,696.34",Payment for mail collection and sorting service before final delivery to customers,SL7 1HY
HMRC,HMRC,17/02/2012,Depart Booklet Stk,Commercial Directorate,Williams Lea Limited,5100099729,"-£26,664.00",Credit received due to an order of Self Assessment forms being cancelled,WF6 1TN
