Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
HMRC,HMRC,01/07/2010,Marketing Promotion,Communications & Marketing,COI - COI Trading Fund/GNN,5100028355,227213.21
HMRC,HMRC,01/07/2010,100 PS Service Charg,Estates & Support Services,Exchequer Partnership Plc,5100029942,2048095.78
HMRC,HMRC,01/07/2010,TNT Documented Servi,Commercial Directorate,TNT UK Limited,5100029947,884010.76
HMRC,HMRC,01/07/2010,STEPS FUP,Estates & Support Services,Mapeley Steps Limited,5100029953,18018742.36
HMRC,HMRC,01/07/2010,Buildng insp service,Estates & Support Services,Mapeley Steps Limited,5100030032,82661.97
HMRC,HMRC,02/07/2010,Radio Infrastructure,Commercial Directorate,British Telecommunications plc.,5100030053,30567.62
HMRC,HMRC,02/07/2010,Dept forms Stock,Commercial Directorate,Banner Business Services Ltd,5100030173,232086
HMRC,HMRC,02/07/2010,Business Consultancy,PAYE SA & NICs,QI Consulting,5100030308,27229.8
HMRC,HMRC,02/07/2010,Court Fees,Debt Management & Banking,The Insolvency Service,5100030332,242960
HMRC,HMRC,02/07/2010,Business Consultancy,Permanent Secretary for Tax Directorates,Corven Consulting Ltd,5100030420,54686.85
HMRC,HMRC,02/07/2010,Storage (non enfmnt),Estates & Support Services,Serco Integrated Services,5100030449,32842.05
HMRC,HMRC,02/07/2010,Maj AW non-struc VAT,Estates & Support Services,Mapeley Steps Limited,5100030462,70229.25
HMRC,HMRC,05/07/2010,Business Consultancy,People Function,MacLellan International Limited,5100030503,11622.46
HMRC,HMRC,05/07/2010,Temp clerical/admin,Large Business Service,MacLellan International Limited,5100030503,8490.96
HMRC,HMRC,05/07/2010,Temp clerical/admin,Specialist Investigations (SI),MacLellan International Limited,5100030503,5660.63
HMRC,HMRC,05/07/2010,Temp clerical/admin,Charities Assets & Residence,MacLellan International Limited,5100030503,5094.58
HMRC,HMRC,05/07/2010,Business Consultancy,Charities Assets & Residence,MacLellan International Limited,5100030503,4482.14
HMRC,HMRC,05/07/2010,Business Consultancy,Customer Operations PSA & NICEO,MacLellan International Limited,5100030503,3131.5
HMRC,HMRC,05/07/2010,Business Consultancy,Customer Operations PSA & NICEO,MacLellan International Limited,5100030503,2892.66
HMRC,HMRC,05/07/2010,Temp clerical/admin,Central Compliance,MacLellan International Limited,5100030503,2830.32
HMRC,HMRC,05/07/2010,Business Consultancy,People Function,MacLellan International Limited,5100030504,8884.61
HMRC,HMRC,05/07/2010,Temp clerical/admin,Large Business Service,MacLellan International Limited,5100030504,8583.41
HMRC,HMRC,05/07/2010,Temp clerical/admin,Specialist Investigations (SI),MacLellan International Limited,5100030504,5150.05
HMRC,HMRC,05/07/2010,Temp clerical/admin,Charities Assets & Residence,MacLellan International Limited,5100030504,5150.05
HMRC,HMRC,05/07/2010,Business Consultancy,Charities Assets & Residence,MacLellan International Limited,5100030504,4529.61
HMRC,HMRC,05/07/2010,Business Consultancy,Customer Operations PSA & NICEO,MacLellan International Limited,5100030504,3162.32
HMRC,HMRC,05/07/2010,Business Consultancy,Customer Operations PSA & NICEO,MacLellan International Limited,5100030504,2923.48
HMRC,HMRC,05/07/2010,Temp clerical/admin,Central Compliance,MacLellan International Limited,5100030504,2861.14
HMRC,HMRC,05/07/2010,Gov Bank Serv Charge,Finance & Internal Audit,RBS - Natwest,5100030807,555177.21
HMRC,HMRC,05/07/2010,Gov Bank Serv Charge,Finance & Internal Audit,RBS - Natwest,5100030807,747.89
HMRC,HMRC,05/07/2010,Non PFI serv VAT,Estates & Support Services,MacLellan International Limited,5100030849,51044.41
HMRC,HMRC,05/07/2010,County Court Proceed,Debt Management & Banking,Her Majesty's Court Service,5100030854,76445
HMRC,HMRC,05/07/2010,Non PFI serv VAT,Estates & Support Services,MacLellan International Limited,5100030864,51044.41
HMRC,HMRC,05/07/2010,OGD costs,Estates & Support Services,Department of Finance & Personnel,5100030865,99652.9
HMRC,HMRC,05/07/2010,Business Consultancy,Estates & Support Services,Jacobs Engineering (UK) Ltd,5100030888,66296.16
HMRC,HMRC,05/07/2010,Govt dept services,Finance & Internal Audit,Paymaster (1836) Limited,5100030914,32574.39
HMRC,HMRC,06/07/2010,Vehicle leasing,Commercial Directorate,Inchcape Fleet Solutions,5100031024,88687.45
