Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
HMRC,HMRC,01/06/2010,Dept forms Stock,Estates & Support Services,Rotadex Systems Ltd,5100018844,29451.38
HMRC,HMRC,01/06/2010,Business Rates,Estates & Support Services,Borough of Telford & Wrekin,5100018948,54889
HMRC,HMRC,01/06/2010,Business Rates,Estates & Support Services,Salford City Council,5100018952,50975
HMRC,HMRC,01/06/2010,Business Rates,Estates & Support Services,Salford City Council,5100018954,145513
HMRC,HMRC,01/06/2010,Business Rates,Estates & Support Services,Portsmouth City Council,5100018958,25270
HMRC,HMRC,01/06/2010,Business Rates,Estates & Support Services,Birmingham City Council,5100018982,55134
HMRC,HMRC,01/06/2010,Business Rates,Estates & Support Services,Bournemouth Borough Council,5100018989,37219
HMRC,HMRC,01/06/2010,Business Rates,Estates & Support Services,Bradford Council,5100018994,33380
HMRC,HMRC,01/06/2010,Business Rates,Estates & Support Services,Bradford Council,5100018995,48635
HMRC,HMRC,01/06/2010,Business Rates,Estates & Support Services,Nottingham City Council,5100018999,134173
HMRC,HMRC,01/06/2010,Business Rates,Estates & Support Services,Bristol City Council,5100019010,31464
HMRC,HMRC,01/06/2010,Business Rates,Estates & Support Services,Cardiff County Council,5100019018,86299
HMRC,HMRC,01/06/2010,Business Rates,Estates & Support Services,Sefton Mbc,5100019051,38625
HMRC,HMRC,01/06/2010,Business Rates,Estates & Support Services,Sefton Mbc,5100019053,37021
HMRC,HMRC,01/06/2010,Business Rates,Estates & Support Services,Sheffield City Council,5100019056,35823
HMRC,HMRC,01/06/2010,Business Rates,Estates & Support Services,City of  Westminster,5100019072,37712
HMRC,HMRC,01/06/2010,Business Rates,Estates & Support Services,City of  Westminster,5100019073,73066
HMRC,HMRC,01/06/2010,Business Rates,Estates & Support Services,City of  Westminster,5100019074,94535
HMRC,HMRC,01/06/2010,Business Rates,Estates & Support Services,City of  Westminster,5100019075,100842
HMRC,HMRC,01/06/2010,Business Rates,Estates & Support Services,Coventry City Council,5100019079,52433
HMRC,HMRC,01/06/2010,Business Rates,Estates & Support Services,Croydon Council,5100019083,57325
HMRC,HMRC,01/06/2010,Business Rates,Estates & Support Services,Southend Borough Council,5100019094,54250
HMRC,HMRC,01/06/2010,Business Rates,Estates & Support Services,Sunderland City Council,5100019112,75399
HMRC,HMRC,01/06/2010,Business Rates,Estates & Support Services,Liverpool City Council,5100019179,99360
HMRC,HMRC,01/06/2010,Business Rates,Estates & Support Services,Liverpool City Council,5100019180,32085
HMRC,HMRC,01/06/2010,Business Rates,Estates & Support Services,Liverpool City Council,5100019181,45954
HMRC,HMRC,01/06/2010,Business Rates,Estates & Support Services,London Borough of Camden,5100019189,200930
HMRC,HMRC,01/06/2010,Business Rates,Estates & Support Services,West Lindsey District Council,5100019192,27531
HMRC,HMRC,01/06/2010,Business Rates,Estates & Support Services,Manchester City Council,5100019208,53310
HMRC,HMRC,01/06/2010,Business Rates,Estates & Support Services,Woking Borough  Council,5100019210,43846
HMRC,HMRC,01/06/2010,Business Rates,Estates & Support Services,Worthing Borough Council,5100019218,56937
HMRC,HMRC,01/06/2010,Business Rates,Estates & Support Services,Newcastle City Council,5100019230,332122
HMRC,HMRC,01/06/2010,Business Rates,Estates & Support Services,City Of London,5100019252,77547
HMRC,HMRC,01/06/2010,Business Rates,Estates & Support Services,City Of London,5100019253,46392
HMRC,HMRC,01/06/2010,Business Rates,Estates & Support Services,Leeds City Council,5100019265,36225
HMRC,HMRC,01/06/2010,Business Rates,Estates & Support Services,Royal Borough Of Kensington &,5100019302,155032
HMRC,HMRC,01/06/2010,Business Rates,Estates & Support Services,London Borough of Southwark,5100019308,72314
HMRC,HMRC,01/06/2010,Business Rates,Estates & Support Services,London Borough of Southwark,5100019309,209398
HMRC,HMRC,01/06/2010,100 PS Service Charg,Estates & Support Services,Exchequer Partnership Plc,5100019319,2122022.66
HMRC,HMRC,01/06/2010,Employee education,People Function,Kent Police,5100019353,41850
HMRC,HMRC,01/06/2010,STEPS FUP,Estates & Support Services,Mapeley Steps Limited,5100019359,18089583.32
HMRC,HMRC,01/06/2010,Maintenance fees,Information Management Solutions,Foreign and Commonwealth,5100019371,316890.45
HMRC,HMRC,02/06/2010,Depart Booklet Stk,Estates & Support Services,St Ives Direct,5100019594,18618.27
HMRC,HMRC,02/06/2010,Dept forms Stock,Estates & Support Services,St Ives Direct,5100019594,14150.16
HMRC,HMRC,02/06/2010,Dept forms Stock,Estates & Support Services,St Ives Direct,5100019594,7479.31
HMRC,HMRC,02/06/2010,Dept forms Stock,Estates & Support Services,St Ives Direct,5100019594,3478.75
HMRC,HMRC,02/06/2010,Diesel fuel,Commercial Directorate,Arval PHH Business Solutions Ltd,5100019777,40406.16
HMRC,HMRC,02/06/2010,Diesel fuel,Commercial Directorate,Arval PHH Business Solutions Ltd,5100019780,66547.09
HMRC,HMRC,02/06/2010,Business Rates,Estates & Support Services,Wiltshire Council,5100019823,49620.15
HMRC,HMRC,02/06/2010,Storage (non enfmnt),Estates & Support Services,Serco Integrated Services,5100019868,34677.8
HMRC,HMRC,02/06/2010,Business Rates,Estates & Support Services,Rate Collection Agency,5100019979,1053141.45
HMRC,HMRC,02/06/2010,Business Rates,Estates & Support Services,HM Treasury,5100019990,2206047.76
HMRC,HMRC,02/06/2010,Business Rates,Estates & Support Services,Crawley Borough Council,5100020030,25950.82
HMRC,HMRC,02/06/2010,Forensic Services,Criminal Investigations,Forensic Science Service,5100020168,65755.51
HMRC,HMRC,03/06/2010,County Court Proceed,Debt Management & Banking,Her Majesty's Court Service,5100020223,46695
HMRC,HMRC,03/06/2010,Vehicle leasing,Commercial Directorate,Inchcape Fleet Solutions,5100020244,94361.27
HMRC,HMRC,03/06/2010,Vehicle servicing ma,Commercial Directorate,Inchcape Fleet Solutions,5100020246,72199.09
HMRC,HMRC,03/06/2010,Vehicle leasing,Commercial Directorate,Inchcape Fleet Solutions,5100020251,43125.22
HMRC,HMRC,03/06/2010,Vehicle servicing ma,Commercial Directorate,Inchcape Fleet Solutions,5100020253,56621.33
HMRC,HMRC,03/06/2010,Court Fees,Debt Management & Banking,The Insolvency Service,5100020348,164785
HMRC,HMRC,03/06/2010,Crown Sol's Off NI,Debt Management & Banking,Crown Solicitors Office,5100020357,32316.24
HMRC,HMRC,04/06/2010,Legal Service Sol's,Specialist Investigations (SI),Howes Percival Solicitors,5100020594,26152.87
HMRC,HMRC,04/06/2010,Legal Serv's Credit,Specialist Investigations (SI),Howes Percival Solicitors,5100020594,1458.87
HMRC,HMRC,04/06/2010,Business Rates,Estates & Support Services,NORTH EAST LINCOLNSHIRE COUNCIL,5100020966,26726
HMRC,HMRC,04/06/2010,Landlord Charges,Estates & Support Services,GVA Grimley LLP,5100021065,37024.64
HMRC,HMRC,04/06/2010,TNT Documented Servi,Commercial Directorate,TNT UK Limited,5100021132,908310.77
HMRC,HMRC,04/06/2010,Govt dept services,Risk & Intelligence,Foreign and Commonwealth Office,5100021149,91808.53
HMRC,HMRC,07/06/2010,Marketing Promotion,Communications & Marketing,COI - COI Trading Fund/GNN,5100020994,35765
HMRC,HMRC,07/06/2010,Translation services,Estates & Support Services,K International,5100021166,44050.13
HMRC,HMRC,07/06/2010,OGD costs,Estates & Support Services,Department of Finance & Personnel,5100021180,79811.88
HMRC,HMRC,07/06/2010,Rent,Estates & Support Services,Sanderson Weatherall,5100021181,49350
HMRC,HMRC,07/06/2010,Landlord Charges,Estates & Support Services,Sanderson Weatherall,5100021181,23793.75
HMRC,HMRC,07/06/2010,Rent,Estates & Support Services,Mapeley Steps Limited,5100021183,39259.17
HMRC,HMRC,07/06/2010,Rent,Estates & Support Services,GVA Grimley LLP,5100021215,208640.34
HMRC,HMRC,07/06/2010,Landlord Charges,Estates & Support Services,GVA Grimley LLP,5100021215,77216.3
HMRC,HMRC,07/06/2010,Rent,Estates & Support Services,Mapeley Steps Limited,5100021219,117500
HMRC,HMRC,07/06/2010,Rent,Estates & Support Services,West Cumbria Development Agency,5100021291,93236.25
HMRC,HMRC,07/06/2010,Security services,Estates & Support Services,Mapeley Steps Limited,5100021292,140238.73
HMRC,HMRC,07/06/2010,Maj AW non-struc VAT,Estates & Support Services,Mapeley Steps Limited,5100021313,61907.23
HMRC,HMRC,07/06/2010,Maj AW struc non-VAT,Estates & Support Services,Mapeley Steps Limited,5100021314,279534.27
HMRC,HMRC,07/06/2010,Rent,Estates & Support Services,Somerset House Trust,5100021318,676266.24
HMRC,HMRC,07/06/2010,Landlord Charges,Estates & Support Services,Somerset House Trust,5100021318,338133.12
HMRC,HMRC,07/06/2010,Vehicle leasing,Commercial Directorate,Inchcape Fleet Solutions,5100021386,101748.43
HMRC,HMRC,07/06/2010,Business Consultancy,Performance and Improvement,Fujitsu Services Ltd (Pacesetter),5100021393,55267.62
HMRC,HMRC,07/06/2010,Data output prod,Information Management Solutions,Aspire,5100021406,59400591.55
HMRC,HMRC,07/06/2010,IT Software Capgemin,Information Management Solutions,Aspire,5100021406,17377758.85
HMRC,HMRC,07/06/2010,Translation services,Estates & Support Services,Thebigword Interpreting Services Lt,5100021408,34034.2
HMRC,HMRC,07/06/2010,Software coding,Information Management Solutions,Detica Limited,5100021409,206394.14
HMRC,HMRC,07/06/2010,Electricity,Estates & Support Services,Mapeley Steps Limited,5100021587,1378683.34
HMRC,HMRC,07/06/2010,Gas,Estates & Support Services,Mapeley Steps Limited,5100021587,274682.85
HMRC,HMRC,07/06/2010,Water,Estates & Support Services,Mapeley Steps Limited,5100021587,201611.64
HMRC,HMRC,07/06/2010,Electricity,Estates & Support Services,Mapeley Steps Limited,5100021587,142274.7
HMRC,HMRC,07/06/2010,Oil,Estates & Support Services,Mapeley Steps Limited,5100021587,85723.96
HMRC,HMRC,07/06/2010,Gas,Estates & Support Services,Mapeley Steps Limited,5100021587,78581.65
HMRC,HMRC,07/06/2010,Water,Estates & Support Services,Mapeley Steps Limited,5100021587,20975.26
HMRC,HMRC,07/06/2010,Electricity,Estates & Support Services,Mapeley Steps Limited,5100021587,15182.63
HMRC,HMRC,07/06/2010,Oil,Estates & Support Services,Mapeley Steps Limited,5100021587,2013.91
HMRC,HMRC,07/06/2010,Oil,Estates & Support Services,Mapeley Steps Limited,5100021587,1793.41
HMRC,HMRC,07/06/2010,Gas,Estates & Support Services,Mapeley Steps Limited,5100021587,646.41
HMRC,HMRC,08/06/2010,STEPS Facility Payment (FUP) VAT Receivable,Estates & Support Services,Mapeley Steps Limited,1700031529,-60807.37
HMRC,HMRC,08/06/2010,Court Fees,Debt Management & Banking,Natwest Sols 83639635,1900059338,40000
HMRC,HMRC,08/06/2010,Vehicle servicing ma,Commercial Directorate,Inchcape Fleet Solutions,5100021588,59872.37
HMRC,HMRC,08/06/2010,Vehicle servicing ma,Commercial Directorate,Inchcape Fleet Solutions,5100021592,59872.37
HMRC,HMRC,08/06/2010,Legal Serv's Credit,Specialist Investigations (SI),Howes Percival Solicitors,5100021640,113270.63
HMRC,HMRC,08/06/2010,Legal Service Sol's,Specialist Investigations (SI),Howes Percival Solicitors,5100021640,110308
HMRC,HMRC,08/06/2010,External Database IS,Information Management Solutions,Specialist Computer Ctr,5100021656,248036.77
HMRC,HMRC,08/06/2010,Rent,Estates & Support Services,Mapeley Steps Limited,5100021658,69723.62
HMRC,HMRC,08/06/2010,STEPS FUP,Estates & Support Services,Mapeley Steps Limited,5100021664,463290.97
HMRC,HMRC,08/06/2010,Rent,Estates & Support Services,Mapeley Steps Limited,5100021664,413323.88
HMRC,HMRC,08/06/2010,Mail delivery/pickup,Commercial Directorate,DWP,5100021685,147397
HMRC,HMRC,08/06/2010,Solicitors Fees,Solicitors Office,Crown Solicitors Office,5100021724,60430.25
HMRC,HMRC,08/06/2010,Reference books,Central Policy,LexisNexis Butterworths,5100021752,33676.83
HMRC,HMRC,08/06/2010,Radios support and m,Criminal Investigations,Airwave Solutions Ltd,5100021771,692451.96
HMRC,HMRC,08/06/2010,Gas,Estates & Support Services,Corona Energy,5100021779,48661.4
HMRC,HMRC,08/06/2010,Business Rates,Estates & Support Services,London Borough of Southwark,5100021831,336839.12
HMRC,HMRC,08/06/2010,Forensic Services,Criminal Investigations,CCL Forensics Limited,5100021843,131614.03
HMRC,HMRC,08/06/2010,Business Rates,Estates & Support Services,Rate Collection Agency,5100021844,467742.95
HMRC,HMRC,08/06/2010,Landlord Charges,Estates & Support Services,Lambert Smith Hampton Group Ltd,5100021846,27236.21
HMRC,HMRC,08/06/2010,Electricity,Estates & Support Services,Lambert Smith Hampton Group Ltd,5100021846,1865.57
HMRC,HMRC,08/06/2010,Postal delivery serv,Commercial Directorate,Royal Mail,5100021851,4142507.43
HMRC,HMRC,09/06/2010,Samplng & Analytical,Specialist Investigations (SI),L G C Ltd,5100021904,44286.46
HMRC,HMRC,09/06/2010,Marketing Promotion,Charities Assets & Residence,COI - COI Trading Fund/GNN,5100022061,51404.72
HMRC,HMRC,09/06/2010,Marketing Promotion,Communications & Marketing,COI - COI Trading Fund/GNN,5100022061,28747
HMRC,HMRC,09/06/2010,OHS,People Function,Capita Health Solutions Limited,5100022070,169624.28
HMRC,HMRC,09/06/2010,Govt dept services,Risk & Intelligence,Foreign and Commonwealth Office,5100022176,43760.36
HMRC,HMRC,09/06/2010,Rent,Estates & Support Services,Jaymar Estates Ltd,5100022182,100168.75
HMRC,HMRC,09/06/2010,Rent,Estates & Support Services,Cording Asset Management LLP,5100022184,78750
HMRC,HMRC,09/06/2010,Rent,Estates & Support Services,Cheval Properties Ltd,5100022187,34362.15
HMRC,HMRC,09/06/2010,Oth PFI unitary chrg,Estates & Support Services,LR Stockport Ltd,5100022191,163744.09
HMRC,HMRC,09/06/2010,Rent,Estates & Support Services,Cheval Properties Ltd,5100022192,29940.47
HMRC,HMRC,09/06/2010,Oth PFI unitary chrg,Estates & Support Services,LR (Manchester) Limited,5100022200,827769.19
HMRC,HMRC,09/06/2010,Oth PFI unitary chrg,Estates & Support Services,Cochrane Square S P V LTD,5100022202,163834.57
HMRC,HMRC,09/06/2010,Oth PFI unitary chrg,Estates & Support Services,Haymarket SPV Ltd,5100022204,160324.36
HMRC,HMRC,09/06/2010,Bank Charges CSH/CHQ,Finance & Internal Audit,Alliance and Leicester,5100022249,64009.15
HMRC,HMRC,09/06/2010,Dept forms Stock,Estates & Support Services,Adare Halcyon Limited,5100022254,32856.67
HMRC,HMRC,09/06/2010,Bank Charges CSH/CHQ,Finance & Internal Audit,Alliance and Leicester,5100022257,295175.99
HMRC,HMRC,09/06/2010,Diesel fuel,Commercial Directorate,Arval PHH Business Solutions Ltd,5100022285,52619.43
HMRC,HMRC,09/06/2010,Diesel fuel,Commercial Directorate,Arval PHH Business Solutions Ltd,5100022287,35775.69
HMRC,HMRC,10/06/2010,Forensic Services,Criminal Investigations,Forensic Science Service,1900016654,40758.66
HMRC,HMRC,10/06/2010,Specialty envelopes,Commercial Directorate,Banner Business Services Ltd,5100022607,26731.25
HMRC,HMRC,10/06/2010,Mail and Fulfilment,Business Customer Unit,BSS Scotland Ltd,5100022783,62737.89
HMRC,HMRC,10/06/2010,Mail and Fulfilment,Business Customer Unit,BSS Scotland Ltd,5100022786,81945.91
HMRC,HMRC,10/06/2010,Storage (non enfmnt),Estates & Support Services,Iron Mountain (UK) Limitedding Ltd,5100022815,102071.59
HMRC,HMRC,10/06/2010,Dept forms Stock,Estates & Support Services,St Ives Direct,5100022827,36411.77
HMRC,HMRC,10/06/2010,Dept forms Stock,Estates & Support Services,St Ives,5100022832,103472.85
HMRC,HMRC,10/06/2010,Translation services,Estates & Support Services,Thebigword Interpreting Services Lt,5100022890,45945.05
HMRC,HMRC,10/06/2010,Mail delivery/pickup,Commercial Directorate,DWP,5100022902,86654.08
HMRC,HMRC,10/06/2010,Electricity,Estates & Support Services,EDF Energy,5100022909,256041.41
HMRC,HMRC,10/06/2010,Business Rates,Estates & Support Services,South Lanarkshire Council,5100022918,178020
HMRC,HMRC,10/06/2010,Business Rates,Estates & Support Services,South Lanarkshire Council,5100022919,55807.2
HMRC,HMRC,10/06/2010,Business Rates,Estates & Support Services,Dundee City Council,5100022920,59866
HMRC,HMRC,10/06/2010,Business Rates,Estates & Support Services,Glasgow City Council,5100022921,70380
HMRC,HMRC,10/06/2010,Business Rates,Estates & Support Services,London Borough of Ealing,5100022923,91659.6
HMRC,HMRC,10/06/2010,Business Rates,Estates & Support Services,West Lothian Council,5100022924,79402
HMRC,HMRC,10/06/2010,Business Rates,Estates & Support Services,North Lanarkshire Council,5100022925,123786
HMRC,HMRC,10/06/2010,Business Rates,Estates & Support Services,City Of Edinburgh Council,5100022926,53242
HMRC,HMRC,10/06/2010,Business Rates,Estates & Support Services,City Of Edinburgh Council,5100022927,65740
HMRC,HMRC,10/06/2010,Document destruction,Estates & Support Services,Banner Business Services Ltd,5100022931,91866.19
HMRC,HMRC,10/06/2010,Document destruction,Estates & Support Services,Banner Business Services Ltd,5100022932,44917.5
HMRC,HMRC,10/06/2010,Document destruction,Estates & Support Services,Banner Business Services Ltd,5100022933,100659.81
HMRC,HMRC,10/06/2010,Document destruction,Estates & Support Services,Banner Business Services Ltd,5100022934,29459.15
HMRC,HMRC,10/06/2010,Hardware maintenance,Information Management Solutions,CapGemini UK Plc - PeoplePoint,5100022955,1046008.97
HMRC,HMRC,10/06/2010,Oth PFI unitary chrg,Estates & Support Services,Newcastle Estate Partnership,5100022959,3483548.32
HMRC,HMRC,10/06/2010,Seized Goods Cont,Specialist Investigations (SI),Veolia Environmental Services Plc,5100022975,72239.73
HMRC,HMRC,11/06/2010,Research (VAT rec),Knowledge Analysis & Intelligence,TNS UK Ltd,5100023145,105750
HMRC,HMRC,11/06/2010,Research (VAT rec),Knowledge Analysis & Intelligence,TNS UK Ltd,5100023148,58750
HMRC,HMRC,11/06/2010,HR Consultancy,Risk & Intelligence,Mendas Ltd,5100023271,74738.19
HMRC,HMRC,11/06/2010,Rent,Estates & Support Services,Vail Williams,5100023303,188180.66
HMRC,HMRC,11/06/2010,Prof bodies subs,Knowledge Analysis & Intelligence,Government Operational Research,5100023326,41000
HMRC,HMRC,11/06/2010,Legal Service; Solicitors fees,Specialist Investigations (SI),Howes Percival Solicitors,5100023339,-25226.7
HMRC,HMRC,11/06/2010,Government Gateway,Customer Contact,DWP,5100023346,157854.26
HMRC,HMRC,11/06/2010,Mail delivery/pickup,Commercial Directorate,G3 Worldwide (UK) Ltd,5100023354,36634.82
HMRC,HMRC,11/06/2010,Mail delivery/pickup,Commercial Directorate,G3 Worldwide (UK) Ltd,5100023354,10301.54
HMRC,HMRC,11/06/2010,Legal Service Sol's,Solicitors Office,Howes Percival Solicitors,5100023359,27854.48
HMRC,HMRC,14/06/2010,Legal Service Sol's,Solicitors Office,Howes Percival Solicitors,5100023376,25450.24
HMRC,HMRC,14/06/2010,Legal Service Sol's,Solicitors Office,Howes Percival Solicitors,5100023376,10
HMRC,HMRC,14/06/2010,Vehicle insurance,Commercial Directorate,Willis Ltd,5100023406,78750
HMRC,HMRC,14/06/2010,100 PS Service Charg,Estates & Support Services,Exchequer Partnership Plc,5100023411,27142.38
HMRC,HMRC,14/06/2010,IT consultancy,Information Management Solutions,Detica Limited,5100023421,39648.03
HMRC,HMRC,14/06/2010,Domestic consumables,Estates & Support Services,Mapeley STEPS Contractor Ltd  Compo,5100023430,44277.08
HMRC,HMRC,14/06/2010,Legal Service Sol's,Solicitors Office,Howes Percival Solicitors,5100023778,32928.79
HMRC,HMRC,14/06/2010,Legal Service Sol's,Solicitors Office,Howes Percival Solicitors,5100023803,44330.18
HMRC,HMRC,14/06/2010,Court Fees,Debt Management & Banking,The Insolvency Service,5100023828,53410
HMRC,HMRC,14/06/2010,Govt inf services,Benefits & Credits Delivery,Department for Work & Pension,5100023830,58750
HMRC,HMRC,14/06/2010,Govt dept services,Finance & Internal Audit,Paymaster (1836) Limited,5100023841,49060.88
HMRC,HMRC,14/06/2010,Legal Service Sol's,Solicitors Office,Howes Percival Solicitors,5100023859,28860.23
HMRC,HMRC,14/06/2010,Legal Service Sol's,Solicitors Office,Howes Percival Solicitors,5100023867,45283.56
