Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
HMRC,HMRC,04/05/2010,Specialty envelopes,Commercial Directorate,Banner Business Services Ltd,5100009751,40127.43
HMRC,HMRC,04/05/2010,Business Consultancy,Finance & Internal Audit,KPMG LLP,5100009968,357174.15
HMRC,HMRC,04/05/2010,Storage (non enfmnt),Estates & Support Services,Serco Integrated Services,5100010066,32820.76
HMRC,HMRC,04/05/2010,100 PS Service Charg,Estates & Support Services,Exchequer Partnership Plc,5100010112,2050068.07
HMRC,HMRC,04/05/2010,Rent,Estates & Support Services,BTW Shiells,5100010205,69295.63
HMRC,HMRC,04/05/2010,Landlord Charges,Estates & Support Services,BTW Shiells,5100010205,14273.9
HMRC,HMRC,04/05/2010,OGD costs,Estates & Support Services,HM Land Registry,5100010206,202488.84
HMRC,HMRC,05/05/2010,STEPS FUP,Estates & Support Services,Mapeley Steps Limited,1700012807,-1693.4
HMRC,HMRC,05/05/2010,STEPS FUP,Estates & Support Services,Mapeley Steps Limited,1700012807,-67647.74
HMRC,HMRC,05/05/2010,Travel agencies ,Business Customer Unit,Carlson Wagonlit Travel,1900029528,28235.65
HMRC,HMRC,05/05/2010,Govt dept services,Risk & Intelligence,Foreign and Commonwealth Office,5100010334,253604.89
HMRC,HMRC,05/05/2010,Translation services,Estates & Support Services,K International,5100010374,41922.46
HMRC,HMRC,05/05/2010,Samplng & Analytical,Specialist Investigations (SI),L G C Ltd,5100010457,47315.73
HMRC,HMRC,05/05/2010,Rent,Estates & Support Services,Mapeley Steps Limited,5100010638,54833.33
HMRC,HMRC,05/05/2010,Landlord Charges,Estates & Support Services,Mapeley Steps Limited,5100010638,52871.22
HMRC,HMRC,05/05/2010,Landlord Charges,Estates & Support Services,Mapeley Steps Limited,5100010640,24109.31
HMRC,HMRC,05/05/2010,Rent,Estates & Support Services,Mapeley Steps Limited,5100010640,19707.2
HMRC,HMRC,05/05/2010,Rent,Estates & Support Services,Mapeley Steps Limited,5100010645,84830.41
HMRC,HMRC,05/05/2010,Landlord Charges,Estates & Support Services,Mapeley Steps Limited,5100010647,30168.8
HMRC,HMRC,05/05/2010,Rent,Estates & Support Services,Mapeley Steps Limited,5100010647,26664.67
HMRC,HMRC,05/05/2010,Rent,Estates & Support Services,Mapeley Steps Limited,5100010666,39259.17
HMRC,HMRC,05/05/2010,Non PFI serv VAT,Estates & Support Services,MacLellan International Limited,5100010677,436626.64
HMRC,HMRC,05/05/2010,County Court Proceed,Debt Management & Banking,Her Majesty's Court Service,5100010696,49745
HMRC,HMRC,05/05/2010,Landlord Charges,Estates & Support Services,Savills Commercial Limited,5100010728,214493.9
HMRC,HMRC,05/05/2010,Phones - landlines,Information Management Solutions,OGC Buying Solutions,5100010735,151697.46
HMRC,HMRC,05/05/2010,Phones - landlines,Information Management Solutions,OGC Buying Solutions,5100010753,970197.05
HMRC,HMRC,05/05/2010,Data output prod,Information Management Solutions,Aspire,5100010974,37580244.28
HMRC,HMRC,05/05/2010,IT Software Capgemin,Information Management Solutions,Aspire,5100010974,20789154.41
HMRC,HMRC,05/05/2010,Govt dept services,People Function,National School Of Government,5100010988,247807
HMRC,HMRC,05/05/2010,Postal delivery serv,Commercial Directorate,Royal Mail,5100011044,5408008.93
HMRC,HMRC,06/05/2010,IT Config Services,Information Management Solutions,Foreign and Commonwealth,5100011028,316890.45
