Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
HMRC,HMRC,01/09/2010,Vehicle leasing,Commercial Directorate,Inchcape Fleet Solutions,5100047499,85638.79
HMRC,HMRC,01/09/2010,Govt dept services,Risk & Intelligence,Foreign and Commonwealth Office,5100047500,34901.95
HMRC,HMRC,01/09/2010,Vehicle servicing ma,Commercial Directorate,Inchcape Fleet Solutions,5100047504,106964.57
HMRC,HMRC,01/09/2010,Vehicle repairs,Commercial Directorate,Inchcape Fleet Solutions,5100047551,35867.7
HMRC,HMRC,01/09/2010,Vehicle leasing,Commercial Directorate,Inchcape Fleet Solutions,5100047553,26172.91
HMRC,HMRC,01/09/2010,100 PS Service Charg,Estates & Support Services,Exchequer Partnership Plc,5100047582,2120746.69
HMRC,HMRC,01/09/2010,STEPS FUP,Estates & Support Services,Mapeley Steps Limited,5100047583,17675376.96
HMRC,HMRC,01/09/2010,Govt dept services,Charities Assets & Residence,DWP,5100047586,26692.51
HMRC,HMRC,01/09/2010,OGD costs,Estates & Support Services,Department of Finance & Personnel,5100047664,74506.38
HMRC,HMRC,01/09/2010,Build/cont insurance,Estates & Support Services,GVA Grimley LLP,5100047665,32185.75
HMRC,HMRC,01/09/2010,Rent,Estates & Support Services,2001/02 Balliol No 2 Syndicate,5100047669,270058.18
HMRC,HMRC,01/09/2010,Rent,Estates & Support Services,Mapeley Steps Limited,5100047670,117500
HMRC,HMRC,01/09/2010,Rent,Estates & Support Services,Colliers Cre,5100047671,62128.13
HMRC,HMRC,01/09/2010,Landlord Charges,Estates & Support Services,Colliers Cre,5100047671,22341.45
HMRC,HMRC,01/09/2010,Data output prod,Information Management Solutions,Aspire,5100047949,61591429.22
HMRC,HMRC,01/09/2010,IT Software Capgemin,Information Management Solutions,Aspire,5100047949,10719384
HMRC,HMRC,02/09/2010,Court Fees,Debt Management & Banking,RBSG Central 10000607,1900111391,40000
HMRC,HMRC,02/09/2010,Diesel fuel,Commercial Directorate,Arval PHH Business Solutions Ltd,5100047984,53115.3
HMRC,HMRC,02/09/2010,Diesel fuel,Commercial Directorate,Arval PHH Business Solutions Ltd,5100047987,31962.3
HMRC,HMRC,02/09/2010,Legal Service Sol's,Solicitors Office,Shepherd & Wedderburn,5100047999,127254.78
HMRC,HMRC,02/09/2010,Subscriptions to Pub,Knowledge Analysis & Intelligence,Financial Times Ltd,5100048059,70500
HMRC,HMRC,02/09/2010,Samplng & Analytical,Specialist Investigations (SI),L G C Ltd,5100048062,73338.81
HMRC,HMRC,02/09/2010,County Court Proceed,Debt Management & Banking,Her Majesty's Court Service,5100048063,42250
HMRC,HMRC,03/09/2010,OGD costs (IR Minor Tenant),Estates & Support Services,Defra,1700060478,-376274.54
HMRC,HMRC,03/09/2010,Ombudsman services,Excise Customs Stamps & Money,World Customs Organization,1900111436,576482.14
HMRC,HMRC,03/09/2010,Gov Bank Serv Charge,Finance & Internal Audit,RBS - Natwest,5100048226,493426.1
HMRC,HMRC,03/09/2010,Gov Bank Serv Charge,Finance & Internal Audit,RBS - Natwest,5100048226,747.89
HMRC,HMRC,03/09/2010,OGD costs,Estates & Support Services,Defra,5100048237,392207.12
HMRC,HMRC,03/09/2010,OGD costs,Estates & Support Services,Defra,5100048237,69062.12
HMRC,HMRC,03/09/2010,OGD costs,Estates & Support Services,Defra,5100048243,446114.63
HMRC,HMRC,03/09/2010,Translation services,Estates & Support Services,K International,5100048246,32429.78
HMRC,HMRC,03/09/2010,Rent,Estates & Support Services,GVA Grimley LLP,5100048301,208640.34
HMRC,HMRC,03/09/2010,Landlord Charges,Estates & Support Services,GVA Grimley LLP,5100048301,81328.8
HMRC,HMRC,03/09/2010,Rent,Estates & Support Services,Buy As You View Limited,5100048303,37625.26
HMRC,HMRC,03/09/2010,Security services,Estates & Support Services,Mapeley Steps Limited,5100048311,77780.6
HMRC,HMRC,03/09/2010,STEPS FUP VAT recvbl,Estates & Support Services,Mapeley Steps Limited,5100048319,483164.99
HMRC,HMRC,03/09/2010,Security services,Estates & Support Services,Mapeley Steps Limited,5100048319,209704.8
HMRC,HMRC,03/09/2010,Mail delivery/pickup,Commercial Directorate,DWP,5100048322,93931.25
HMRC,HMRC,03/09/2010,Non PFI serv VAT,Estates & Support Services,MacLellan International Limited,5100048325,418381.09
HMRC,HMRC,06/09/2010,Forensic Services,Criminal Investigations,CCL Forensics Limited,5100048502,117756.27
HMRC,HMRC,06/09/2010,Mgmt consultancy,PAYE SA & NICs,Deloitte M C S Ltd,5100048544,54389.6
HMRC,HMRC,06/09/2010,Mgmt consultancy,PAYE SA & NICs,Deloitte M C S Ltd,5100048545,457067.36
HMRC,HMRC,07/09/2010,Vehicle carrier services,Commercial Directorate,Carlson Wagonlit Travel,1700060487,-53041.62
HMRC,HMRC,07/09/2010,Magistrates Court Legal Costs,Debt Management & Banking,RBSG Central 10000607,1900114142,35010
HMRC,HMRC,07/09/2010,OHS,People Function,Capita Health Solutions Limited,5100048573,134174.56
HMRC,HMRC,07/09/2010,Rent,Estates & Support Services,Ernst & Young,5100048596,31137.5
HMRC,HMRC,07/09/2010,Landlord Charges,Estates & Support Services,Ernst & Young,5100048596,1560.76
HMRC,HMRC,07/09/2010,Rent,Estates & Support Services,West Cumbria Development Agency,5100048683,93236.25
HMRC,HMRC,07/09/2010,Rent,Estates & Support Services,Cheval Properties Ltd,5100048695,34362.15
HMRC,HMRC,07/09/2010,Rent,Estates & Support Services,Cheval Properties Ltd,5100048696,29940.47
HMRC,HMRC,07/09/2010,Storage (non enfmnt),Estates & Support Services,Serco Integrated Services,5100048714,32003.58
HMRC,HMRC,07/09/2010,Travel agencies,Commercial Directorate,Carlson Wagonlit Travel,5100048768,50014.38
HMRC,HMRC,07/09/2010,Legal Service Sol's,Specialist Investigations (SI),Howes Percival Solicitors,5100048784,151333.74
HMRC,HMRC,07/09/2010,Legal Serv's Credit,Specialist Investigations (SI),Howes Percival Solicitors,5100048784,27192.2
HMRC,HMRC,07/09/2010,Translation services,Estates & Support Services,Thebigword Interpreting Services Lt,5100048795,48840.29
HMRC,HMRC,07/09/2010,Mail and Fulfilment,Business Customer Unit,BSS Scotland Ltd,5100048817,48867.76
HMRC,HMRC,07/09/2010,Legal Service Sol's,Specialist Investigations (SI),Howes Percival Solicitors,5100048844,34544.66
HMRC,HMRC,07/09/2010,Legal Serv's Credit,Specialist Investigations (SI),Howes Percival Solicitors,5100048844,7151.43
HMRC,HMRC,07/09/2010,Electricity,Estates & Support Services,Mapeley Steps Limited,5100049005,1273876.82
HMRC,HMRC,07/09/2010,Gas,Estates & Support Services,Mapeley Steps Limited,5100049005,198373.81
HMRC,HMRC,07/09/2010,Water,Estates & Support Services,Mapeley Steps Limited,5100049005,185848.07
HMRC,HMRC,07/09/2010,Electricity,Estates & Support Services,Mapeley Steps Limited,5100049005,140562.71
HMRC,HMRC,07/09/2010,Gas,Estates & Support Services,Mapeley Steps Limited,5100049005,77448.74
HMRC,HMRC,07/09/2010,Gas,Estates & Support Services,Mapeley Steps Limited,5100049005,40216.14
HMRC,HMRC,07/09/2010,Water,Estates & Support Services,Mapeley Steps Limited,5100049005,20781.05
HMRC,HMRC,07/09/2010,Oil,Estates & Support Services,Mapeley Steps Limited,5100049005,12819.69
HMRC,HMRC,07/09/2010,Electricity,Estates & Support Services,Mapeley Steps Limited,5100049005,10402.51
HMRC,HMRC,07/09/2010,Oil,Estates & Support Services,Mapeley Steps Limited,5100049005,2014.21
HMRC,HMRC,07/09/2010,Oil,Estates & Support Services,Mapeley Steps Limited,5100049005,1078.47
HMRC,HMRC,08/09/2010,IT consultancy,Information Management Solutions,Amtec Consulting Plc,5100049110,117791.99
HMRC,HMRC,08/09/2010,Rent,Estates & Support Services,Somerset House Trust,5100049468,676266.24
HMRC,HMRC,08/09/2010,Landlord Charges,Estates & Support Services,Somerset House Trust,5100049468,338133.12
HMRC,HMRC,09/09/2010,Rent,Estates & Support Services,Jones Lang Lasalle,5100049198,84000
