Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure type
HMRC,HMRC,01/07/2014,Dept forms Stock,Information Management Services,WILLIAMS LEA LTD,5100023446,"87,598.80",Generic Stock,WF6 1TN,,,,
HMRC,HMRC,02/07/2014,Software licences,Information Management Services,COMPUTACENTER UK PLC,5100023788,"77,733.89",Big IP Licences,AL10 9TW,,,,
HMRC,HMRC,02/07/2014,Software licences,Information Management Services,COMPUTACENTER UK PLC,5100023788,"20,186.11",Big IP Licences,AL10 9TW,,,,
HMRC,HMRC,02/07/2014,Research (VAT rec),Business Customer & Strategy,TNS - BMRB,5100023863,"29,514.00",Tax Agents Segmentation Research,W5 1UA,,,,
HMRC,HMRC,02/07/2014,Research (VAT rec),"Knowledge, Analysis & Intelligence",TNS - BMRB,5100024065,"73,419.60",A survey of customers’ experience of dealing with HMRC.,W5 1UA,,,,
HMRC,HMRC,02/07/2014,Employee education,HR,CAPITA BUSINESS SERVICES LTD,5100024084,"40,358.40","Leadership, Management & Generic Learning - Building Our Future",DL1 9HN,,,,
HMRC,HMRC,03/07/2014,Document destruction,Estates & Support Services,BANNER BUSINESS SERVICES LTD,5100024142,"65,089.37",Monthly charge for secure destruction of confidentially marked waste,NR3 1PD,,,,
HMRC,HMRC,03/07/2014,Document destruction,Estates & Support Services,BANNER BUSINESS SERVICES LTD,5100024142,"10,595.94",Monthly charge for secure destruction of confidentially marked waste,NR3 1PD,,,,
HMRC,HMRC,03/07/2014,Diesel fuel,Criminal Investigations,ALLSTAR BUSINESS SOLUTIONS LTD,5100024146,"56,659.43",Fleet Management,SN5 6PS,,,,
HMRC,HMRC,03/07/2014,Forensic Services,Criminal Investigations,CCL FORENSICS LTD,5100024156,"38,554.68",Forensic services,CV37 6NW,,,,
HMRC,HMRC,03/07/2014,OGD costs,Estates & Support Services,COMMUNITIES AND LOCAL GOVERNMENT,5100024173,"257,402.39","MOTO costs for Rivergate, Bristol",SW1E 5DU,,,,
HMRC,HMRC,03/07/2014,OGD costs,Estates & Support Services,COMMUNITIES AND LOCAL GOVERNMENT,5100024173,"22,382.82","MOTO costs for Rivergate, Bristol",SW1E 5DU,,,,
HMRC,HMRC,03/07/2014,Rent,Estates & Support Services,MUNROE K,5100024178,"108,936.00","Monthly rent payment, payable to the Landlord",WC2E 9DH,,,,
HMRC,HMRC,03/07/2014,Rent,Estates & Support Services,MUNROE K,5100024178,"24,564.00","Monthly rent payment, payable to the Landlord",WC2E 9DH,,,,
HMRC,HMRC,03/07/2014,Landlord Charges,Estates & Support Services,MUNROE K,5100024178,"24,071.42","Standard Landlord Service Charge, payable to the Landlord",WC2E 9DH,,,,
HMRC,HMRC,03/07/2014,Landlord Charges,Estates & Support Services,MUNROE K,5100024178,"5,427.88","Standard Landlord Service Charge, payable to the Landlord",WC2E 9DH
HMRC,HMRC,03/07/2014,Landlord Charges,Estates & Support Services,FASSET BUSINESS & PROPERTY,5100024194,"193,752.43","Standard Landlord Service Charge, payable to the Landlord",PO9 1SA
HMRC,HMRC,03/07/2014,Landlord Charges,Estates & Support Services,FASSET BUSINESS & PROPERTY,5100024194,"5,581.34","Standard Landlord Service Charge, payable to the Landlord",PO9 1SA
HMRC,HMRC,03/07/2014,Debt coll serv (DEL),Debt Management & Banking,EQUITA LTD,5100024195,"37,902.15",Debt Collection Services,NN1 4BZ
HMRC,HMRC,04/07/2014,Security printing,Indirect Tax Directorate,WILLIAMS LEA LTD,5100024203,"30,672.89",Provide support for the UK Duty Stamps Scheme,WF6 1TN
HMRC,HMRC,04/07/2014,Non-IMS IT for CSR,HR,WORLD CAREERS NETWORK PLC,5100024208,"99,138.00",Amendment to Civil Service Jobs Portal.,SW19 8DR
HMRC,HMRC,04/07/2014,Business Rates,Estates & Support Services,GVA GRIMLEY LLP (RENT),5100024209,"56,312.76",Business rates payable for 2014/15,B11 3EA
HMRC,HMRC,07/07/2014,Landlord Charges,Estates & Support Services,GVA GRIMLEY LLP,5100024269,"27,801.05","Standard Landlord Service Charge, payable to the Landlord",B1 2JJ
HMRC,HMRC,07/07/2014,Landlord Charges,Estates & Support Services,GVA GRIMLEY LLP,5100024269,919.04,"Standard Landlord Service Charge, payable to the Landlord",B1 2JJ
HMRC,HMRC,07/07/2014,Rent,Estates & Support Services,LEGAT OWEN,5100024920,"58,220.66","Monthly rent payment, payable to the Landlord",CH1 1RQ
HMRC,HMRC,07/07/2014,Landlord Charges,Estates & Support Services,LEGAT OWEN,5100024920,"30,961.12","Standard Landlord Service Charge, payable to the Landlord",CH1 1RQ
HMRC,HMRC,07/07/2014,Rent,Estates & Support Services,LEGAT OWEN,5100024920,766.84,"Monthly rent payment, payable to the Landlord",CH1 1RQ
HMRC,HMRC,07/07/2014,Landlord Charges,Estates & Support Services,LEGAT OWEN,5100024920,407.8,"Standard Landlord Service Charge, payable to the Landlord",CH1 1RQ
HMRC,HMRC,07/07/2014,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100024936,"2,121,122.76",Utility payment,WD17 1HN
HMRC,HMRC,07/07/2014,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100024936,"424,617.35",Utility payment,WD17 1HN
HMRC,HMRC,07/07/2014,Water,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100024936,"151,578.01",Utility payment,WD17 1HN
