Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
HMRC,HMRC,09/05/2011,Research (VAT rec),Business Customer Unit,Cragg Ross Dawson,5100010651,"£25,740.00"
HMRC,HMRC,13/05/2011,Mail and Fulfilment,Business Customer Unit,BSS Scotland Ltd,5100012444,"£147,314.51"
HMRC,HMRC,13/05/2011,Govt dept services,Charities Assets & Residence,DWP,5100012258,"£27,229.40"
HMRC,HMRC,04/05/2011,Gasoline or Petrol,Commercial Directorate,Arval BNP Paribas Group,5100008209,"£54,540.34"
HMRC,HMRC,04/05/2011,Gasoline or Petrol,Commercial Directorate,Arval BNP Paribas Group,5100008212,"£40,967.47"
HMRC,HMRC,04/05/2011,Dept forms Stock,Commercial Directorate,Paragon UK (Print) Ltd,5100009145,"£33,679.80"
HMRC,HMRC,04/05/2011,TNT Documented Servi,Commercial Directorate,TNT UK Limited,5100009334,"£741,553.09"
HMRC,HMRC,04/05/2011,Mail delivery/pickup,Commercial Directorate,G3 Worldwide (UK) Ltd,5100009401,"£149,144.96"
HMRC,HMRC,04/05/2011,Dept forms Stock,Commercial Directorate,Adare Halcyon Limited,5100009572,"£40,734.34"
HMRC,HMRC,04/05/2011,Vehicle insurance,Commercial Directorate,Willis Ltd,5100009643,"£63,600.00"
HMRC,HMRC,06/05/2011,Dept forms Stock,Commercial Directorate,St Ives Direct,5100010187,"£9,488.71"
HMRC,HMRC,06/05/2011,Dept forms Stock,Commercial Directorate,St Ives Direct,5100010187,"£9,018.36"
HMRC,HMRC,06/05/2011,Dept forms Stock,Commercial Directorate,St Ives Direct,5100010187,"£4,132.80"
HMRC,HMRC,06/05/2011,Dept forms Stock,Commercial Directorate,St Ives Direct,5100010187,"£2,952.00"
HMRC,HMRC,09/05/2011,Dept forms Non Stock,Commercial Directorate,Adare Halcyon Ltd,5100010321,"£26,115.18"
HMRC,HMRC,09/05/2011,Gasoline or Petrol,Commercial Directorate,Arval BNP Paribas Group,5100010573,"£63,959.18"
HMRC,HMRC,10/05/2011,Postal delivery serv,Commercial Directorate,Royal Mail,5100011084,"£615,887.53"
HMRC,HMRC,11/05/2011,Dept forms Non Stock,Commercial Directorate,Paragon UK (Print),5100011513,"£30,434.40"
HMRC,HMRC,12/05/2011,Dept forms Stock,Commercial Directorate,Banner Business Services Ltd,5100011754,"£83,795.04"
HMRC,HMRC,12/05/2011,Dept forms Stock,Commercial Directorate,Banner Business Services Ltd,5100011769,"£55,092.96"
HMRC,HMRC,12/05/2011,Gasoline or Petrol,Commercial Directorate,Arval BNP Paribas Group,5100011795,"£34,087.11"
HMRC,HMRC,13/05/2011,Specialty envelopes,Commercial Directorate,Banner Business Services Ltd,5100012138,"£25,200.00"
HMRC,HMRC,13/05/2011,Vehicle servicing ma,Commercial Directorate,Inchcape Fleet Solutions,5100012399,"£18,731.16"
HMRC,HMRC,13/05/2011,Vehicle servicing ma,Commercial Directorate,Inchcape Fleet Solutions,5100012399,"£17,762.47"
HMRC,HMRC,13/05/2011,Vehicle servicing ma,Commercial Directorate,Inchcape Fleet Solutions,5100012399,£77.02
HMRC,HMRC,13/05/2011,Vehicle servicing ma,Commercial Directorate,Inchcape Fleet Solutions,5100012429,"£65,192.53"
HMRC,HMRC,13/05/2011,Vehicle servicing ma,Commercial Directorate,Inchcape Fleet Solutions,5100012429,"£22,884.87"
HMRC,HMRC,13/05/2011,Vehicle servicing ma,Commercial Directorate,Inchcape Fleet Solutions,5100012429,£295.71
HMRC,HMRC,13/05/2011,Vehicle leasing,Commercial Directorate,Inchcape Fleet Solutions,5100012435,"£31,923.98"
HMRC,HMRC,13/05/2011,Vehicle leasing,Commercial Directorate,Inchcape Fleet Solutions,5100012437,"£78,865.25"
HMRC,HMRC,13/05/2011,Vehicle leasing,Commercial Directorate,Inchcape Fleet Solutions,5100012437,"£78,628.81"
HMRC,HMRC,13/05/2011,Vehicle repairs,Commercial Directorate,Inchcape Fleet Solutions,5100012449,"£23,199.81"
HMRC,HMRC,13/05/2011,Vehicle repairs,Commercial Directorate,Inchcape Fleet Solutions,5100012449,"£2,004.16"
HMRC,HMRC,13/05/2011,Vehicle repairs,Commercial Directorate,Inchcape Fleet Solutions,5100012449,£176.25
HMRC,HMRC,17/05/2011,Mail delivery/pickup,Commercial Directorate,G3 Worldwide (UK) Ltd,5100012762,"£67,767.97"
HMRC,HMRC,17/05/2011,Mail delivery/pickup,Commercial Directorate,G3 Worldwide (UK) Ltd,5100012762,"£21,029.55"
HMRC,HMRC,18/05/2011,Mail delivery/pickup,Commercial Directorate,Royal Mail,5100013793,"£73,563.35"
HMRC,HMRC,18/05/2011,Postal delivery serv,Commercial Directorate,Royal Mail Wholesale,5100013819,"£3,791,105.55"
HMRC,HMRC,18/05/2011,Dept forms Stock,Commercial Directorate,Banner Business Services Ltd,5100013936,"£36,728.64"
HMRC,HMRC,18/05/2011,Postal delivery serv,Commercial Directorate,Royal Mail Wholesale,5100013822,"-£71,140.23"
HMRC,HMRC,20/05/2011,Postal delivery serv,Commercial Directorate,TNT Post UK Ltd,5100014849,"£89,038.44"
HMRC,HMRC,23/05/2011,Dept forms Stock,Commercial Directorate,St Ives Direct,5100015193,"£144,638.21"
HMRC,HMRC,23/05/2011,Dept forms Stock,Commercial Directorate,St Ives Direct,5100015195,"£36,496.80"
HMRC,HMRC,25/05/2011,Dept forms Stock,Commercial Directorate,St Ives Direct,5100015201,"£11,877.84"
HMRC,HMRC,25/05/2011,Depart Booklet Stk,Commercial Directorate,St Ives Direct,5100015201,"£9,481.54"
HMRC,HMRC,25/05/2011,Dept forms Stock,Commercial Directorate,St Ives Direct,5100015201,"£5,443.20"
HMRC,HMRC,25/05/2011,Dept forms Stock,Commercial Directorate,St Ives Direct,5100015201,"£4,004.64"
HMRC,HMRC,25/05/2011,Dept forms Stock,Commercial Directorate,St Ives Direct,5100015201,"£1,378.94"
HMRC,HMRC,25/05/2011,Mail delivery/pickup,Commercial Directorate,DWP,5100016162,"£62,659.42"
HMRC,HMRC,25/05/2011,Equipment & machiner,Commercial Directorate,Opex Corporation,5100016224,"£47,199.21"
HMRC,HMRC,25/05/2011,TNT Documented Servi,Commercial Directorate,TNT UK Limited,5100016695,"£839,061.02"
HMRC,HMRC,26/05/2011,Dept forms Stock,Commercial Directorate,Banner Business Services Ltd,5100013923,"£62,670.24"
HMRC,HMRC,27/05/2011,Diesel fuel,Commercial Directorate,Arval BNP Paribas Group,5100017057,"£46,848.32"
HMRC,HMRC,27/05/2011,Diesel fuel,Commercial Directorate,Arval BNP Paribas Group,5100017058,"£66,065.29"
HMRC,HMRC,04/05/2011,Forensic Services,Criminal Investigations,Forensic Science Service,5100008221,"£45,273.90"
HMRC,HMRC,13/05/2011,Forensic Services,Criminal Investigations,CCL Forensics Limited,5100012019,"£137,586.73"
HMRC,HMRC,18/05/2011,Forensic Services,Criminal Investigations,Forensic Science Service,5100013568,"£31,142.92"
HMRC,HMRC,17/05/2011,Interpretation,Customer Contact,Thebigword Interpreting,5100012837,"£32,310.36"
HMRC,HMRC,17/05/2011,Interpretation,Customer Contact,Thebigword Interpreting,5100012840,"£43,240.44"
HMRC,HMRC,17/05/2011,Interpretation,Customer Contact,Thebigword Interpreting,5100012841,"£47,268.18"
HMRC,HMRC,17/05/2011,Interpretation,Customer Contact,Thebigword Interpreting,5100012842,"£69,446.33"
HMRC,HMRC,17/05/2011,Interpretation,Customer Contact,Thebigword Interpreting,5100012843,"£63,207.19"
HMRC,HMRC,05/05/2011,High Court Costs,Debt Management & Banking,RBSG Central 10000607,1900018760,"£40,000.00"
HMRC,HMRC,05/05/2011,Debt Collection Services,Debt Management & Banking,iQor holdings Limited,5100009791,"£414,021.52"
HMRC,HMRC,10/05/2011,Court Fees,Debt Management & Banking,The Insolvency Service,5100010982,"£112,490.00"
HMRC,HMRC,11/05/2011,High Court Costs,Debt Management & Banking,RBSG Central 10000607,1900022420,"£40,000.00"
HMRC,HMRC,11/05/2011,County Court Costs,Debt Management & Banking,RBSG Central 10000607,1900022433,"£28,880.00"
HMRC,HMRC,17/05/2011,High Court Costs,Debt Management & Banking,RBSG Central 10000607,1900022946,"£40,000.00"
HMRC,HMRC,17/05/2011,Debt Collection Services,Debt Management & Banking,Credit Solutions,5100013068,"£137,133.86"
HMRC,HMRC,17/05/2011,Debt Collection Services,Debt Management & Banking,Commercial Collection Services,5100013069,"£60,388.48"
HMRC,HMRC,18/05/2011,County Court Costs,Debt Management & Banking,RBSG Central 10000607,1900026268,"£29,660.00"
HMRC,HMRC,18/05/2011,Debt collection serv,Debt Management & Banking,Fairfax Solicitors Limited,5100013628,"£280,921.60"
HMRC,HMRC,20/05/2011,High Court Costs,Debt Management & Banking,RBSG Central 10000607,1900027518,"£40,000.00"
HMRC,HMRC,23/05/2011,Debt Collection Services,Debt Management & Banking,iQor holdings Limited,5100015273,"£200,257.30"
HMRC,HMRC,24/05/2011,Crown Sol's Off NI,Debt Management & Banking,Crown Solicitors Office,5100015618,"£41,352.00"
HMRC,HMRC,24/05/2011,County Court Proceed,Debt Management & Banking,Her Majesty's Court Service,5100015790,"£82,650.00"
HMRC,HMRC,24/05/2011,Court Fees,Debt Management & Banking,The Insolvency Service,5100015923,"£94,630.00"
HMRC,HMRC,03/05/2011,Business Rates,Estates & Support Services,Borough of Telford & Wrekin,5100008294,"£61,067.00"
HMRC,HMRC,03/05/2011,Business Rates,Estates & Support Services,Salford City Council,5100008312,"£129,034.00"
HMRC,HMRC,03/05/2011,Business Rates,Estates & Support Services,Salford City Council,5100008313,"£52,826.00"
HMRC,HMRC,03/05/2011,Business Rates,Estates & Support Services,Birmingham City Council,5100008330,"£33,099.00"
HMRC,HMRC,03/05/2011,Business Rates,Estates & Support Services,Bournemouth Borough Council,5100008340,"£31,239.00"
HMRC,HMRC,03/05/2011,Business Rates,Estates & Support Services,Bradford Council,5100008342,"£35,073.00"
HMRC,HMRC,03/05/2011,Business Rates,Estates & Support Services,Bradford Council,5100008343,"£54,558.00"
HMRC,HMRC,03/05/2011,Business Rates,Estates & Support Services,Bristol City Council,5100008357,"£32,908.00"
HMRC,HMRC,03/05/2011,Business Rates,Estates & Support Services,Cardiff County Council,5100008361,"£90,308.00"
HMRC,HMRC,03/05/2011,Business Rates,Estates & Support Services,Sefton Mbc,5100008388,"£37,022.00"
HMRC,HMRC,03/05/2011,Business Rates,Estates & Support Services,Sheffield City Council,5100008389,"£37,671.00"
HMRC,HMRC,03/05/2011,Business Rates,Estates & Support Services,City of  Westminster,5100008397,"£114,434.00"
HMRC,HMRC,03/05/2011,Business Rates,Estates & Support Services,City of  Westminster,5100008399,"£97,684.00"
HMRC,HMRC,03/05/2011,Business Rates,Estates & Support Services,City of  Westminster,5100008401,"£41,903.00"
HMRC,HMRC,03/05/2011,Business Rates,Estates & Support Services,Coventry City Council,5100008404,"£52,826.00"
HMRC,HMRC,03/05/2011,Business Rates,Estates & Support Services,Croydon Council,5100008408,"£58,437.00"
HMRC,HMRC,03/05/2011,Business Rates,Estates & Support Services,Southend Borough Council,5100008412,"£51,527.00"
HMRC,HMRC,03/05/2011,Business Rates,Estates & Support Services,Sunderland City Council,5100008435,"£74,043.00"
HMRC,HMRC,03/05/2011,Business Rates,Estates & Support Services,Ipswich Borough Council,5100008465,"£26,630.00"
HMRC,HMRC,03/05/2011,Business Rates,Estates & Support Services,Leicester City Council,5100008476,"£25,114.00"
HMRC,HMRC,03/05/2011,Business Rates,Estates & Support Services,Liverpool City Council,5100008486,"£48,063.00"
HMRC,HMRC,03/05/2011,Business Rates,Estates & Support Services,Liverpool City Council,5100008487,"£25,547.00"
HMRC,HMRC,03/05/2011,Business Rates,Estates & Support Services,London Borough of Camden,5100008493,"£243,677.00"
HMRC,HMRC,03/05/2011,Business Rates,Estates & Support Services,West Lindsey District Council,5100008497,"£28,795.00"
HMRC,HMRC,03/05/2011,Business Rates,Estates & Support Services,Manchester City Council,5100008514,"£51,094.00"
HMRC,HMRC,03/05/2011,Business Rates,Estates & Support Services,Woking Borough  Council,5100008516,"£42,846.00"
HMRC,HMRC,03/05/2011,Business Rates,Estates & Support Services,Worthing Borough Council,5100008523,"£35,108.93"
HMRC,HMRC,03/05/2011,Business Rates,Estates & Support Services,Newcastle City Council,5100008530,"£337,307.00"
HMRC,HMRC,03/05/2011,Business Rates,Estates & Support Services,City Of London,5100008552,"£81,346.00"
HMRC,HMRC,03/05/2011,Business Rates,Estates & Support Services,City Of London,5100008553,"£50,727.00"
HMRC,HMRC,03/05/2011,Business Rates,Estates & Support Services,Leeds City Council,5100008559,"£37,888.00"
HMRC,HMRC,03/05/2011,Business Rates,Estates & Support Services,Council Of The Borough,5100008563,"£29,661.00"
HMRC,HMRC,03/05/2011,Business Rates,Estates & Support Services,London Borough of Southwark,5100008594,"£150,627.00"
HMRC,HMRC,03/05/2011,100 PS Service Charg,Estates & Support Services,Exchequer Partnership Plc,5100008609,"£2,177,077.80"
HMRC,HMRC,04/05/2011,Landlord Charges,Estates & Support Services,Mapeley Steps Limited,5100009325,"£30,810.70"
HMRC,HMRC,04/05/2011,Rent,Estates & Support Services,Mapeley Steps Limited,5100009325,"£27,231.99"
HMRC,HMRC,04/05/2011,Rent,Estates & Support Services,Mapeley Steps Limited,5100009326,"£40,094.47"
HMRC,HMRC,04/05/2011,Rent,Estates & Support Services,Mapeley Steps Limited,5100009327,"£86,635.31"
HMRC,HMRC,04/05/2011,Storage (non enfmnt),Estates & Support Services,Iron Mountain (UK) Ltd,5100009329,"£124,897.83"
HMRC,HMRC,04/05/2011,Landlord Charges,Estates & Support Services,Savills Commercial Limited,5100009350,"£237,657.60"
HMRC,HMRC,06/05/2011,Electricity,Estates & Support Services,Mapeley Steps Limited,5100010508,"£1,113,594.28"
HMRC,HMRC,06/05/2011,Gas,Estates & Support Services,Mapeley Steps Limited,5100010508,"£501,832.05"
HMRC,HMRC,06/05/2011,Gas,Estates & Support Services,Mapeley Steps Limited,5100010508,"£399,691.30"
HMRC,HMRC,06/05/2011,Electricity,Estates & Support Services,Mapeley Steps Limited,5100010508,"£160,823.12"
HMRC,HMRC,06/05/2011,Water,Estates & Support Services,Mapeley Steps Limited,5100010508,"£118,446.63"
HMRC,HMRC,06/05/2011,Oil,Estates & Support Services,Mapeley Steps Limited,5100010508,"£108,662.42"
HMRC,HMRC,06/05/2011,Water,Estates & Support Services,Mapeley Steps Limited,5100010508,"£83,749.21"
HMRC,HMRC,06/05/2011,Oil,Estates & Support Services,Mapeley Steps Limited,5100010508,"£24,815.06"
HMRC,HMRC,06/05/2011,Oil,Estates & Support Services,Mapeley Steps Limited,5100010508,"£3,566.71"
HMRC,HMRC,06/05/2011,Electricity,Estates & Support Services,Mapeley Steps Limited,5100010508,"£3,250.18"
HMRC,HMRC,09/05/2011,STEPS FUP VAT recvbl,Estates & Support Services,Mapeley Steps Limited,5100010569,"£465,900.52"
HMRC,HMRC,09/05/2011,Security services,Estates & Support Services,Mapeley Steps Limited,5100010569,"£214,166.60"
HMRC,HMRC,09/05/2011,Non PFI serv VAT,Estates & Support Services,MacLellan International Limited,5100010570,"£52,130.46"
HMRC,HMRC,10/05/2011,Rent,Estates & Support Services,Mapeley Steps Limited,5100010969,"£56,000.00"
HMRC,HMRC,10/05/2011,Landlord Charges,Estates & Support Services,Mapeley Steps Limited,5100010969,"£53,996.14"
HMRC,HMRC,10/05/2011,Landlord Charges,Estates & Support Services,Mapeley Steps Limited,5100010972,"£24,622.27"
HMRC,HMRC,10/05/2011,Rent,Estates & Support Services,Mapeley Steps Limited,5100010972,"£20,126.51"
HMRC,HMRC,10/05/2011,Maj AW struc non-VAT,Estates & Support Services,Mapeley Steps Limited,5100010995,"£95,201.60"
HMRC,HMRC,10/05/2011,OGD costs,Estates & Support Services,DTZ (Defra Birmingham),5100011028,"£298,066.49"
HMRC,HMRC,10/05/2011,OGD costs,Estates & Support Services,DTZ (Defra Birmingham),1700008985,"-£299,003.55"
HMRC,HMRC,11/05/2011,Business Rates,Estates & Support Services,South Lanarkshire Council,5100011439,"£93,095.00"
HMRC,HMRC,11/05/2011,Business Rates,Estates & Support Services,Dundee City Council,5100011440,"£31,305.00"
HMRC,HMRC,11/05/2011,Business Rates,Estates & Support Services,Liverpool City Council,5100011442,"£67,111.00"
HMRC,HMRC,11/05/2011,Business Rates,Estates & Support Services,West Lothian Council,5100011445,"£41,522.00"
HMRC,HMRC,11/05/2011,Business Rates,Estates & Support Services,City Of Edinburgh Council,5100011448,"£27,841.00"
HMRC,HMRC,11/05/2011,Business Rates,Estates & Support Services,City Of Edinburgh Council,5100011450,"£34,382.00"
HMRC,HMRC,11/05/2011,Business Rates,Estates & Support Services,London Borough of Southwark,5100011451,"£141,415.33"
HMRC,HMRC,12/05/2011,Business Rates,Estates & Support Services,Reigate & Banstead Borough Co,5100011922,"£25,430.11"
HMRC,HMRC,17/05/2011,Business Rates,Estates & Support Services,Nottingham City Council,5100012865,"£262,229.93"
HMRC,HMRC,18/05/2011,Rent,Estates & Support Services,Jones Lang Lasalle,5100013712,"£84,000.00"
HMRC,HMRC,18/05/2011,PRIME costs,Estates & Support Services,DWP,5100013715,"£85,413.07"
HMRC,HMRC,18/05/2011,Document destruction,Estates & Support Services,Banner Business Services Ltd,5100013716,"£70,203.91"
HMRC,HMRC,18/05/2011,OGD costs,Estates & Support Services,HM Land Registry,5100013721,"£66,771.00"
HMRC,HMRC,18/05/2011,Business Rates,Estates & Support Services,Rate Collection Agency,5100013814,"£1,080,874.96"
HMRC,HMRC,18/05/2011,PRIME costs,Estates & Support Services,DWP,5100013817,"£927,024.87"
HMRC,HMRC,18/05/2011,Business Rates,Estates & Support Services,Rate Collection Agency,5100013994,"£411,879.45"
HMRC,HMRC,20/05/2011,Maj AW struc non-VAT,Estates & Support Services,Mapeley Steps Limited,5100014434,"£230,913.53"
HMRC,HMRC,23/05/2011,Storage (non enfmnt),Estates & Support Services,Iron Mountain (UK) Ltd,5100015202,"£96,699.75"
HMRC,HMRC,25/05/2011,Oth PFI unitary chrg,Estates & Support Services,Cochrane Square S P V LTD,5100016110,"£173,935.52"
HMRC,HMRC,25/05/2011,Oth PFI unitary chrg,Estates & Support Services,LR (Manchester) Limited,5100016111,"£845,381.30"
HMRC,HMRC,25/05/2011,Oth PFI unitary chrg,Estates & Support Services,Haymarket SPV Ltd,5100016113,"£170,308.67"
HMRC,HMRC,25/05/2011,Oth PFI unitary chrg,Estates & Support Services,LR Stockport Ltd,5100016115,"£167,228.00"
