Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure type
HMRC,HMRC,01/05/2014,Research (VAT rec),Business Customer & Strategy,QUADRANGLE RESEARCH GROUP,5100007323,"£36,000.00",SME Customer Journeys Research,SE1 2YE,,,,
HMRC,HMRC,01/05/2014,Legal Service Sol's,Solicitors Office,HOWES PERCIVAL SOLICITORS,5100007364,"£60,130.66",Costs incurred by Solicitors working on behalf of HMRC,NR3 1DD,,,,
HMRC,HMRC,01/05/2014,Legal Service Sol's,Solicitors Office,HOWES PERCIVAL SOLICITORS,5100007409,"£31,893.33",Costs incurred by Solicitors working on behalf of HMRC,NR3 1DD,,,,
HMRC,HMRC,01/05/2014,Legal Service Sol's,Solicitors Office,HOWES PERCIVAL SOLICITORS,5100007409,"£1,554.20",Costs incurred by Solicitors working on behalf of HMRC,NR3 1DD,,,,
HMRC,HMRC,01/05/2014,Credt Crd Comm Chrge,Finance & Internal Audit,ALLIANCE AND LEICESTER,5100007428,"£209,136.26",Government Banking Service: Credit Card Commission Charges,G1R 0AA,,,,
HMRC,HMRC,01/05/2014,Gov Bank Serv Charge,Finance & Internal Audit,ALLIANCE AND LEICESTER,5100007428,"£94,112.61",Monthly bank charges for tax credits and Child Benefit payments by Post Office card account (POca).,G1R 0AA,,,,
HMRC,HMRC,01/05/2014,Credt Crd Comm Chrge,Finance & Internal Audit,ALLIANCE AND LEICESTER,5100007438,"£197,980.61",Government Banking Service: Credit Card Commission Charges,G1R 0AA,,,,
HMRC,HMRC,01/05/2014,Gov Bank Serv Charge,Finance & Internal Audit,ALLIANCE AND LEICESTER,5100007438,"£17,795.60",Monthly bank charges for tax credits and Child Benefit payments by Post Office card account (POca).,G1R 0AA,,,,
HMRC,HMRC,01/05/2014,Credt Crd Comm Chrge,Finance & Internal Audit,ALLIANCE AND LEICESTER,5100007448,"£282,162.12",Government Banking Service: Credit Card Commission Charges,G1R 0AA,,,,
HMRC,HMRC,01/05/2014,Gov Bank Serv Charge,Finance & Internal Audit,ALLIANCE AND LEICESTER,5100007448,"£95,013.96",Monthly bank charges for tax credits and Child Benefit payments by Post Office card account (POca).,G1R 0AA,,,,
HMRC,HMRC,01/05/2014,Legal Service Sol's,Solicitors Office,HOWES PERCIVAL SOLICITORS,5100007449,"£28,799.88",Costs incurred by Solicitors working on behalf of HMRC,NR3 1DD,,,,
HMRC,HMRC,01/05/2014,Legal Service Sol's,Solicitors Office,HOWES PERCIVAL SOLICITORS,5100007449,"£1,573.30",Costs incurred by Solicitors working on behalf of HMRC,NR3 1DD,,,,
HMRC,HMRC,01/05/2014,Employee education,Change Assurance & Investment,UNI OF OXFORD SAID BUSINESS SCHOOL,5100007451,"£30,000.00",Training costs associated with Departmental Change Programme Project & Programme Management Capability Profession,OX1 1HP,,,,
HMRC,HMRC,01/05/2014,Employee education,Information Management Services,CAPITA BUSINESS SERVICES LTD,5100007502,"£67,876.47",Consolidated Invoice for a series of training courses,DL1 9HN,,,,
HMRC,HMRC,01/05/2014,Court Fees,Debt Management & Banking,THE INSOLVENCY SERVICE,5100007505,"£201,085.00",Court Fees,B4 6FD,,,,
HMRC,HMRC,01/05/2014,Employee education,Information Management Services,CAPITA BUSINESS SERVICES LTD,5100007513,"£35,853.72",Invoice for two 'Building Capability' events,DL1 9HN
HMRC,HMRC,01/05/2014,Legal Service Sol's,Solicitors Office,HOWES PERCIVAL SOLICITORS,5100007520,"£241,930.99",Costs incurred by Solicitors working on behalf of HMRC,NR3 1DD
HMRC,HMRC,01/05/2014,Proprietry sys maint,Information Management Services,DWP,5100007532,"£81,212.83",Charges for Live running testing support maintenance or changes to the Child Benefit computer system,CF14 3UW
HMRC,HMRC,01/05/2014,Crown Sol's Off NI,Debt Management & Banking,CROWN SOLICITORS OFFICE,5100007567,"£57,766.93",High Court costs,BT1 3JY
HMRC,HMRC,01/05/2014,Gov Bank Serv Charge,Finance & Internal Audit,RBS - NATWEST,5100007625,"£50,008.45",Monthly bank charges for tax credits and Child Benefit payments by Post Office card account (POca).,EC2M 4RB
HMRC,HMRC,01/05/2014,Debt coll serv (DEL),Debt Management & Banking,DRYDENSFAIRFAX SOLICITORS,5100007644,"£54,597.16",Debt Collection Services,LS2 8BX
HMRC,HMRC,01/05/2014,Employee education,Large Business Service,CAPITA BUSINESS SERVICES LTD,5100007671,"£29,006.06",Composite invoice covering the delivery of five two day learning events at various external venues in the Liverpool and London - covering between 16 and 20 delegates each - during April 2014 as part of the Compliance skills Development Programme (CSDP). ,DL1 9HN
HMRC,HMRC,01/05/2014,Employee education,Large Business Service,CAPITA BUSINESS SERVICES LTD,5100007767,"£105,272.81",Composite invoice covering the delivery of four two day learning events at various external venues in the Liverpool and London - covering between 16 and 20 delegates each plus a further 2 day event in London for 120 delegates- during April 2014 as part of the Compliance skills Development Programme (CSDP). ,DL1 9HN
HMRC,HMRC,01/05/2014,Research (VAT rec),Knowledge Analysis & Intelligence,PRICEWATERHOUSECOOPERS LLP,5100007772,"£148,800.00",Survey of large businesses’ experience of HMRC’s service provision,WC2N 6RH
HMRC,HMRC,01/05/2014,Forensic Services,Criminal Investigations,CCL FORENSICS LTD,5100007799,"£37,650.50",Forensic services,CV37 6NW
HMRC,HMRC,01/05/2014,Legal Service Sol's,Solicitors Office,HOWES PERCIVAL SOLICITORS,5100007825,"£35,550.62",Costs incurred by Solicitors working on behalf of HMRC,NR3 1DD
HMRC,HMRC,01/05/2014,Legal Service Sol's,Solicitors Office,HOWES PERCIVAL SOLICITORS,5100007825,"£1,514.00",Costs incurred by Solicitors working on behalf of HMRC,NR3 1DD
HMRC,HMRC,01/05/2014,Legal Service Sol's,Solicitors Office,HOWES PERCIVAL SOLICITORS,5100007825,£73.30,Costs incurred by Solicitors working on behalf of HMRC,NR3 1DD
HMRC,HMRC,01/05/2014,Document destruction,Estates & Support Services,BANNER BUSINESS SERVICES LTD,5100007826,"£56,857.69",Monthly charge for secure destruction of confidentially marked waste,NR3 1PD
HMRC,HMRC,01/05/2014,Document destruction,Estates & Support Services,BANNER BUSINESS SERVICES LTD,5100007826,"£9,255.90",Monthly charge for secure destruction of confidentially marked waste,NR3 1PD
HMRC,HMRC,01/05/2014,Debt coll serv (DEL),Debt Management & Banking,ROSSENDALES LTD,5100007841,"£69,055.07",Debt Collection Services,BB4 4NB
