Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract,Project Code,Expenditure
HMRC,HMRC,01/10/2013,Mail/pickup del(VAT),Commercial Directorate,DWP,5100050989,"£84,853.96",Payment for joint mailing with DWP,CF14 3UW,,,,
HMRC,HMRC,02/10/2013,Mgmt consultancy,S&ID,CESG,5100051168,"£42,000.00",Security surveys and subsequent reports conducted by CESG as part of our HMRC security review programme,GL51 0EX,,,,
HMRC,HMRC,02/10/2013,OGD costs,Estates & Support Services,HM LAND REGISTRY,5100051173,"£58,024.00",Monthly invoice charge for the properties HMRC occupy on the HM Land Registry,CR0 2AQ,,,,
HMRC,HMRC,02/10/2013,OGD costs,Estates & Support Services,HM LAND REGISTRY,5100051173,"£8,747.00",Monthly invoice charge for the properties HMRC occupy on the HM Land Registry,CR0 2AQ,,,,
HMRC,HMRC,02/10/2013,IT consultancy,PT Change,EQUAL EXPERTS,5100051179,"£157,365.00",Web Deveopers in Dorset House,WC1H 9BB,,,,
HMRC,HMRC,03/10/2013,OGD costs,Estates & Support Services,DWP,5100051245,"£125,362.16",Monthly invoice charge for the properties HMRC occupy on the Department of Work and Pensions estate,CF14 3UW,,,,
HMRC,HMRC,03/10/2013,OGD costs,Estates & Support Services,DWP,5100051247,"£35,750.91",Monthly invoice charge for the properties HMRC occupy on the Department of Work and Pensions estate,CF14 3UW,,,,
HMRC,HMRC,03/10/2013,Rent,Estates & Support Services,L & R MANCHESTER,5100051248,"£101,102.47",Monthly rent payment payable to the Landlord,W1U 8EW,,,,
HMRC,HMRC,03/10/2013,Rent,Estates & Support Services,L & R MANCHESTER,5100051248,"£28,516.08",Monthly rent payment payable to the Landlord,W1U 8EW,,,,
HMRC,HMRC,03/10/2013,Rent,Estates & Support Services,L & R MANCHESTER,5100051250,"£101,102.47",Monthly rent payment payable to the Landlord,W1U 8EW,,,,
HMRC,HMRC,03/10/2013,Rent,Estates & Support Services,L & R MANCHESTER,5100051250,"£28,516.08",Monthly rent payment payable to the Landlord,W1U 8EW,,,,
HMRC,HMRC,03/10/2013,Hardware maintenance,Information Management Services,CAPGEMINI UK PLC - PEOPLEPOINT,5100051257,"£900,459.16",Aspire September 13 Invoice charges for Contract payment August 13 for the Customs Handling Inward Export Freight systems including ASN and LUCAS,W1F 0UU,,,,
HMRC,HMRC,03/10/2013,Document destruction,Estates & Support Services,BANNER BUSINESS SERVICES LTD,5100051258,"£70,790.09",Monthly charge for secure destruction of confidentially marked waste,NR3 1PD,,,,
HMRC,HMRC,03/10/2013,Document destruction,Estates & Support Services,BANNER BUSINESS SERVICES LTD,5100051259,"£25,417.55",Monthly charge for secure destruction of confidentially marked waste,NR3 1PD,,,,
HMRC,HMRC,03/10/2013,Dilapidations,Estates & Support Services,VARDY PROPERTY GROUP LTD,5100051263,"£93,805.67",Dilapidations settlement between HMRC and the landord of Sotherby Road Stores.,DH1 5TS,,,,
HMRC,HMRC,03/10/2013,Gasoline or Petrol,Criminal Investigations,ALLSTAR BUSINESS SOLUTIONS LTD,5100051357,"£55,206.51",Fleet Management,SN5 6PE
HMRC,HMRC,03/10/2013,OGD costs,Estates & Support Services,DWP,5100051368,"£707,245.01",Monthly invoice charge for the properties HMRC occupy on the Department of Work and Pensions estate,CF14 3UW
HMRC,HMRC,03/10/2013,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100051389,"£1,021,539.97",Utility payment,SE1 0TA
HMRC,HMRC,03/10/2013,Water,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100051389,"£122,922.76",Utility payment,SE1 0TA
HMRC,HMRC,03/10/2013,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100051389,"£111,806.16",Utility payment,SE1 0TA
HMRC,HMRC,03/10/2013,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100051389,"£105,719.76",Utility payment,SE1 0TA
HMRC,HMRC,03/10/2013,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100051389,"£74,076.67",Utility payment,SE1 0TA
HMRC,HMRC,03/10/2013,Oil,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100051389,"£33,690.81",Utility payment,SE1 0TA
HMRC,HMRC,03/10/2013,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100051389,"£19,751.46",Utility payment,SE1 0TA
HMRC,HMRC,03/10/2013,Water,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100051389,"£16,450.80",Utility payment,SE1 0TA
HMRC,HMRC,03/10/2013,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100051389,"£5,036.20",Utility payment,SE1 0TA
HMRC,HMRC,03/10/2013,Oil,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100051389,"£1,269.40",Utility payment,SE1 0TA
HMRC,HMRC,03/10/2013,Oil,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100051389,£641.03,Utility payment,SE1 0TA
HMRC,HMRC,04/10/2013,Employee education,BT Change,CAPITA BUSINESS SERVICES LTD,5100051516,"£74,303.11",Finalised costings for the delivery of the Compliance Skills Development Programme (CSDP)of learning over 76 days at a variety of external venues over one and two day events to a total of 3760 delegates,DL1 9HN
HMRC,HMRC,04/10/2013,GovDept Serv(VAT Ex),Central Policy,CABINET OFFICE,5100051519,"£848,358.00",Finance Bill - Annual legislation drafting support,CF14 3UW
HMRC,HMRC,04/10/2013,Recruitment services,Solicitors Office,TMP (UK) LTD,5100051522,"£42,583.80",Government Legal Service Recuitment,W1T 7RQ
HMRC,HMRC,04/10/2013,Gov Gateway RFC,PT Director,DWP,5100051539,"£101,302.80",RTI Programme costs associated with changes to the Government Gateway.,CF14 3UW
