Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
HMRC,HMRC,01/04/2015,Faciltiy Mngmt Cost,Estates & Support Services,G4S INTEGRATED SERVICES (UK) LTD,5100000000,"28,387.73",Charges for accommodation provided under the G4S Private Finance Initiative contract in Glasgow,S81 7QF,,,,
HMRC,HMRC,01/04/2015,Faciltiy Mngmt Cost,Estates & Support Services,G4S INTEGRATED SERVICES (UK) LTD,5100000001,"30,267.19",Charges for accommodation provided under the G4S Private Finance Initiative contract in Edinburgh,S81 7QF,,,,
HMRC,HMRC,01/04/2015,Publication printing,Digital,WILLIAMS LEA LTD,5100000005,"39,255.32",Generic Stock,WF6 1TN,,,,
HMRC,HMRC,01/04/2015,Research conslt serv,Digital,JIGSAW RESEARCH LTD,5100000013,"65,400.00",Research undertaken to obtain a clearer view of HMRCs likely Assisted Digital and Digital Inclusion customer base and the barriers that may be preventing them from interacting digitally with us.,W1W 8RN,,,,
HMRC,HMRC,01/04/2015,Business Rates,Estates & Support Services,GRAVESHAM BOROUGH COUNCIL,5100094680,165.65,Business Rates,DA12 1AU,,,,
HMRC,HMRC,01/04/2015,Business Rates,Estates & Support Services,GRAVESHAM BOROUGH COUNCIL,5100094680,"41,246.35",Business Rates,DA12 1AU,,,,
HMRC,HMRC,01/04/2015,Business Rates,Estates & Support Services,PORTSMOUTH CITY COUNCIL,5100094681,"6,184.19",Business Rates,PO1 2BE,,,,
HMRC,HMRC,01/04/2015,Business Rates,Estates & Support Services,PORTSMOUTH CITY COUNCIL,5100094681,"42,129.81",Business Rates,PO1 2BE,,,,
HMRC,HMRC,01/04/2015,Business Rates,Estates & Support Services,LEICESTER CITY COUNCIL,5100094687,"4,880.70",Business Rates,LE1 6RN,,,,
HMRC,HMRC,01/04/2015,Business Rates,Estates & Support Services,LEICESTER CITY COUNCIL,5100094687,"266,269.30",Business Rates,LE1 6RN,,,,
HMRC,HMRC,01/04/2015,Business Rates,Estates & Support Services,MERTHYR TYDFIL BOROUGH COUNCIL,5100094693,601.54,Business Rates,CF47 8BG,,,,
HMRC,HMRC,01/04/2015,Business Rates,Estates & Support Services,MERTHYR TYDFIL BOROUGH COUNCIL,5100094693,"36,994.46",Business Rates,CF47 8BG,,,,
HMRC,HMRC,01/04/2015,Business Rates,Estates & Support Services,SHEFFIELD CITY COUNCIL,5100094694,"18,872.04",Business Rates,S1 1UJ,,,,
HMRC,HMRC,01/04/2015,Business Rates,Estates & Support Services,SHEFFIELD CITY COUNCIL,5100094694,"410,037.96",Business Rates,S1 1UJ,,,,
HMRC,HMRC,01/04/2015,Business Rates,Estates & Support Services,WATFORD COUNCIL,5100094695,"2,107.58",Business Rates,WD1 3EX,,,,
HMRC,HMRC,01/04/2015,Business Rates,Estates & Support Services,WATFORD COUNCIL,5100094695,"82,195.42",Business Rates,WD1 3EX,,,,
HMRC,HMRC,01/04/2015,Business Rates,Estates & Support Services,NORWICH CITY COUNCIL,5100094710,"16,121.10",Business Rates,NR2 1WJ,,,,
HMRC,HMRC,01/04/2015,Business Rates,Estates & Support Services,NORWICH CITY COUNCIL,5100094710,"118,221.40",Business Rates,NR2 1WJ,,,,
HMRC,HMRC,01/04/2015,Business Rates,Estates & Support Services,NORTH WARWICKSHIRE BOROUGH COUNCIL,5100094712,"50,286.00",Business Rates,CV9 1DE,,,,
HMRC,HMRC,01/04/2015,Business Rates,Estates & Support Services,BLACKPOOL BOROUGH COUNCIL,5100095010,"3,327.75",Business Rates,FY1 1NF,,,,
HMRC,HMRC,01/04/2015,Business Rates,Estates & Support Services,BLACKPOOL BOROUGH COUNCIL,5100095010,"33,647.25",Business Rates,FY1 1NF,,,,
HMRC,HMRC,01/04/2015,Business Rates,Estates & Support Services,MANCHESTER CITY COUNCIL,5100095014,"79,116.64",Business Rates,M60 2JR,,,,
HMRC,HMRC,01/04/2015,Business Rates,Estates & Support Services,MANCHESTER CITY COUNCIL,5100095014,"502,623.36",Business Rates,M60 2JR,,,,
HMRC,HMRC,01/04/2015,Business Rates,Estates & Support Services,PORTSMOUTH CITY COUNCIL,5100095016,"34,707.20",Business Rates,PO1 2BE,,,,
HMRC,HMRC,01/04/2015,Business Rates,Estates & Support Services,PORTSMOUTH CITY COUNCIL,5100095016,"236,442.80",Business Rates,PO1 2BE,,,,
HMRC,HMRC,01/04/2015,Business Rates,Estates & Support Services,PORTSMOUTH CITY COUNCIL,5100095017,"26,503.68",Business Rates,PO1 2BE,,,,
HMRC,HMRC,01/04/2015,Business Rates,Estates & Support Services,PORTSMOUTH CITY COUNCIL,5100095017,"180,556.32",Business Rates,PO1 2BE,,,,
HMRC,HMRC,01/04/2015,Business Rates,Estates & Support Services,COVENTRY CITY COUNCIL,5100095018,"1,981.86",Business Rates,CV1 5RQ,,,,
HMRC,HMRC,01/04/2015,Business Rates,Estates & Support Services,COVENTRY CITY COUNCIL,5100095018,"328,328.14",Business Rates,CV1 5RQ,,,,
HMRC,HMRC,01/04/2015,Business Rates,Estates & Support Services,NOTTINGHAM CITY COUNCIL,5100095026,"18,190.22",Business Rates,NG1 4XX,,,,
HMRC,HMRC,01/04/2015,Business Rates,Estates & Support Services,NOTTINGHAM CITY COUNCIL,5100095026,"54,280.78",Business Rates,NG1 4XX,,,,
HMRC,HMRC,01/04/2015,Business Rates,Estates & Support Services,COLCHESTER BOROUGH COUNCIL,5100095028,851.41,Business Rates,CO1 1FP,,,,
HMRC,HMRC,01/04/2015,Business Rates,Estates & Support Services,COLCHESTER BOROUGH COUNCIL,5100095028,"76,549.59",Business Rates,CO1 1FP,,,,
HMRC,HMRC,01/04/2015,Business Rates,Estates & Support Services,LUTON BOROUGH COUNCIL,5100095030,948.53,Business Rates,LU1 1DX,,,,
HMRC,HMRC,01/04/2015,Business Rates,Estates & Support Services,LUTON BOROUGH COUNCIL,5100095030,"72,015.47",Business Rates,LU1 1DX,,,,
HMRC,HMRC,01/04/2015,Business Rates,Estates & Support Services,KINGS LYNN & W NORFOLK BC,5100095031,"1,247.29",Business Rates,PE30 1PX,,,,
