Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,,
HMRC,HMRC,01/12/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100069138,"£359,628.98",Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,,
HMRC,HMRC,01/12/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100069141,"£171,586.18",Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,,
HMRC,HMRC,01/12/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100069146,"-£162,587.15",Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,,
HMRC,HMRC,01/12/2015,Mail and Fulfilment,PT Customer Product & Process,WILLIAMS LEA LTD,5100069222,"£37,260.00",Williams Lea is HMRC's Print Vendor Partner,WF6 1TN,,,,,,
HMRC,HMRC,01/12/2015,Research (VAT rec),PT Customer Product & Process,IPSOS MORI UK LTD,5100069250,"£29,052.00",IR35 Qual Research,SE1 1PY,,,,,,
HMRC,HMRC,01/12/2015,Forensic Services,Criminal Investigations,DELOITTE MCS LTD,5100069292,"£26,490.30",Forensic Services,MK9 1FD,,,,,,
HMRC,HMRC,01/12/2015,Research (VAT rec),Knowledge Analysis & Intelligence,IFF RESEARCH LTD,5100069295,"£52,056.00",Research assessing  customers’ levels of understanding of the tax credits system.,N1 6DD,,,,,,
HMRC,HMRC,01/12/2015,Proprietry sys maint,Information Management Services,DWP,5100069405,"£103,600.00",Government Gateway - fixed charges for RTI (Oct 15),CF14 3UW,,,,,,
HMRC,HMRC,01/12/2015,Proprietry sys maint,Information Management Services,DWP,5100069406,"£71,340.49",Government Gateway - variable charges for PIN Activation (Oct 15),CF14 3UW,,,,,,
HMRC,HMRC,01/12/2015,Audioconf systems,Information Management Services,ANCORIS LTD,5100069412,"£284,081.94",ChromeBoxes for the Google Project,RG12 2SJ,,,,,,
HMRC,HMRC,01/12/2015,Data Purchases,Risk & Intelligence,HOME OFFICE SHARED SERVICE CENTRE (,5100069445,"£95,769.12",Data Purchases,NP20 9BB,,,,,,
HMRC,HMRC,01/12/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100069537,£583.60,Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,,
HMRC,HMRC,01/12/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100069537,"£30,907.66",Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,,
HMRC,HMRC,02/12/2015,Desks,Estates & Support Services,SENATOR INTERNATIONAL LTD,5100069589,"£5,955.84",Purchase of furniture to fit out new office space within Telford Plaza Telford.,BB5 5YE,,,,,,
HMRC,HMRC,02/12/2015,Desks,Estates & Support Services,SENATOR INTERNATIONAL LTD,5100069589,"£25,421.76",Purchase of furniture to fit out new office space within Telford Plaza Telford.,BB5 5YE,,,,,,
HMRC,HMRC,02/12/2015,Desks,Estates & Support Services,SENATOR INTERNATIONAL LTD,5100069597,"£76,782.14",Purchase of furniture to fit out new office space within Telford Plaza Telford.,BB5 5YE,,,,,,
HMRC,HMRC,02/12/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100069617,"£1,154.27",Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,,
HMRC,HMRC,02/12/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100069617,"£28,023.78",Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,,
HMRC,HMRC,02/12/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100069617,"£33,122.40",Set up charges for replacement Contact Centre Service,HU1 3RE,,,,,,
HMRC,HMRC,02/12/2015,Research (VAT rec),Knowledge Analysis & Intelligence,IPSOS MORI UK LTD,5100069630,"£30,000.00",Research assessing customers attitudes to and levels of understandting of the tax credits system,SE1 1PY,,,,,,
HMRC,HMRC,02/12/2015,Security printing,Indirect Tax Directorate,WILLIAMS LEA LTD,5100069733,"£36,860.30",Provide support for the UK Duty Stamps Scheme,WF6 1TN,,,,,,
HMRC,HMRC,02/12/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100069757,£262.14,KCOM setup charges for replacement Contact Centre Service,HU1 3RE,,,,,,
HMRC,HMRC,02/12/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100069757,"£8,026.64",KCOM setup charges for replacement Contact Centre Service,HU1 3RE,,,,,,
HMRC,HMRC,02/12/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100069757,"£19,760.52",KCOM setup charges for replacement Contact Centre Service,HU1 3RE,,,,,,
HMRC,HMRC,02/12/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100069759,"£1,034.60",KCOM setup charges for replacement Contact Centre Service,HU1 3RE,,,,,,
HMRC,HMRC,02/12/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100069759,"£11,959.68",KCOM setup charges for replacement Contact Centre Service,HU1 3RE,,,,,,
