Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
HMRC,HMRC,02/02/2015,Employee education,HR,CAPITA BUSINESS SERVICES LTD,5100081078,"28,975.64",CSL NVQ Level 3 learning provision for apprenticeship framework   ,DL1 9HN,,,,
HMRC,HMRC,02/02/2015,Subscriptions to Publications,Large Business Service,WOOD MACKENZIE LTD,5100081101,"30,232.80","Renewal of subscription to Wood Mackenzie Upstream Service. This is an Internet based service that provides an in-depth analysis of oil exploration development production and transportation within the UK Continental Shelf. Extensive Reports are available for download in Word Excel and pdf formats. 

The cost is considerably less than the alternative of having several full time staff to collate and interpret a wide range of production data press releases and financial information.",EH3 8BL,,,,
HMRC,HMRC,02/02/2015,Dept forms Stock,PT Customer Product & Process,WILLIAMS LEA LTD,5100081187,"36,480.00",Print Services - PAYE P60 Print Run,WF6 1TN,,,,
HMRC,HMRC,02/02/2015,Debt coll serv (DEL),Debt Management & Banking,TDX GROUP LTD,5100081058,"145,161.77",Debt Collection Services,NG1 5FS,,,,
HMRC,HMRC,03/02/2015,Debt coll serv (DEL),Debt Management & Banking,FREDRICKSON INTERNATIONAL LTD,5100081727,"29,140.82",Debt Collection Services,KT13 0NT,,,,
HMRC,HMRC,03/02/2015,Debt coll serv (DEL),Debt Management & Banking,FREDRICKSON INTERNATIONAL LTD,5100081734,"42,232.46",Debt Collection Services,KT13 0NT,,,,
HMRC,HMRC,03/02/2015,Research (VAT rec),Knowledge Analysis & Intelligence,IPSOS MORI UK LTD,5100081642,"70,998.00",Understanding the main factors behind unlisted companies’ decisions to distribute or reinvest income growth,SE1 1PY,,,,
HMRC,HMRC,03/02/2015,Debt coll serv (DEL),Debt Management & Banking,FREDRICKSON INTERNATIONAL LTD,5100081736,"96,119.58",Debt Collection Services,KT13 0NT,,,,
HMRC,HMRC,03/02/2015,Samplng & Analytical,Specialist Investigations (SI),LGC LTD,5100081676,"150,150.00",Sampling & Analysis for Oils teams,TW11 0LY,,,,
HMRC,HMRC,04/02/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100081990,384.48,Set up charges for replacement Contact Centre Service,HU1 3RE,,,,
HMRC,HMRC,04/02/2015,Oil,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100081972,642.29,Utility payment,WD17 1HN,,,,
HMRC,HMRC,04/02/2015,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100081972,923.92,Utility payment,WD17 1HN,,,,
HMRC,HMRC,04/02/2015,Oil,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100081972,"1,088.01",Utility payment,WD17 1HN,,,,
HMRC,HMRC,04/02/2015,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100081972,"2,394.05",Utility payment,WD17 1HN,,,,
HMRC,HMRC,04/02/2015,Water,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100081972,"12,030.87",Utility payment,WD17 1HN,,,,
HMRC,HMRC,04/02/2015,Project Development,Information Management Services,ASE CONSULTING LTD,5100081911,"25,200.00",Charges for IT Specialists,FY85ER,,,,
HMRC,HMRC,04/02/2015,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100081972,"37,072.73",Utility payment,WD17 1HN,,,,
HMRC,HMRC,04/02/2015,Telephone Support,Information Management Services,KCOM GROUP PLC,5100081990,"40,754.50",Set up charges for replacement Contact Centre Service,HU1 3RE,,,,
HMRC,HMRC,04/02/2015,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100081972,"66,823.33",Utility payment,WD17 1HN,,,,
HMRC,HMRC,04/02/2015,Oil,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100081972,"93,248.67",Utility payment,WD17 1HN,,,,
HMRC,HMRC,04/02/2015,Water,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100081972,"134,225.13",Utility payment,WD17 1HN,,,,
