Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
HMRC,HMRC,01/02/2016,Management Agreement,Information Management Services,RCDTS Ltd,1900410367,"2,284,091.87",Dec RCDTS Managed Service Charge,SW1A 2BQ,,,,
HMRC,HMRC,01/02/2016,Telephone Support,Information Management Services,KCOM GROUP PLC,5100083688,552.25,Set up charges for replacement Contact Centre Service,HU1 3RE,,,,
HMRC,HMRC,01/02/2016,Telephone Support,Information Management Services,KCOM GROUP PLC,5100083688,"29,254.77",Set up charges for replacement Contact Centre Service,HU1 3RE,,,,
HMRC,HMRC,01/02/2016,Diesel fuel,Criminal Investigations,ALLSTAR BUSINESS SOLUTIONS LTD,5100083772,"31,815.28",Vehicle Fleet Services,SN5 6PS,,,,
HMRC,HMRC,01/02/2016,Grant in Aid Funding,PT Customer Product & Process,ROYAL NATIONAL INST OF BLIND PEOPLE,5100083895,"37,500.00",Grant in Aid,WC1 9NE,,,,
HMRC,HMRC,01/02/2016,Dept books Non Stock,Tax Professionalism & Assurance,WILLIAMS LEA LTD,5100083899,"31,706.48",Printing material for Tax Professional Learning Courses,WF6 1TN,,,,
HMRC,HMRC,01/02/2016,Telephone Support,Information Management Services,KCOM GROUP PLC,5100083917,629.3,Set up charges for replacement Contact Centre Service,HU1 3RE,,,,
HMRC,HMRC,01/02/2016,Telephone Support,Information Management Services,KCOM GROUP PLC,5100083917,"38,139.68",Set up charges for replacement Contact Centre Service,HU1 3RE,,,,
HMRC,HMRC,01/02/2016,Govt dept services,S&ID,Ministry of Defence,5100085050,"31,128.68",Consultation - Vetting services for NOV15,L2 3YL,,,,
HMRC,HMRC,01/02/2016,Grant in Aid Funding,PT Customer Product & Process,CITIZENS ADVICE BUREAU,5100085053,"43,311.00",Grant in Aid,EC1A 4HD,,,,
HMRC,HMRC,01/02/2016,GovDept Serv(VAT Ex),Risk & Intelligence,FOREIGN AND COMMONWEALTH OFFICE,5100085175,"101,121.76",Costs for officers stationed abroad,MK10 1PX,,,,
