Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
HMRC,HMRC,04/01/2016,Training Costs,HMRC,CAPITA BUSINESS SERVICES LTD,1900375870,103211.01,Employee Training,DL1 9HN,,,,
HMRC,HMRC,04/01/2016,Training Costs,HMRC,CAPITA BUSINESS SERVICES LTD,1900375871,213901.65,Employee Training,DL1 9HN,,,,
HMRC,HMRC,04/01/2016,Employee education,Knowledge Analysis & Intelligence,EML LEARNING LTD,5100077050,35805.6,Provide specialist training for HMRC Economists,SG5 2DJ,,,,
HMRC,HMRC,04/01/2016,Court Fees,Debt Management & Banking,THE INSOLVENCY SERVICE,5100077052,99200,Court Fees,B4 6FD,,,,
HMRC,HMRC,04/01/2016,Legal Service Sol's,Solicitors Office,OPUS 2 INTERNATIONAL LTD,5100077054,44283.96,Document Management Services,EC4A 1BR,,,,
HMRC,HMRC,04/01/2016,Proprietry sys maint,Information Management Services,DWP,5100077078,67665.12,Government Gateway - fixed charges for PIN Activation (Nov 15),FY5 3TA,,,,
HMRC,HMRC,04/01/2016,Proprietry sys maint,Information Management Services,DWP,5100077080,103600,Government Gateway - fixed charges for RTI (Dec 15),FY5 3TA,,,,
HMRC,HMRC,04/01/2016,Legal Service Sol's,Solicitors Office,HOWES PERCIVAL SOLICITORS,5100077081,"67,811.79",Costs incurred by Solicitors working on behalf of HMRC,NR3 1DD,,,,
HMRC,HMRC,04/01/2016,P01 Asset Creation,Information Management Services,EQUAL EXPERTS UK LTD,5100077083,26970,Case Management development contractor costs for delivery team scrum master resource.,WC1H 9BB,,,,
HMRC,HMRC,04/01/2016,Min AW non-struc VAT,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100077562,67244.28,Essential works at Alexander House Southend,WD17 1HN,,,,
HMRC,HMRC,04/01/2016,Storage (non enfmnt),Estates & Support Services,DERWENT FACILITIES MANAGEMENT LTD,5100077564,25342.4,Monthy charge for facilities management,HG3 1UF,,,,
HMRC,HMRC,04/01/2016,Storage (non enfmnt),Estates & Support Services,DERWENT FACILITIES MANAGEMENT LTD,5100077564,28577.61,Monthy charge for facilities management,HG3 1UF,,,,
HMRC,HMRC,05/01/2016,IT Config Services,Information Management Services,EDM GROUP LTD,5100076821,49255.99,EDM Invoice in relation to Scanning and Storage space,EC4N 1SP,,,,
HMRC,HMRC,05/01/2016,Nat Pst Del Ser(VAT),PT Director,DWP,5100077596,75874.16,These are postal charges following the Ex-com decision to move all HMRC Output Management costs into PT Director . ,FY5 3TA,,,,
HMRC,HMRC,05/01/2016,Proprietry sys maint,Information Management Services,DWP,5100077614,141277.54,Charges for Live running testing support maintenance or changes to the child benefit computer system. ,FY5 3TA,,,,
HMRC,HMRC,05/01/2016,Proprietry sys maint,Information Management Services,DWP,5100077616,203870.14,Charges for Live running testing support maintenance or changes to the child benefit computer system. ,FY5 3TA,,,,
