Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
HMRC,HMRC,01/06/2015,Chairs,Estates & Support Services,GRESHAM OFFICE FURNITURE LTD,1900073729,"46,080.00",This is an VAT only invoice for original invoice 755434COMB as the original was process without the VAT element,BL6 4SA,,,,
HMRC,HMRC,01/06/2015,Software coding,Information Management Services,ASE CONSULTING LTD,5100014194,25080,Charges for IT Specialists,FY85ER,,,,
HMRC,HMRC,02/06/2015,Training Costs,HMRC,CAPITA BUSINESS SERVICES LTD,1900080226,"55,320.03",Employee Training,DL1 9HN,,,,
HMRC,HMRC,02/06/2015,Disposal Seized Gds,Specialist Investigations (SI),ENVA NORTHERN IRELAND LTD,5100014272,"40,761.85",Sampling & Analytical Services,BT24 8LS,,,,
HMRC,HMRC,02/06/2015,Legal Info Services,Information Management Services,DLA,5100014376,43333.08,Charges for Legal Specialists,EC2V 7EE,,,,
HMRC,HMRC,02/06/2015,Dept forms Non Stock,Solicitors Office,WILLIAMS LEA LTD,5100014401,"31,832.18",Printing services connected to a legal case,WF6 1TN,,,,
HMRC,HMRC,02/06/2015,Cross Government Ser,HR,CABINET OFFICE,5100014416,"53,922.00",HMRC contribution to staff costs in the Civil Service HR Capability and Talent Team,CF14 3UW,,,,
HMRC,HMRC,02/06/2015,Cross Government Ser,PT Change,DEPARTMENT FOR WORK & PENSIONS,5100014471,69208.65,"Class 2 Reform project - invoiced for DWP staff funded through PDP.
This will be on a quarterly basis expected to continue for approximately 2 years",FY5 3TA,,,,
HMRC,HMRC,02/06/2015,Bank Charges PO Card,Corporate Finance,POST OFFICE LTD,5100014559,"922,807.90",Monthly bank charges for tax credits and Child Benefit payments by Post Office card account (POca).,PE4 5PG,,,,
HMRC,HMRC,02/06/2015,Faciltiy Mngmt Cost,Estates & Support Services,G4S INTEGRATED SERVICES (UK) LTD,5100014639,"1,331.82",Charges for accommodation provided under the G4S Private Finance Initiative contract in Edinburgh,S81 7QF,,,,
HMRC,HMRC,02/06/2015,Faciltiy Mngmt Cost,Estates & Support Services,G4S INTEGRATED SERVICES (UK) LTD,5100014639,"25,304.48",Charges for accommodation provided under the G4S Private Finance Initiative contract in Edinburgh,S81 7QF,,,,
HMRC,HMRC,02/06/2015,Faciltiy Mngmt Cost,Estates & Support Services,G4S INTEGRATED SERVICES (UK) LTD,5100014643,"3,160.66",This invoice is a monthly charge for facilities management at Trinity Bridge under the G4S Facilities Management Contract.,S81 7QF,,,,
HMRC,HMRC,02/06/2015,Faciltiy Mngmt Cost,Estates & Support Services,G4S INTEGRATED SERVICES (UK) LTD,5100014643,"75,855.74",This invoice is a monthly charge for facilities management at Trinity Bridge under the G4S Facilities Management Contract.,S81 7QF,,,,
HMRC,HMRC,02/06/2015,Faciltiy Mngmt Cost,Estates & Support Services,G4S INTEGRATED SERVICES (UK) LTD,5100014645,595.56,Charges for accommodation provided under the G4S Private Finance Initiative contract in Glasgow,S81 7QF,,,,
HMRC,HMRC,02/06/2015,Faciltiy Mngmt Cost,Estates & Support Services,G4S INTEGRATED SERVICES (UK) LTD,5100014645,"29,182.14",Charges for accommodation provided under the G4S Private Finance Initiative contract in Glasgow,S81 7QF,,,,
HMRC,HMRC,02/06/2015,Data Purchases,Risk & Intelligence,HOME OFFICE SHARED SERVICE CENTRE (,5100014646,192636.68,Data Purchases,NP20 9BB,,,,
HMRC,HMRC,02/06/2015,Oil,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100014661,102.73,Utility payment,WD17 1HN,,,,
HMRC,HMRC,02/06/2015,Water,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100014661,143.77,Utility payment,WD17 1HN,,,,
HMRC,HMRC,02/06/2015,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100014661,165.5,Utility payment,WD17 1HN,,,,
HMRC,HMRC,02/06/2015,Oil,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100014661,182.73,Utility payment,WD17 1HN,,,,
HMRC,HMRC,02/06/2015,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100014661,216.74,Utility payment,WD17 1HN,,,,
HMRC,HMRC,02/06/2015,Oil,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100014661,539.38,Utility payment,WD17 1HN,,,,
HMRC,HMRC,02/06/2015,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100014661,590.03,Utility payment,WD17 1HN,,,,
HMRC,HMRC,02/06/2015,Water,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100014661,754.79,Utility payment,WD17 1HN,,,,
HMRC,HMRC,02/06/2015,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100014661,868.86,Utility payment,WD17 1HN,,,,
HMRC,HMRC,02/06/2015,Oil,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100014661,959.36,Utility payment,WD17 1HN,,,,
HMRC,HMRC,02/06/2015,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100014661,"1,137.86",Utility payment,WD17 1HN,,,,
HMRC,HMRC,02/06/2015,Water,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100014661,"2,117.34",Utility payment,WD17 1HN,,,,
HMRC,HMRC,02/06/2015,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100014661,"3,097.66",Utility payment,WD17 1HN,,,,
HMRC,HMRC,02/06/2015,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100014661,"7,529.27",Utility payment,WD17 1HN,,,,
HMRC,HMRC,02/06/2015,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100014661,"7,595.81",Utility payment,WD17 1HN,,,,
HMRC,HMRC,02/06/2015,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100014661,"8,479.17",Utility payment,WD17 1HN,,,,
HMRC,HMRC,02/06/2015,Water,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100014661,"11,116.05",Utility payment,WD17 1HN,,,,
HMRC,HMRC,02/06/2015,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100014661,"11,402.60",Utility payment,WD17 1HN,,,,
HMRC,HMRC,02/06/2015,Oil,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100014661,"12,370.56",Utility payment,WD17 1HN,,,,
HMRC,HMRC,02/06/2015,Water,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100014661,"32,411.93",Utility payment,WD17 1HN,,,,
HMRC,HMRC,02/06/2015,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100014661,"39,528.63",Utility payment,WD17 1HN,,,,
HMRC,HMRC,02/06/2015,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100014661,"39,878.04",Utility payment,WD17 1HN,,,,
HMRC,HMRC,02/06/2015,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100014661,"44,515.61",Utility payment,WD17 1HN,,,,
HMRC,HMRC,02/06/2015,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100014661,"59,863.69",Utility payment,WD17 1HN,,,,
HMRC,HMRC,02/06/2015,Oil,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100014661,"64,945.48",Utility payment,WD17 1HN,,,,
HMRC,HMRC,02/06/2015,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100014661,"121,858.88",Utility payment,WD17 1HN,,,,
HMRC,HMRC,02/06/2015,Water,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100014661,"170,162.65",Utility payment,WD17 1HN,,,,
