Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
HMRC,HMRC,02/03/2015,Document destruction,Estates & Support Services,BANNER BUSINESS SERVICES LTD,5100088636,"6,817.34",Monthly charge for secure destruction of confidentially marked waste,NR3 1PD,,,,
HMRC,HMRC,02/03/2015,Document destruction,Estates & Support Services,BANNER BUSINESS SERVICES LTD,5100088636,"41,877.99",Monthly charge for secure destruction of confidentially marked waste,NR3 1PD,,,,
HMRC,HMRC,02/03/2015,Document destruction,Estates & Support Services,BANNER BUSINESS SERVICES LTD,5100088644,"7,122.14",Monthly charge for secure destruction of confidentially marked waste,NR3 1PD,,,,
HMRC,HMRC,02/03/2015,Document destruction,Estates & Support Services,BANNER BUSINESS SERVICES LTD,5100088644,"43,750.30",Monthly charge for secure destruction of confidentially marked waste,NR3 1PD,,,,
HMRC,HMRC,02/03/2015,Diesel fuel,Criminal Investigations,ALLSTAR BUSINESS SOLUTIONS LTD,5100089552,"55,006.85",Vehicle Fleet Services,SN5 6PS,,,,
HMRC,HMRC,02/03/2015,IT consultancy,Information Management Services,ASE CONSULTING LTD,5100089636,"28,098.28",Charges for IT Specialists,FY85ER,,,,
HMRC,HMRC,02/03/2015,Software coding,Information Management Services,ASE CONSULTING LTD,5100089641,"28,800.00",Charges for IT Specialists,FY85ER,,,,
HMRC,HMRC,02/03/2015,GovDept Serv(VAT Ex),Risk & Intelligence,FOREIGN AND COMMONWEALTH OFFICE,5100089663,"74,403.26",Costs for officers stationed abroad,MK10 1PX,,,,
HMRC,HMRC,03/03/2015,Dept forms Stock,Information Management Services,WILLIAMS LEA LTD,5100089695,"30,147.74",Generic Stock,WF6 1TN,,,,
HMRC,HMRC,03/03/2015,Legal Service Sol's,Solicitors Office,THE SCOTLAND OFFICE,5100090100,"72,247.58",Costs incurred by OSAG (Office for the Solicitor to the Advocate General) for HMRC cases.,EH3 7HW,,,,
HMRC,HMRC,03/03/2015,Copyright Licence,S&ID,CABINET OFFICE,5100090101,"88,660.80",Annual Government Copyright Licence recharge from the Cabinet Office,CF14 3UW,,,,
HMRC,HMRC,03/03/2015,Legal Serv's Agencys,Benefits & Credits Delivery,TSOL,5100090124,"56,679.72",Solicitors costs linked with HMT's Procurement Challenge for TFC,WC2B 4TS,,,,
HMRC,HMRC,03/03/2015,Research (VAT rec),Knowledge Analysis & Intelligence,TNS - BMRB,5100090126,"96,691.20",A survey of customers’ experience of dealing with HMRC,W5 1UA,,,,
HMRC,HMRC,03/03/2015,Desks,Estates & Support Services,SENATOR INTERNATIONAL LTD,5100090148,"2,195.42",This  relates to the purchase of furniture for the Digital Delivery Centre in Benton Park View Newcastle.,BB5 5YE,,,,
HMRC,HMRC,03/03/2015,Desks,Estates & Support Services,SENATOR INTERNATIONAL LTD,5100090148,"3,525.98",This  relates to the purchase of furniture for the Digital Delivery Centre in Benton Park View Newcastle.,BB5 5YE,,,,
HMRC,HMRC,03/03/2015,Desks,Estates & Support Services,SENATOR INTERNATIONAL LTD,5100090148,"3,659.04",This  relates to the purchase of furniture for the Digital Delivery Centre in Benton Park View Newcastle.,BB5 5YE,,,,
HMRC,HMRC,03/03/2015,Desks,Estates & Support Services,SENATOR INTERNATIONAL LTD,5100090148,"28,638.72",This  relates to the purchase of furniture for the Digital Delivery Centre in Benton Park View Newcastle.,BB5 5YE,,,,
HMRC,HMRC,03/03/2015,Desks,Estates & Support Services,SENATOR INTERNATIONAL LTD,5100090148,"35,343.79",This  relates to the purchase of furniture for the Digital Delivery Centre in Benton Park View Newcastle.,BB5 5YE,,,,
HMRC,HMRC,04/03/2015,Marketing Promotion,Corporate Communications,CARAT,5100090333,409.02,Self Assessment 2014 Out of Home media,NW1 3BF,,,,
HMRC,HMRC,04/03/2015,Marketing Promotion,Corporate Communications,CARAT,5100090333,"467,559.06",Self Assessment 2014 Out of Home media,NW1 3BF,,,,
HMRC,HMRC,04/03/2015,OGD costs,Estates & Support Services,DWP,5100090403,"615,765.66",Charges for occupation under MOTO arrangement. ,CF14 3UW,,,,
HMRC,HMRC,04/03/2015,Software coding,Information Management Services,ZUHLKE ENGINEERING LTD,5100090413,"126,483.00",Digital development contractor costs ,EC2R 6AY,,,,
HMRC,HMRC,04/03/2015,OGD costs,Estates & Support Services,DWP,5100090415,"35,860.79",Charges for occupation under MOTO arrangement. ,CF14 3UW,,,,
HMRC,HMRC,04/03/2015,Rent,Estates & Support Services,BERKLEY ESTATES LONDON LTD,5100090417,935.5,Monthly rent payment payable to the Landlord,W1U 1QY,,,,
HMRC,HMRC,04/03/2015,Rent,Estates & Support Services,BERKLEY ESTATES LONDON LTD,5100090417,"132,707.00",Monthly rent payment payable to the Landlord,W1U 1QY,,,,
HMRC,HMRC,04/03/2015,Rent,Estates & Support Services,CLSH MANAGEMENT LTD,5100090418,"1,655.38",Monthly rent payment payable to the Landlord,SW8 1SF,,,,
HMRC,HMRC,04/03/2015,Rent,Estates & Support Services,CLSH MANAGEMENT LTD,5100090418,"234,826.52",Monthly rent payment payable to the Landlord,SW8 1SF,,,,
HMRC,HMRC,04/03/2015,Oil,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100090450,642.17,Utility payment,WD17 1HN,,,,
HMRC,HMRC,04/03/2015,Oil,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100090450,"1,027.12",Utility payment,WD17 1HN,,,,
HMRC,HMRC,04/03/2015,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100090450,"3,838.99",Utility payment,WD17 1HN,,,,
HMRC,HMRC,04/03/2015,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100090450,"4,004.84",Utility payment,WD17 1HN,,,,
HMRC,HMRC,04/03/2015,Water,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100090450,"13,162.28",Utility payment,WD17 1HN,,,,
HMRC,HMRC,04/03/2015,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100090450,"46,476.79",Utility payment,WD17 1HN,,,,
HMRC,HMRC,04/03/2015,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100090450,"71,648.58",Utility payment,WD17 1HN,,,,
HMRC,HMRC,04/03/2015,Oil,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100090450,"79,522.10",Utility payment,WD17 1HN,,,,
HMRC,HMRC,04/03/2015,Water,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100090450,"162,414.39",Utility payment,WD17 1HN,,,,
HMRC,HMRC,04/03/2015,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100090450,"395,271.73",Utility payment,WD17 1HN,,,,
HMRC,HMRC,04/03/2015,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100090450,"1,415,984.75",Utility payment,WD17 1HN,,,,
HMRC,HMRC,05/03/2015,STEPS FUP VAT recvbl,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,1700026720,"-52,445.88",Credit rec'd from HMRC's PFI service provider.,WD17 1HN,,,,
HMRC,HMRC,05/03/2015,STEPS FUP VAT recvbl,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,1700026720,"-1,099.48",Credit rec'd from HMRC's PFI service provider.,WD17 1HN,,,,
HMRC,HMRC,05/03/2015,Min AW non-struc VAT,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100086189,"29,022.86",Essential works carried out at IRO Durrington Worthing,WD17 1HN,,,,
HMRC,HMRC,05/03/2015,Rent,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100090424,"146,466.66",Monthly rent payment payable to the Landlord,WD17 1HN,,,,
HMRC,HMRC,05/03/2015,Rent,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100090425,"305,821.50",Monthly rent payment payable to the Landlord,WD17 1HN,,,,
HMRC,HMRC,05/03/2015,Landlord Charges,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100090428,42.74,Standard Landlord Service Charge payable to the Landlord,WD17 1HN,,,,
HMRC,HMRC,05/03/2015,Landlord Charges,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100090428,829.67,Standard Landlord Service Charge payable to the Landlord,WD17 1HN,,,,
HMRC,HMRC,05/03/2015,Rent,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100090428,"5,880.00",Monthly rent payment payable to the Landlord,WD17 1HN,,,,
HMRC,HMRC,05/03/2015,Rent,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100090428,"114,120.00",Monthly rent payment payable to the Landlord,WD17 1HN,,,,
HMRC,HMRC,05/03/2015,Research (VAT rec),Knowledge Analysis & Intelligence,IFF RESEARCH LTD,5100090487,"34,230.00",Research to develop a survey of customers' experience of HMRC,N1 6DD,,,,
HMRC,HMRC,05/03/2015,Desktop computers,Information Management Services,GOVERNMENT COMMUNICATIONS,5100090495,"89,354.40",Government Communications Charge for CSCC,GL51 0EX,,,,
HMRC,HMRC,05/03/2015,Network Voice Serv,Information Management Services,Vodafone Limited,5100090515,"59,996.10",Vodafone Feb-15 invoice charges for Communication Services,RG14 5FF,,,,
HMRC,HMRC,05/03/2015,Diesel fuel,Criminal Investigations,ALLSTAR BUSINESS SOLUTIONS LTD,5100090578,"46,258.80",Vehicle Fleet Services,SN5 6PS,,,,
HMRC,HMRC,05/03/2015,Proprietry sys maint,Information Management Services,DWP,5100090625,"103,600.00",Government Gateway Dedicated Services RTI Fixed Costs - Jan 15,CF14 3UW,,,,
HMRC,HMRC,05/03/2015,Govt dept services,S&ID,Ministry of Defence,5100090636,"35,980.56",Security Vetting Services supplied by DBS,L2 3YL,,,,
HMRC,HMRC,05/03/2015,Research (VAT rec),PT Change,IPSOS MORI UK LTD,5100090639,"32,103.36",Research to support net pay arrangements for Flat Rate Expenses,SE1 1PY,,,,
HMRC,HMRC,06/03/2015,Dictation machines,Criminal Investigations,ADR (UK) LTD,5100090493,"30,240.00",Equipment & Machinery,NG23 7NR,,,,
HMRC,HMRC,06/03/2015,Non-IMS IT for CSR,Civil Service Resourcing,WORLD CAREERS NETWORK PLC,5100090726,"56,016.00",February 2015 Monthly E-Recruitment Service Charge Full solution charge plus advert only charge,SW19 8DR,,,,
