Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
HMRC,HMRC,01/03/2016,Research (VAT rec),Knowledge Analysis & Intelligence,TNS - BMRB,5100094292,"26,906.40",Research to understand the Tax-Free Childcare parent population.,W5 1UA,,,,
HMRC,HMRC,01/03/2016,GovDept Serv(VAT Ex),Risk & Intelligence,FOREIGN AND COMMONWEALTH OFFICE,5100094370,"31,235.17",Costs for officers stationed abroad,MK10 1PX,,,,
HMRC,HMRC,01/03/2016,IT consultancy,Information Management Services,EQUAL EXPERTS UK LTD,5100094562,"46,980.00",Direct Recovery of Debt Project costs,WC1H 9BB,,,,
HMRC,HMRC,01/03/2016,IT consultancy,Information Management Services,EQUAL EXPERTS UK LTD,5100094563,"46,980.00",Direct Recovery of Debt Project costs,WC1H 9BB,,,,
HMRC,HMRC,02/03/2016,Training costs,HMRC,CAPITA BUSINESS SERVICES LTD,1900456544,"225,751.53",Employee Education,DL1 9HN,,,,
HMRC,HMRC,02/03/2016,GovDept Serv(VAT Ex),Risk & Intelligence,FOREIGN AND COMMONWEALTH OFFICE,5100094747,"80,303.56",Costs for officers stationed abroad,MK10 1PX,,,,
HMRC,HMRC,02/03/2016,GovDept Serv(VAT Ex),Risk & Intelligence,FOREIGN AND COMMONWEALTH OFFICE,5100094801,"99,241.17",Costs for officers stationed abroad,MK10 1PX,,,,
HMRC,HMRC,02/03/2016,Gov Bank Serv Charge,Corporate Finance,CITIBANK NA,5100094820,"78,130.45",Monthly bank charges for tax credits and Child Benefit payments by Post Office card account (POca).,E14 5LB,,,,
HMRC,HMRC,02/03/2016,Software coding,Information Management Services,EQUAL EXPERTS UK LTD,5100094835,"157,845.00",Transaction Monitoring Project Scrum costs,WC1H 9BB,,,,
HMRC,HMRC,02/03/2016,Software coding,Information Management Services,EQUAL EXPERTS UK LTD,5100094837,"134,265.00",Scrum Costs for the Government Gateway Hardening Project,WC1H 9BB,,,,
