Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
HMRC,HMRC,01/05/2015,Network Voice Serv,Information Management Services,Vodafone Limited,5100007114,27717.99,Vodafone March-15 invoice charges for Communication Services (Mobiles Equipment),RG14 5FF,,,,
HMRC,HMRC,01/05/2015,Training Costs,HMRC,CAPITA BUSINESS SERVICES LTD,1900035092,41590.23,Employee Training,DL1 9HN,,,,
HMRC,HMRC,01/05/2015,Nat Pst Del Ser(VAT),Finance & Internal Audit,DWP,5100006983,65766.65,Payment for mail sorting and delivery services,CF14 3UW,,,,
HMRC,HMRC,05/05/2015,Landlord Charges,Estates & Support Services,SAVILLS COMMERCIAL LTD,5100007810,2887.06,Standard Landlord Service Charge payable to the Landlord,W1K 3HQ,,,,
HMRC,HMRC,05/05/2015,Business Rates,Estates & Support Services,DUMFRIES & GALLOWAY COUNCIL,5100007809,29087,Business rates  ,DG1 2HP,,,,
HMRC,HMRC,05/05/2015,OGD costs,Estates & Support Services,DWP,5100007806,36963.62,Charges for occupation under MOTO arrangement. ,CF14 3UW,,,,
HMRC,HMRC,05/05/2015,Training Costs,HMRC,CAPITA BUSINESS SERVICES LTD,1900035129,63014.51,Employee Training,DL1 9HN,,,,
HMRC,HMRC,05/05/2015,Rent,Estates & Support Services,APV CO 21 LTD,5100007811,140831.4,Business rates  ,IM1 2PT,,,,
HMRC,HMRC,05/05/2015,Landlord Charges,Estates & Support Services,SAVILLS COMMERCIAL LTD,5100007810,237700.94,Standard Landlord Service Charge payable to the Landlord,W1K 3HQ,,,,
HMRC,HMRC,06/05/2015,STEPS FUP,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,1700001361,-317520,Monthly charge for fully serviced accommodation across the UK under the Mapeley STEPS Private Finance Initiative contract,WD17 1HN,,,,
HMRC,HMRC,06/05/2015,STEPS FUP,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100003298,-149299.32,Monthly charge for fully serviced accommodation across the UK under the Mapeley STEPS Private Finance Initiative contract,WD17 1HN,,,,
HMRC,HMRC,06/05/2015,STEPS FUP,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,1700001361,-83100,Monthly charge for fully serviced accommodation across the UK under the Mapeley STEPS Private Finance Initiative contract,WD17 1HN,,,,
HMRC,HMRC,06/05/2015,STEPS FUP,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100003298,-37324.82,Monthly charge for fully serviced accommodation across the UK under the Mapeley STEPS Private Finance Initiative contract,WD17 1HN,,,,
HMRC,HMRC,06/05/2015,STEPS FUP,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,1700001361,-1705.37,Monthly charge for fully serviced accommodation across the UK under the Mapeley STEPS Private Finance Initiative contract,WD17 1HN,,,,
HMRC,HMRC,06/05/2015,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100008015,17.22,Utility payment,WD17 1HN,,,,
HMRC,HMRC,06/05/2015,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100008015,70.76,Utility payment,WD17 1HN,,,,
HMRC,HMRC,06/05/2015,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100008015,90.45,Utility payment,WD17 1HN,,,,
HMRC,HMRC,06/05/2015,Oil,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100008015,102.75,Utility payment,WD17 1HN,,,,
HMRC,HMRC,06/05/2015,Oil,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100008015,245.63,Utility payment,WD17 1HN,,,,
HMRC,HMRC,06/05/2015,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100008015,293.81,Utility payment,WD17 1HN,,,,
HMRC,HMRC,06/05/2015,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100008015,371.49,Utility payment,WD17 1HN,,,,
HMRC,HMRC,06/05/2015,Water,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100008015,399.41,Utility payment,WD17 1HN,,,,
HMRC,HMRC,06/05/2015,Oil,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100008015,539.41,Utility payment,WD17 1HN,,,,
HMRC,HMRC,06/05/2015,Oil,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100008015,1289.56,Utility payment,WD17 1HN,,,,
HMRC,HMRC,06/05/2015,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100008015,1542.47,Utility payment,WD17 1HN,,,,
HMRC,HMRC,06/05/2015,Water,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100008015,2096.91,Utility payment,WD17 1HN,,,,
HMRC,HMRC,06/05/2015,Water,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100008015,2105.96,Utility payment,WD17 1HN,,,,
HMRC,HMRC,06/05/2015,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100008015,4924.64,Utility payment,WD17 1HN,,,,
HMRC,HMRC,06/05/2015,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100008015,7436.11,Utility payment,WD17 1HN,,,,
HMRC,HMRC,06/05/2015,Water,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100008015,11056.32,Utility payment,WD17 1HN,,,,
HMRC,HMRC,06/05/2015,Oil,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100008015,11056.5,Utility payment,WD17 1HN,,,,
HMRC,HMRC,06/05/2015,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100008015,11463.51,Utility payment,WD17 1HN,,,,
HMRC,HMRC,06/05/2015,Fleet mgmt services,Criminal Investigations,INCHCAPE FLEET SOLUTIONS,5100007910,11778.7,Vehicle Fleet Services,P06 4RP,,,,
HMRC,HMRC,06/05/2015,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100008015,17289.89,Utility payment,WD17 1HN,,,,
HMRC,HMRC,06/05/2015,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100008015,19890.19,Utility payment,WD17 1HN,,,,
HMRC,HMRC,06/05/2015,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100008015,25854.4,Utility payment,WD17 1HN,,,,
HMRC,HMRC,06/05/2015,Min AW non-struc VAT,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100006148,26377.1,Works carried out at Caledonian House Dundee,WD17 1HN,,,,
HMRC,HMRC,06/05/2015,Faciltiy Mngmt Cost,Estates & Support Services,G4S INTEGRATED SERVICES (UK) LTD,5100008066,26636.3,Charges for accommodation provided under the G4S Private Finance Initiative contract in Glasgow,S81 7QF,,,,
HMRC,HMRC,06/05/2015,Proprietry sys maint,Information Management Services,DWP,5100007956,29087.35,Government Gateway - variable charges for Secure Data Transfer (Oct-Dec 14),CF14 3UW,,,,
HMRC,HMRC,06/05/2015,Faciltiy Mngmt Cost,Estates & Support Services,G4S INTEGRATED SERVICES (UK) LTD,5100008067,29777.7,Charges for accommodation provided under the G4S Private Finance Initiative contract in Edinburgh,S81 7QF,,,,
