Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Type,Expenditure Type,
HMRC,HMRC,02/11/2015,CHURN,PT Operations,MAPELEY STEPS CONTRACTOR LTD COMPO,5100059331,"£37,394.16",Building Services,WD17 1HN,,,,,
HMRC,HMRC,02/11/2015,Court Fees,Debt Management & Banking,THE INSOLVENCY SERVICE,5100059556,"£64,000.00",Court Fees,B4 6FD,,,,,
HMRC,HMRC,02/11/2015,Employee education,Commercial Directorate,CHARTERED INSTIT OF PURCH & SUPPLY,5100059557,"£30,375.00",Payment of the annual professional subscriptions for all HMRC procurement staff,PE9 3NZ,,,,,
HMRC,HMRC,02/11/2015,Data Purchases,Benefits & Credits Delivery,GB GROUP,5100060569,"£33,480.00",Consultancy analysis for Tax credit undeclared partners project ,CH4 9GB,,,,,
HMRC,HMRC,02/11/2015,Specimen Isolation,Specialist Investigations (SI),IMA LTD,5100060608,"£244,584.00",Scientific Testing Equipment,LS20 8BH,,,,,
HMRC,HMRC,02/11/2015,Business Consultancy,Benefits & Credits Delivery,SYNNEX-CONCENTRIX UK LTD,5100060664,"£3,740,331.01",Error & Fraud Adding Capacity Programme,EC2N 1HQ,,,,,
HMRC,HMRC,02/11/2015,Water,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100060714,£5.55,Utility payment,WD17 1HN,,,,,
HMRC,HMRC,02/11/2015,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100060714,£27.85,Utility payment,WD17 1HN,,,,,
HMRC,HMRC,02/11/2015,Water,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100060714,£29.13,Utility payment,WD17 1HN,,,,,
HMRC,HMRC,02/11/2015,Oil,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100060714,£78.08,Utility payment,WD17 1HN,,,,,
HMRC,HMRC,02/11/2015,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100060714,£146.26,Utility payment,WD17 1HN,,,,,
HMRC,HMRC,02/11/2015,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100060714,£173.33,Utility payment,WD17 1HN,,,,,
HMRC,HMRC,02/11/2015,Oil,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100060714,£409.95,Utility payment,WD17 1HN,,,,,
HMRC,HMRC,02/11/2015,Oil,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100060714,£654.06,Utility payment,WD17 1HN,,,,,
HMRC,HMRC,02/11/2015,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100060714,£909.99,Utility payment,WD17 1HN,,,,,
HMRC,HMRC,02/11/2015,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100060714,"£2,267.49",Utility payment,WD17 1HN,,,,,
HMRC,HMRC,02/11/2015,Water,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100060714,"£3,080.22",Utility payment,WD17 1HN,,,,,
HMRC,HMRC,02/11/2015,Oil,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100060714,"£3,433.79",Utility payment,WD17 1HN,,,,,
