Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract,Project Code,Expenditure
HMRC,HMRC,03/06/2013,Marketing Promotion,Corporate Communications,GFK NOP LTD,5100017667,"£49,200.00",Self Assessment Research and Tracking Costs,SE1 9UL,,,,
HMRC,HMRC,03/06/2013,Disposal Seized Gds,Specialist Investigations (SI),ENVA NORTHERN IRELAND LTD,5100017750,"£173,755.20",Outsourced services for storing and disposing of seized goods,BT24 8LS,,,,
HMRC,HMRC,03/06/2013,Employee education,BT Change,CAPITA BUSINESS SERVICES LTD,5100017804,"£82,821.66","Delivery of 2 days learning at an external venue  on 8th 9th April 2013 in Liverpool as part of the Compliance Skills Development Development Programme(CSDP) ""48"" ",DL1 9HN,,,,
HMRC,HMRC,03/06/2013,Employee education,BT Change,CAPITA BUSINESS SERVICES LTD,5100017807,"£84,780.29","Delivery of 2 days learning at an external venue on 23rd & 24th April 2013 in Leeds as part of the Compliance Skills Development Development Programme(CSDP) ""48"" ",DL1 9HN,,,,
HMRC,HMRC,03/06/2013,Employee education,BT Change,CAPITA BUSINESS SERVICES LTD,5100017808,"£86,601.36","Delivery of 2 days learning at an external venue on 17th & 18th April 2013 in Manchester  as part of the Compliance Skills Development Development Programme(CSDP) ""48"" ",DL1 9HN,,,,
HMRC,HMRC,04/06/2013,Travel Service Booking Fees,HR,CALDER CONFERENCES LTD,1900065073,"£39,886.22",Enforcement & Compliance training event,LS16 6RF,,,,
HMRC,HMRC,04/06/2013,Government Procurement Service (GPS) Fees,HR,CALDER CONFERENCES LTD,1900065073,£199.38,Enforcement & Compliance training event,LS16 6RF,,,,
HMRC,HMRC,04/06/2013,Travel Service Booking Fees,HR,CALDER CONFERENCES LTD,1900065073,£1.20,Enforcement & Compliance training event,LS16 6RF,,,,
HMRC,HMRC,04/06/2013,Depart Booklet Stk,Information Management Services,WILLIAMS LEA LTD,5100017893,"£26,925.08",Payment for generic stock,WF6 1TN,,,,
HMRC,HMRC,04/06/2013,Depart Booklet Stk,Information Management Services,WILLIAMS LEA LTD,5100017894,"£26,925.08",Payment for generic stock,WF6 1TN,,,,
HMRC,HMRC,04/06/2013,Depart Booklet Stk,Information Management Services,WILLIAMS LEA LTD,5100017895,"£26,925.08",Payment for generic stock,WF6 1TN,,,,
HMRC,HMRC,04/06/2013,Depart Booklet Stk,Information Management Services,WILLIAMS LEA LTD,5100017896,"£26,925.08",Payment for generic stock,WF6 1TN,,,,
HMRC,HMRC,04/06/2013,Maj AW consultancy,Estates & Support Services,EXCHEQUER PARTNERSHIP PLC,5100018184,"£25,952.09",Essential works carried out for improvements of 100 Parliament Street London,M41 7HG,,,,
HMRC,HMRC,04/06/2013,Rent,Estates & Support Services,WESTFIELD,5100018187,"£141,900.00",Monthly rent payment payable to the Landlord,WC1V 6EA,,,,
HMRC,HMRC,04/06/2013,Landlord Charges,Estates & Support Services,WESTFIELD,5100018187,"£4,503.60",Standard Landlord Service Charge payable to the Landlord,WC1V 6EA,,,,
HMRC,HMRC,04/06/2013,Insurance,Estates & Support Services,WESTFIELD,5100018187,"£1,366.20",Quarterly Insurance charge for Merry Hill Contact Centre,WC1V 6EA
HMRC,HMRC,05/06/2013,County Court Costs,Debt Management & Banking,RBSG CENTRAL,1900069729,"£40,000.00",High Court Costs,SE99 1AA
HMRC,HMRC,05/06/2013,Depart Booklet Stk,Information Management Services,WILLIAMS LEA LTD,5100017897,"£26,925.08",Payment for generic stock,WF6 1TN
HMRC,HMRC,05/06/2013,Vehicle leasing,Criminal Investigations,INCHCAPE FLEET SOLUTIONS,5100018306,"£136,655.26",Fleet mgmt services,P06 4RP
HMRC,HMRC,05/06/2013,Vehicle servicing ma,Criminal Investigations,INCHCAPE FLEET SOLUTIONS,5100018306,"£133,893.95",Fleet mgmt services,P06 4RP
HMRC,HMRC,05/06/2013,Vehicle servicing ma,Criminal Investigations,INCHCAPE FLEET SOLUTIONS,5100018306,"£49,322.63",Fleet mgmt services,P06 4RP
HMRC,HMRC,05/06/2013,Vehicle repairs,Criminal Investigations,INCHCAPE FLEET SOLUTIONS,5100018306,"£36,520.30",Fleet mgmt services,P06 4RP
HMRC,HMRC,05/06/2013,Fleet mgmt services,Criminal Investigations,INCHCAPE FLEET SOLUTIONS,5100018306,"£9,379.44",Fleet mgmt services,P06 4RP
HMRC,HMRC,05/06/2013,Vehicle leasing,PT Operations,INCHCAPE FLEET SOLUTIONS,5100018325,"£38,075.84",Departmental Vehicle Costs,P06 4RP
HMRC,HMRC,05/06/2013,Vehicle servicing ma,PT Operations,INCHCAPE FLEET SOLUTIONS,5100018325,"£15,145.80",Departmental Vehicle Costs,P06 4RP
HMRC,HMRC,05/06/2013,Vehicle servicing ma,PT Operations,INCHCAPE FLEET SOLUTIONS,5100018325,"£3,455.85",Departmental Vehicle Costs,P06 4RP
HMRC,HMRC,05/06/2013,Fleet mgmt services,PT Operations,INCHCAPE FLEET SOLUTIONS,5100018325,"£1,012.54",Departmental Vehicle Costs,P06 4RP
HMRC,HMRC,05/06/2013,Vehicle repairs,PT Operations,INCHCAPE FLEET SOLUTIONS,5100018325,£825.33,Departmental Vehicle Costs,P06 4RP
HMRC,HMRC,05/06/2013,Hardware maintenance,Information Management Services,GOVERNMENT COMMUNICATIONS BUREAU,5100018366,"£105,000.00",Specialist Telecommunications services,SW1P 7XB
HMRC,HMRC,05/06/2013,Debt collection serv,Debt Management & Banking,ADVANTIS CREDIT LTD,5100018461,"£91,308.36",Debt Collection Services,ST4 7RY
HMRC,HMRC,05/06/2013,Proprietry sys maint,Information Management Services,DWP,5100018473,"£68,405.62",Activation PINS & user ID card production recharges (Apr 13),CF14 3UW
HMRC,HMRC,05/06/2013,Debt collection serv,Debt Management & Banking,DRYDENSFAIRFAX SOLICITORS,5100018610,"£410,934.36",Debt Collection Services,LS2 8BX
HMRC,HMRC,06/06/2013,Gov Bank Serv Charge,Finance & Internal Audit,CITIBANK NA,5100018645,"£25,529.15",Government Banking Service: Bank Charges,E14 5LB
