Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
"Department for Business, Innovation and Skills",Intellectual Property Office,09/05/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,9405,-87.3,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,09/05/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,9406,-0.24,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,03/05/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,632415,75.66,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,24/05/2012,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5295853,140.4,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,03/05/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,632412,167.74,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,10/05/2012,Agency Staff,Innovation Directorate,Acorn Recruitment Ltd,632420,201.6,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/05/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,634702,234.14,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/05/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,634717,254.5,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,04/05/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,00631644A,266.66,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,17/05/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,633939,282.96,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/05/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,634713,282.96,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/05/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,634715,304.97,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,11/05/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,633169,306.31,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,01/05/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,631655,311.26,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,01/05/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,631653,314.4,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,11/05/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,633183,318.32,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,01/05/2012,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,631656,341.26,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/05/2012,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,634716,341.26,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,02/05/2012,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,632408,347.04,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,29/05/2012,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,634710,347.04,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,29/05/2012,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,634712,347.04,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/05/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,634703,349.2,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/05/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,634709,349.2,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,01/05/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,631658,351.35,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,02/05/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,632405,358.7,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,17/05/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,633940,360.36,Not applicable
"Department for Business, Innovation and Skills",Intellectual Property Office,28/05/2012,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,634705,360.36,Not applicable
