Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
"Department for Business, Innovation and Skills",Intellectual Property Office,29/07/2013,Other Stationery & General Supplies,Finance Directorate,WWW.CABOODLE.CO.UK,SLOCK129,34.51,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,30/07/2013,Training,Finance Directorate,WWW.CIPFA.ORG.UK/PFMCO,SLOCK130,354.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,31/07/2013,Other Stationery & General Supplies,Finance Directorate,Amazon EU,SLOCK127,23.02,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/08/2013,Training,Trade Marks Directorate,UNI OF WEST ENGLAN,SLOCK131,350.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,13/08/2013,Other Stationery & General Supplies,Finance Directorate,Amazon  Mktplce EU-UK,SLOCK128,8.99,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,21/08/2013,Other Stationery & General Supplies,Finance Directorate,Amazon EU,SLOCK132,17.95,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,21/08/2013,Other Stationery & General Supplies,Finance Directorate,Amazon EU,SLOCK133,14.19,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,21/08/2013,Other Stationery & General Supplies,Finance Directorate,Amazon EU,SLOCK132,16.77,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/08/2013,Travel and subsistence Overseas,International Policy Directorate,EASYJET00 000ELMQPX9,ddavi12,96.94,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/08/2013,Travel and subsistence Overseas,International Policy Directorate,HRG UK    INV165313336,ddavi12,5.70,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,13/08/2013,Travel and subsistence UK,International Policy Directorate,www.Flybe D2GK0W,ddavi12,119.48,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,13/08/2013,Travel and subsistence UK,International Policy Directorate,HRG UK    INV165317895,ddavi12,5.80,Not applicable,
