Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
Department for Business Innovation and Skills,Intellectual Property Office,21/01/2016,Miscellaneous Expenses General,People Places & Serv Direct,Mitie Facilities Services Ltd,100-91130342,70.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/01/2016,Accommodation,People Places & Serv Direct,Department For Business Innovation & Ski,6.1511E+11,196996.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/01/2016,Office Supplies,People Places & Serv Direct,Mitie Facilities Services Ltd,100-91130342,27.27,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/01/2016,Miscellaneous Expenses General,People Places & Serv Direct,Mitie Facilities Services Ltd,100-91130342,121.10,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,04/01/2016,Travel & Subsistence,People Places & Serv Direct,Veezu Ltd T/A Dragon Taxis (Newport),4910,61.20,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,29/01/2016,Legal & Hearings,Copyright and Enforcement Directorate,Beverley F Nunnery & Co,146840CN,-493.17,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,26/01/2016,Legal & Hearings,Copyright and Enforcement Directorate,HM Courts and Tribunals Service,IE417HMCTS-17600,1865.60,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,26/01/2016,Supporting UK Business,Copyright and Enforcement Directorate,Creative Content UK Partnership Ltd,8,966888.34,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,15/01/2016,Legal & Hearings,Copyright and Enforcement Directorate,Roger Field,53217,650.65,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/01/2016,Travel & Subsistence,People Places & Serv Direct,Personal expenses,ER134970,1060.23,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,04/01/2016,Travel & Subsistence,People Places & Serv Direct,Veezu Ltd T/A Dragon Taxis (Newport),4910,23.40,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,14/01/2016,Accommodation,People Places & Serv Direct,Department For Business Innovation & Ski,6.1511E+11,40239.84,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,14/01/2016,Accommodation,People Places & Serv Direct,Department For Business Innovation & Ski,6.1511E+11,9365.88,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/01/2016,Accommodation,People Places & Serv Direct,Department For Business Innovation & Ski,6.1511E+11,31776.66,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/01/2016,Accommodation,People Places & Serv Direct,Department For Business Innovation & Ski,6.1511E+11,9365.88,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/01/2016,Accommodation,People Places & Serv Direct,Department For Business Innovation & Ski,6.1511E+11,40677.89,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/01/2016,Accommodation,People Places & Serv Direct,Department For Business Innovation & Ski,6.1511E+11,11870.18,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/01/2016,Accommodation,People Places & Serv Direct,Mitie Facilities Services Ltd,100-91121320,1915.76,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,12/01/2016,Accommodation,People Places & Serv Direct,CWE Services Ltd,11978,480.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/01/2016,Accommodation,People Places & Serv Direct,EDF ENERGY,1199324,26432.49,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,19/01/2016,Accommodation,People Places & Serv Direct,Rushar Ltd,14063,444.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,19/01/2016,Accommodation,People Places & Serv Direct,Rushar Ltd,14064,894.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,19/01/2016,Accommodation,People Places & Serv Direct,Rushar Ltd,14065,1000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,19/01/2016,Accommodation,People Places & Serv Direct,Rushar Ltd,14066,2450.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/01/2016,Accommodation,People Places & Serv Direct,Glazing Refurbishment Co.,1176,21680.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/01/2016,Accommodation,People Places & Serv Direct,Magscapes Ltd,INV-2207,2592.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/01/2016,Travel & Subsistence,Copyright and Enforcement Directorate,HRG UK,43662941,3485.68,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,27/01/2016,Travel & Subsistence,Copyright and Enforcement Directorate,HRG UK,43671270,3501.03,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,04/01/2016,Travel & Subsistence,Copyright and Enforcement Directorate,Veezu Ltd T/A Dragon Taxis (Newport),4910,109.80,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/01/2016,Supporting UK Business,Copyright and Enforcement Directorate,Copyright Hub Foundation,TCH0072,25000.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,04/01/2016,Travel & Subsistence,Copyright and Enforcement Directorate,Veezu Ltd T/A Dragon Taxis (Newport),4910,7.80,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/01/2016,Office Machinery,People Places & Serv Direct,Xerox (UK) Ltd,1605118766,499.98,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/01/2016,Office Machinery,People Places & Serv Direct,Xerox (UK) Ltd,1605118768,855.99,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/01/2016,Office Machinery,People Places & Serv Direct,Xerox (UK) Ltd,1605118769,855.99,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/01/2016,Office Machinery,People Places & Serv Direct,Xerox (UK) Ltd,1605130655,2920.00,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/01/2016,Office Machinery,People Places & Serv Direct,Xerox (UK) Ltd,1605146191,2553.61,Not Applicable,
Department for Business Innovation and Skills,Intellectual Property Office,12/01/2016,Office Machinery,People Places & Serv Direct,Xerox (UK) Ltd,1605152971,4731.05,Not Applicable,
