Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Dept of Health,MHRA,01/12/2014,Computing Operation Costs,Information Management,ACCENTURE,600091948,203930.50,788629066
Dept of Health,MHRA,05/12/2014,Telecommunications,"Inspection, Enforcement & Standards",EXPERIAN LTD,600092346,25919.22,887133593
Dept of Health,MHRA,09/12/2014,UK Miscellaneous T&S,Clinical Practice Research Datalink,HOGG ROBINSON LTD,600092457,9.56,413640679
Dept of Health,MHRA,09/12/2014,UK Hotel/Accommodation,Clinical Practice Research Datalink,HOGG ROBINSON LTD,600092457,639.42,413640679
Dept of Health,MHRA,09/12/2014,UK Rail/Tube/Tram,Clinical Practice Research Datalink,HOGG ROBINSON LTD,600092457,157.09,413640679
Dept of Health,MHRA,09/12/2014,Overseas Air,Clinical Practice Research Datalink,HOGG ROBINSON LTD,600092457,3479.10,413640679
Dept of Health,MHRA,09/12/2014,Overseas Hotel/Accommodation,Clinical Practice Research Datalink,HOGG ROBINSON LTD,600092457,31.38,413640679
Dept of Health,MHRA,09/12/2014,UK Rail/Tube/Tram,Communications,HOGG ROBINSON LTD,600092457,407.61,413640679
Dept of Health,MHRA,09/12/2014,Overseas Air,Communications,HOGG ROBINSON LTD,600092457,122.03,413640679
Dept of Health,MHRA,09/12/2014,UK Rail/Tube/Tram,Human Resources,HOGG ROBINSON LTD,600092457,67.95,413640679
Dept of Health,MHRA,09/12/2014,UK Rail/Tube/Tram,Information Management,HOGG ROBINSON LTD,600092457,202.33,413640679
Dept of Health,MHRA,09/12/2014,UK Miscellaneous T&S,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600092457,34.72,413640679
Dept of Health,MHRA,09/12/2014,UK Air,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600092457,1347.34,413640679
Dept of Health,MHRA,09/12/2014,UK Hotel/Accommodation,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600092457,11759.91,413640679
Dept of Health,MHRA,09/12/2014,UK Parking,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600092457,8.44,413640679
Dept of Health,MHRA,09/12/2014,UK Private Vehicle Hire,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600092457,96.78,413640679
Dept of Health,MHRA,09/12/2014,UK Rail/Tube/Tram,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600092457,16026.59,413640679
Dept of Health,MHRA,09/12/2014,Overseas Air,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600092457,58197.84,413640679
Dept of Health,MHRA,09/12/2014,Overseas Hotel/Accommodation,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600092457,80.90,413640679
Dept of Health,MHRA,09/12/2014,Overseas Private Vehicle Hire,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600092457,632.72,413640679
Dept of Health,MHRA,09/12/2014,Overseas Rail/Tram,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600092457,588.51,413640679
Dept of Health,MHRA,09/12/2014,UK Air,Licensing,HOGG ROBINSON LTD,600092457,130.46,413640679
Dept of Health,MHRA,09/12/2014,UK Hotel/Accommodation,Licensing,HOGG ROBINSON LTD,600092457,381.69,413640679
Dept of Health,MHRA,09/12/2014,UK Rail/Tube/Tram,Licensing,HOGG ROBINSON LTD,600092457,253.78,413640679
