Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Dept of Health,MHRA,05/02/2015,Capital Expenditure,Information Management,ACCENTURE,600093461,171187.19,788629066
Dept of Health,MHRA,05/02/2015,Capital Expenditure,Information Management,ACCENTURE,600093462,166278.2,788629066
Dept of Health,MHRA,06/02/2015,UK Miscellaneous T&S,Clinical Practice Research Datalink,HOGG ROBINSON LTD,600093698,19.12,413640679
Dept of Health,MHRA,06/02/2015,UK Hotel/Accommodation,Clinical Practice Research Datalink,HOGG ROBINSON LTD,600093698,6.04,413640679
Dept of Health,MHRA,06/02/2015,UK Rail/Tube/Tram,Clinical Practice Research Datalink,HOGG ROBINSON LTD,600093698,575.84,413640679
Dept of Health,MHRA,06/02/2015,Overseas Air,Clinical Practice Research Datalink,HOGG ROBINSON LTD,600093698,190.25,413640679
Dept of Health,MHRA,06/02/2015,Overseas Hotel/Accommodation,Clinical Practice Research Datalink,HOGG ROBINSON LTD,600093698,13.88,413640679
Dept of Health,MHRA,06/02/2015,UK Miscellaneous T&S,Communications,HOGG ROBINSON LTD,600093698,9.56,413640679
Dept of Health,MHRA,06/02/2015,UK Hotel/Accommodation,Communications,HOGG ROBINSON LTD,600093698,215.9,413640679
Dept of Health,MHRA,06/02/2015,UK Rail/Tube/Tram,Communications,HOGG ROBINSON LTD,600093698,596.74,413640679
Dept of Health,MHRA,06/02/2015,Overseas Air,Communications,HOGG ROBINSON LTD,600093698,18,413640679
Dept of Health,MHRA,06/02/2015,UK Hotel/Accommodation,Directorate,HOGG ROBINSON LTD,600093698,162.97,413640679
Dept of Health,MHRA,06/02/2015,UK Rail/Tube/Tram,Directorate,HOGG ROBINSON LTD,600093698,120.33,413640679
Dept of Health,MHRA,06/02/2015,UK Rail/Tube/Tram,Finance & Procurement,HOGG ROBINSON LTD,600093698,227.89,413640679
Dept of Health,MHRA,06/02/2015,UK Rail/Tube/Tram,Human Resources,HOGG ROBINSON LTD,600093698,217.6,413640679
Dept of Health,MHRA,06/02/2015,UK Rail/Tube/Tram,Information Management,HOGG ROBINSON LTD,600093698,213.62,413640679
Dept of Health,MHRA,06/02/2015,Overseas Hotel/Accommodation,Information Management,HOGG ROBINSON LTD,600093698,3.02,413640679
Dept of Health,MHRA,06/02/2015,UK Miscellaneous T&S,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600093698,28.68,413640679
Dept of Health,MHRA,06/02/2015,UK Air,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600093698,2576.7,413640679
Dept of Health,MHRA,06/02/2015,UK Hotel/Accommodation,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600093698,23321.19,413640679
Dept of Health,MHRA,06/02/2015,UK Parking,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600093698,8.44,413640679
Dept of Health,MHRA,06/02/2015,UK Private Vehicle Hire,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600093698,122.8,413640679
Dept of Health,MHRA,06/02/2015,UK Rail/Tube/Tram,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600093698,15660.3,413640679
Dept of Health,MHRA,06/02/2015,Overseas Air,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600093698,61180.6,413640679
Dept of Health,MHRA,06/02/2015,Overseas Hotel/Accommodation,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600093698,1402.83,413640679
Dept of Health,MHRA,06/02/2015,Overseas Private Vehicle Hire,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600093698,5.04,413640679
Dept of Health,MHRA,06/02/2015,Passport/Visa,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600093698,256.54,413640679
Dept of Health,MHRA,06/02/2015,UK Miscellaneous T&S,Licensing,HOGG ROBINSON LTD,600093698,9.56,413640679
Dept of Health,MHRA,06/02/2015,UK Hotel/Accommodation,Licensing,HOGG ROBINSON LTD,600093698,388.87,413640679
Dept of Health,MHRA,06/02/2015,UK Rail/Tube/Tram,Licensing,HOGG ROBINSON LTD,600093698,207.71,413640679
Dept of Health,MHRA,06/02/2015,Overseas Air,Licensing,HOGG ROBINSON LTD,600093698,4149.25,413640679
Dept of Health,MHRA,06/02/2015,Overseas Hotel/Accommodation,Licensing,HOGG ROBINSON LTD,600093698,16.3,413640679
