Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Dept of Health,MHRA,04/03/2016,Help desk and end user support,Information Management,SELECTION SERVICES LTD,600101971,39650.00,123385037
Dept of Health,MHRA,04/03/2016,Capital Expenditure,Information Management,REDROCK CONSULTING LTD,600101903,43667.02,862247715
Dept of Health,MHRA,04/03/2016,Infrastructure Services and Maintenance,Information Management,REDROCK CONSULTING LTD,600101905,77474.30,862247715
Dept of Health,MHRA,04/03/2016,Application Services and Maintenance,Information Management,REDROCK CONSULTING LTD,600101907,54561.84,862247715
Dept of Health,MHRA,04/03/2016,Infrastructure Services and Maintenance,Information Management,REDROCK CONSULTING LTD,600101908,41887.97,862247715
Dept of Health,MHRA,04/03/2016,Testing Services,Information Management,HOME OFFICE,600101933,32100.00,888816061
Dept of Health,MHRA,04/03/2016,Testing Services,Information Management,HOME OFFICE,600101934,202676.40,888816061
Dept of Health,MHRA,04/03/2016,IT Purchases,Information Management,ACCENTURE,600101768,28660.31,788629066
Dept of Health,MHRA,04/03/2016,Capital Expenditure,"Inspection, Enforcement & Standards",LGC (TEDDINGTON) LTD,600101979,37045.20,674056721
Dept of Health,MHRA,08/03/2016,Infrastructure Services and Maintenance,Information Management,REDROCK CONSULTING LTD,600101904,62325.06,862247715
Dept of Health,MHRA,08/03/2016,Application Services and Maintenance,Information Management,ACCENTURE,600101572,218150.90,788629066
Dept of Health,MHRA,15/03/2016,Networks,Information Management,SWITCH COMMUNICATIONS,600101620,75684.00,611903863
Dept of Health,MHRA,15/03/2016,Help desk and end user support,Information Management,SELECTION SERVICES LTD,600101943,35835.19,123385037
Dept of Health,MHRA,15/03/2016,Infrastructure Services and Maintenance,Information Management,REDROCK CONSULTING LTD,600102080,56919.79,862247715
Dept of Health,MHRA,15/03/2016,Infrastructure Services and Maintenance,Information Management,ACCENTURE,600101770,304455.22,788629066
Dept of Health,MHRA,16/03/2016,EU pre-financing project payment,Vigilance and Risk Management of Medicines,AGENTSCHAP CBG-MEB,600102236,49464.98,
Dept of Health,MHRA,16/03/2016,EU pre-financing project payment,Vigilance and Risk Management of Medicines,AGENCY FOR MEDICINAL PRODUCTS & MEDICAL DEVICES OF CROATIA,600102241,59284.42,
Dept of Health,MHRA,17/03/2016,"Service, Integration & Management",Information Management,REPLY LIMITED,600101075,64350.00,742468814
Dept of Health,MHRA,17/03/2016,Third Party IT Contracts,Information Management,NTT DATA UK LIMITED,600102277,69647.40,159334590
Dept of Health,MHRA,17/03/2016,Testing Services,Information Management,HOME OFFICE,600101936,162380.40,888816061
Dept of Health,MHRA,17/03/2016,UK Miscellaneous T&S,Clinical Practice Research Datalink,CLARITY TRAVEL MANAGEMENT,600102153,54.70,197694731
Dept of Health,MHRA,17/03/2016,UK Rail/Tube/Tram,Clinical Practice Research Datalink,CLARITY TRAVEL MANAGEMENT,600102153,276.30,197694731
Dept of Health,MHRA,17/03/2016,Training inc T&S,Clinical Practice Research Datalink,CLARITY TRAVEL MANAGEMENT,600102153,693.95,197694731
Dept of Health,MHRA,17/03/2016,UK Miscellaneous T&S,Communications,CLARITY TRAVEL MANAGEMENT,600102153,-7.10,197694731
Dept of Health,MHRA,17/03/2016,UK Rail/Tube/Tram,Communications,CLARITY TRAVEL MANAGEMENT,600102153,355.70,197694731
Dept of Health,MHRA,17/03/2016,Training inc T&S,Communications,CLARITY TRAVEL MANAGEMENT,600102153,408.22,197694731
Dept of Health,MHRA,17/03/2016,UK Air,Directorate,CLARITY TRAVEL MANAGEMENT,600102153,519.42,197694731
Dept of Health,MHRA,17/03/2016,UK Rail/Tube/Tram,Directorate,CLARITY TRAVEL MANAGEMENT,600102153,249.10,197694731
Dept of Health,MHRA,17/03/2016,Committee T&S,Directorate,CLARITY TRAVEL MANAGEMENT,600102153,203.05,197694731
Dept of Health,MHRA,17/03/2016,Training inc T&S,Directorate,CLARITY TRAVEL MANAGEMENT,600102153,300.64,197694731
Dept of Health,MHRA,17/03/2016,UK Rail/Tube/Tram,Human Resources,CLARITY TRAVEL MANAGEMENT,600102153,268.40,197694731
Dept of Health,MHRA,17/03/2016,Training inc T&S,Human Resources,CLARITY TRAVEL MANAGEMENT,600102153,144.00,197694731
Dept of Health,MHRA,17/03/2016,UK Rail/Tube/Tram,Information Management,CLARITY TRAVEL MANAGEMENT,600102153,65.60,197694731
Dept of Health,MHRA,17/03/2016,Training inc T&S,Information Management,CLARITY TRAVEL MANAGEMENT,600102153,233.21,197694731
Dept of Health,MHRA,17/03/2016,UK Miscellaneous T&S,"Inspection, Enforcement & Standards",CLARITY TRAVEL MANAGEMENT,600102153,306.74,197694731
Dept of Health,MHRA,17/03/2016,UK Air,"Inspection, Enforcement & Standards",CLARITY TRAVEL MANAGEMENT,600102153,3453.68,197694731
Dept of Health,MHRA,17/03/2016,UK Hotel/Accommodation,"Inspection, Enforcement & Standards",CLARITY TRAVEL MANAGEMENT,600102153,7533.46,197694731
Dept of Health,MHRA,17/03/2016,UK Rail/Tube/Tram,"Inspection, Enforcement & Standards",CLARITY TRAVEL MANAGEMENT,600102153,14309.80,197694731
Dept of Health,MHRA,17/03/2016,Overseas Air,"Inspection, Enforcement & Standards",CLARITY TRAVEL MANAGEMENT,600102153,35124.55,197694731
Dept of Health,MHRA,17/03/2016,Overseas Hotel/Accommodation,"Inspection, Enforcement & Standards",CLARITY TRAVEL MANAGEMENT,600102153,3675.39,197694731
Dept of Health,MHRA,17/03/2016,Overseas Rail/Tram,"Inspection, Enforcement & Standards",CLARITY TRAVEL MANAGEMENT,600102153,446.30,197694731
Dept of Health,MHRA,17/03/2016,Committee T&S,"Inspection, Enforcement & Standards",CLARITY TRAVEL MANAGEMENT,600102153,75.10,197694731
Dept of Health,MHRA,17/03/2016,Training inc T&S,"Inspection, Enforcement & Standards",CLARITY TRAVEL MANAGEMENT,600102153,9486.36,197694731
Dept of Health,MHRA,17/03/2016,UK Hotel/Accommodation,Licensing,CLARITY TRAVEL MANAGEMENT,600102153,149.67,197694731
Dept of Health,MHRA,17/03/2016,UK Rail/Tube/Tram,Licensing,CLARITY TRAVEL MANAGEMENT,600102153,26.00,197694731
Dept of Health,MHRA,17/03/2016,Overseas Air,Licensing,CLARITY TRAVEL MANAGEMENT,600102153,438.25,197694731
Dept of Health,MHRA,17/03/2016,Overseas Rail/Tram,Licensing,CLARITY TRAVEL MANAGEMENT,600102153,59.50,197694731
Dept of Health,MHRA,17/03/2016,Committee T&S,Licensing,CLARITY TRAVEL MANAGEMENT,600102153,1004.51,197694731
Dept of Health,MHRA,17/03/2016,Training inc T&S,Licensing,CLARITY TRAVEL MANAGEMENT,600102153,2403.65,197694731
