Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Dept of Health,MHRA,09/11/2015,UK Hotel/Accommodation,Clinical Practice Research Datalink,HOGG ROBINSON LTD,600099541,599.00,413640679
Dept of Health,MHRA,09/11/2015,UK Rail/Tube/Tram,Clinical Practice Research Datalink,HOGG ROBINSON LTD,600099541,1030.62,413640679
Dept of Health,MHRA,09/11/2015,Overseas Air,Clinical Practice Research Datalink,HOGG ROBINSON LTD,600099541,247.92,413640679
Dept of Health,MHRA,09/11/2015,UK Hotel/Accommodation,Communications,HOGG ROBINSON LTD,600099541,194.73,413640679
Dept of Health,MHRA,09/11/2015,UK Rail/Tube/Tram,Communications,HOGG ROBINSON LTD,600099541,570.88,413640679
Dept of Health,MHRA,09/11/2015,UK Hotel/Accommodation,Directorate,HOGG ROBINSON LTD,600099541,137.68,413640679
Dept of Health,MHRA,09/11/2015,UK Rail/Tube/Tram,Directorate,HOGG ROBINSON LTD,600099541,19.00,413640679
Dept of Health,MHRA,09/11/2015,Overseas Air,Directorate,HOGG ROBINSON LTD,600099541,14.08,413640679
Dept of Health,MHRA,09/11/2015,Overseas Hotel/Accommodation,Directorate,HOGG ROBINSON LTD,600099541,25.94,413640679
Dept of Health,MHRA,09/11/2015,UK Rail/Tube/Tram,Human Resources,HOGG ROBINSON LTD,600099541,390.75,413640679
Dept of Health,MHRA,09/11/2015,UK Hotel/Accommodation,Information Management,HOGG ROBINSON LTD,600099541,228.72,413640679
Dept of Health,MHRA,09/11/2015,UK Private Vehicle Hire,Information Management,HOGG ROBINSON LTD,600099541,176.92,413640679
Dept of Health,MHRA,09/11/2015,UK Rail/Tube/Tram,Information Management,HOGG ROBINSON LTD,600099541,529.46,413640679
Dept of Health,MHRA,09/11/2015,UK Miscellaneous T&S,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600099541,49.28,413640679
Dept of Health,MHRA,09/11/2015,UK Air,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600099541,8170.85,413640679
Dept of Health,MHRA,09/11/2015,UK Hotel/Accommodation,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600099541,18104.92,413640679
Dept of Health,MHRA,09/11/2015,UK Parking,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600099541,8.44,413640679
Dept of Health,MHRA,09/11/2015,UK Private Vehicle Hire,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600099541,3479.11,413640679
Dept of Health,MHRA,09/11/2015,UK Rail/Tube/Tram,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600099541,18521.87,413640679
