Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Dept of Health,MHRA,03/02/2016,Application Services and Maintenance,Information Management,REDROCK CONSULTING LTD,600101251,42929.6,862247715
Dept of Health,MHRA,09/02/2016,"Service, Integration & Management",Information Management,REPLY LIMITED,600101077,101010,742468814
Dept of Health,MHRA,09/02/2016,Application Services and Maintenance,Information Management,REDROCK CONSULTING LTD,600101159,28775.69,862247715
Dept of Health,MHRA,09/02/2016,Infrastructure Services and Maintenance,Information Management,REDROCK CONSULTING LTD,600101248,74904.11,862247715
Dept of Health,MHRA,09/02/2016,Capital Expenditure,Information Management,REDROCK CONSULTING LTD,600101250,30473.93,862247715
Dept of Health,MHRA,09/02/2016,Infrastructure Services and Maintenance,Information Management,REDROCK CONSULTING LTD,600101256,63579.31,862247715
Dept of Health,MHRA,10/02/2016,Infrastructure Services and Maintenance,Information Management,REDROCK CONSULTING LTD,600101410,34664.21,862247715
Dept of Health,MHRA,10/02/2016,Application Services and Maintenance,Information Management,ORACLE CORPORATION UK LIMITED,600101436,116024.81,391313073
Dept of Health,MHRA,10/02/2016,UK Rail/Tube/Tram,Clinical Practice Research Datalink,HOGG ROBINSON LTD,600101425,16.84,413640679
Dept of Health,MHRA,10/02/2016,Overseas Air,Clinical Practice Research Datalink,HOGG ROBINSON LTD,600101425,-0.66,413640679
Dept of Health,MHRA,10/02/2016,Overseas Hotel/Accommodation,Clinical Practice Research Datalink,HOGG ROBINSON LTD,600101425,3.01,413640679
Dept of Health,MHRA,10/02/2016,UK Rail/Tube/Tram,Communications,HOGG ROBINSON LTD,600101425,154.56,413640679
Dept of Health,MHRA,10/02/2016,UK Hotel/Accommodation,Human Resources,HOGG ROBINSON LTD,600101425,3.01,413640679
Dept of Health,MHRA,10/02/2016,UK Rail/Tube/Tram,Human Resources,HOGG ROBINSON LTD,600101425,149.67,413640679
Dept of Health,MHRA,10/02/2016,UK Private Vehicle Hire,Information Management,HOGG ROBINSON LTD,600101425,63.56,413640679
Dept of Health,MHRA,10/02/2016,UK Rail/Tube/Tram,Information Management,HOGG ROBINSON LTD,600101425,56.2,413640679
Dept of Health,MHRA,10/02/2016,UK Miscellaneous T&S,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600101425,28.68,413640679
Dept of Health,MHRA,10/02/2016,UK Air,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600101425,2249.61,413640679
Dept of Health,MHRA,10/02/2016,UK Hotel/Accommodation,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600101425,23776.52,413640679
Dept of Health,MHRA,10/02/2016,UK Parking,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600101425,4.22,413640679
Dept of Health,MHRA,10/02/2016,UK Private Vehicle Hire,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600101425,785.44,413640679
Dept of Health,MHRA,10/02/2016,UK Rail/Tube/Tram,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600101425,9553.78,413640679
Dept of Health,MHRA,10/02/2016,Overseas Air,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600101425,62073.83,413640679
Dept of Health,MHRA,10/02/2016,Overseas Hotel/Accommodation,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600101425,67.49,413640679
Dept of Health,MHRA,10/02/2016,Overseas Private Vehicle Hire,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600101425,369.61,413640679
Dept of Health,MHRA,10/02/2016,Overseas Rail/Tram,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600101425,20.12,413640679
Dept of Health,MHRA,10/02/2016,Passport/Visa,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600101425,1980.44,413640679
Dept of Health,MHRA,10/02/2016,UK Miscellaneous T&S,Licensing,HOGG ROBINSON LTD,600101425,9.56,413640679
Dept of Health,MHRA,10/02/2016,UK Hotel/Accommodation,Licensing,HOGG ROBINSON LTD,600101425,6.02,413640679
Dept of Health,MHRA,10/02/2016,Overseas Air,Licensing,HOGG ROBINSON LTD,600101425,-62.6,413640679
