Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Dept of Health,MHRA,05/03/2015,Third Party IT Contracts,Information Management,REDROCK CONSULTING LTD,600094222,26526.53,862247715
Dept of Health,MHRA,05/03/2015,Computing Operation Costs,Information Management,ACCENTURE,600094236,203930.54,788629066
Dept of Health,MHRA,05/03/2015,Computing Operation Costs,Information Management,ACCENTURE,600094237,30296.76,788629066
Dept of Health,MHRA,06/03/2015,Third Party IT Contracts,Information Management,REDROCK CONSULTING LTD,600094261,28210.75,862247715
Dept of Health,MHRA,06/03/2015,Third Party IT Contracts,Information Management,REDROCK CONSULTING LTD,600094263,26947.58,862247715
Dept of Health,MHRA,06/03/2015,Third Party IT Contracts,Information Management,REDROCK CONSULTING LTD,600094265,92211.26,862247715
Dept of Health,MHRA,09/03/2015,Laboratory,"Inspection, Enforcement & Standards",LGC (TEDDINGTON) LTD,600094376,41914.8,674056721
Dept of Health,MHRA,12/03/2015,UK Hotel/Accommodation,Clinical Practice Research Datalink,HOGG ROBINSON LTD,600094428,125.54,413640679
Dept of Health,MHRA,12/03/2015,UK Rail/Tube/Tram,Clinical Practice Research Datalink,HOGG ROBINSON LTD,600094428,266.07,413640679
Dept of Health,MHRA,12/03/2015,Overseas Air,Clinical Practice Research Datalink,HOGG ROBINSON LTD,600094428,671.09,413640679
Dept of Health,MHRA,12/03/2015,Overseas Hotel/Accommodation,Clinical Practice Research Datalink,HOGG ROBINSON LTD,600094428,6.04,413640679
Dept of Health,MHRA,12/03/2015,Overseas Rail/Tram,Clinical Practice Research Datalink,HOGG ROBINSON LTD,600094428,146.88,413640679
Dept of Health,MHRA,12/03/2015,UK Hotel/Accommodation,Communications,HOGG ROBINSON LTD,600094428,6.64,413640679
Dept of Health,MHRA,12/03/2015,UK Rail/Tube/Tram,Communications,HOGG ROBINSON LTD,600094428,525.41,413640679
Dept of Health,MHRA,12/03/2015,UK Rail/Tube/Tram,Directorate,HOGG ROBINSON LTD,600094428,58.26,413640679
Dept of Health,MHRA,12/03/2015,UK Rail/Tube/Tram,Finance & Procurement,HOGG ROBINSON LTD,600094428,201.21,413640679
Dept of Health,MHRA,12/03/2015,UK Rail/Tube/Tram,Human Resources,HOGG ROBINSON LTD,600094428,162.25,413640679
Dept of Health,MHRA,12/03/2015,UK Rail/Tube/Tram,Information Management,HOGG ROBINSON LTD,600094428,703.7,413640679
Dept of Health,MHRA,12/03/2015,Overseas Rail/Tram,Information Management,HOGG ROBINSON LTD,600094428,144.86,413640679
Dept of Health,MHRA,12/03/2015,UK Miscellaneous T&S,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600094428,38.24,413640679
Dept of Health,MHRA,12/03/2015,UK Air,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600094428,1038.86,413640679
Dept of Health,MHRA,12/03/2015,UK Hotel/Accommodation,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600094428,27981.65,413640679
Dept of Health,MHRA,12/03/2015,UK Parking,"Inspection, Enforcement & Standards",HOGG ROBINSON LTD,600094428,4.22,413640679
