Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Dept of Health,MHRA,04/08/2010,Capital Expenditure,Information Management,ACCENTURE,600056572,331285.38,788629066
Dept of Health,MHRA,06/08/2010,Professional Subscriptions,Information Management,GARTNER UK LTD,600056835,59748.75,635878884
Dept of Health,MHRA,06/08/2010,Capital Expenditure,Information Management,ACCENTURE,600056972,37025.04,788629066
Dept of Health,MHRA,06/08/2010,Out of Hours IT Work,Information Management,ACCENTURE,600056974,700405.93,788629066
Dept of Health,MHRA,06/08/2010,IT Purchases,Information Management,ACCENTURE,600057049,254003.56,788629066
Dept of Health,MHRA,06/08/2010,Premises Rental,Operations & Finance,HM REVENUE & CUSTOMS,600056976,15448.30,888848141
Dept of Health,MHRA,06/08/2010,Rates,Operations & Finance,HM REVENUE & CUSTOMS,600056976,3398.75,888848141
Dept of Health,MHRA,06/08/2010,Building Maintenance & Utilities,Operations & Finance,HM REVENUE & CUSTOMS,600056976,6681.30,888848141
Dept of Health,MHRA,06/08/2010,Building Maintenance & Utilities,Operations & Finance,DEPARTMENT OF HEALTH,600057030,24994.34,888815064
Dept of Health,MHRA,06/08/2010,Reprographics,Operations & Finance,DEPARTMENT OF HEALTH,600057030,65401.52,888815064
Dept of Health,MHRA,06/08/2010,Facilities Management,Operations & Finance,DEPARTMENT OF HEALTH,600057032,45580.00,888815064
Dept of Health,MHRA,06/08/2010,Security,Operations & Finance,DEPARTMENT OF HEALTH,600057032,53500.00,888815064
Dept of Health,MHRA,06/08/2010,Cleaning,Operations & Finance,DEPARTMENT OF HEALTH,600057032,61000.00,888815064
Dept of Health,MHRA,06/08/2010,Building Maintenance & Utilities,Operations & Finance,DEPARTMENT OF HEALTH,600057032,26451.66,888815064
Dept of Health,MHRA,06/08/2010,Overseas Travel & Subsistence,Licensing,FCM TRAVEL SOLUTIONS,600057054,190.00,662428530
Dept of Health,MHRA,06/08/2010,Overseas Travel & Subsistence,Vigilance and Risk Management of Medicines,FCM TRAVEL SOLUTIONS,600057054,707.40,662428530
Dept of Health,MHRA,06/08/2010,Overseas Travel & Subsistence,"Inspection, Enforcement & Standards",FCM TRAVEL SOLUTIONS,600057054,61577.97,662428530
Dept of Health,MHRA,06/08/2010,Overseas Travel & Subsistence,Policy,FCM TRAVEL SOLUTIONS,600057054,250.00,662428530
Dept of Health,MHRA,06/08/2010,Overseas Travel & Subsistence,Directorate,FCM TRAVEL SOLUTIONS,600057054,122.50,662428530
Dept of Health,MHRA,06/08/2010,Overseas Travel & Subsistence,Devices Medical,FCM TRAVEL SOLUTIONS,600057054,13888.00,662428530
Dept of Health,MHRA,06/08/2010,Overseas Travel & Subsistence,Communications,FCM TRAVEL SOLUTIONS,600057054,-209.00,662428530
Dept of Health,MHRA,06/08/2010,UK Travel & Subsistence,Licensing,FCM TRAVEL SOLUTIONS,600057054,101.00,662428530
Dept of Health,MHRA,06/08/2010,UK Travel & Subsistence,Vigilance and Risk Management of Medicines,FCM TRAVEL SOLUTIONS,600057054,360.90,662428530
Dept of Health,MHRA,06/08/2010,UK Travel & Subsistence,"Inspection, Enforcement & Standards",FCM TRAVEL SOLUTIONS,600057054,6020.72,662428530
Dept of Health,MHRA,06/08/2010,UK Travel & Subsistence,Policy,FCM TRAVEL SOLUTIONS,600057054,238.58,662428530
