Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Departmen of Health,NHS Business Services Authority,01/04/2011,Dental Contractors,Dental Services Division,,,"169,025,538"
Departmen of Health,NHS Business Services Authority,01/04/2011,Pharmacy Contractors,Prescription Pricing Division,,,"730,151,602.12"
Departmen of Health,NHS Business Services Authority,04/04/2011,Envision Retained Services,Pensions Division,PAYMASTER (1836) LIMITED,80003344,"56,012.00"
Departmen of Health,NHS Business Services Authority,04/04/2011,Furniture & Equiptment Capital,Corporate Services,ELECTRIC CENTER,80003310,"61,860.00"
Departmen of Health,NHS Business Services Authority,04/04/2011,Milestone Payments,Corporate Services,CAPITA BUSINESS SERVICES LTD,50017312,"1,100,641.00"
Departmen of Health,NHS Business Services Authority,04/04/2011,Postage Charges,Prescription Pricing Division,ROYAL MAIL,50017289,"25,149.56"
Departmen of Health,NHS Business Services Authority,04/04/2011,IT,Prescription Pricing Division,KOFAX UK LIMITED,50017274,"36,500.00"
Departmen of Health,NHS Business Services Authority,04/04/2011,IT,Prescription Pricing Division,KOFAX UK LIMITED,50017277,"49,500.00"
Departmen of Health,NHS Business Services Authority,04/04/2011,IT,Prescription Pricing Division,KOFAX UK LIMITED,50017279,"50,500.00"
Departmen of Health,NHS Business Services Authority,04/04/2011,Milestone Payments,Corporate Services,CAPITA BUSINESS SERVICES LTD,50017301,"1,165,610.00"
Departmen of Health,NHS Business Services Authority,04/04/2011,IT,Prescription Pricing Division,KAINOS SOFTWARE LIMITED,80003010,"104,870.00"
Departmen of Health,NHS Business Services Authority,04/04/2011,Envision IT / IS,Pensions Division,PAYMASTER (1836) LIMITED,80003350,"105,186.64"
Departmen of Health,NHS Business Services Authority,04/04/2011,Rent,Pensions Division,EUROPEAN PENSIONS MANAGEMENT LTD,50017336,"160,000.00"
Departmen of Health,NHS Business Services Authority,04/04/2011,Temporary Staff,Pensions Division,COMENSURA LTD,50017273,"18,336.10"
Departmen of Health,NHS Business Services Authority,04/04/2011,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,50017273,"10,734.23"
Departmen of Health,NHS Business Services Authority,04/04/2011,Temporary Staff,Pensions Division,COMENSURA LTD,50017297,"34,321.15"
Departmen of Health,NHS Business Services Authority,04/04/2011,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,50017297,"10,615.38"
Departmen of Health,NHS Business Services Authority,06/04/2011,Rates Charges,Counter Fraud & Security Management Service,LONDON BOROUGH OF CAMDEN,80003162,"220,837.50"
Departmen of Health,NHS Business Services Authority,08/04/2011,Envision Medical Fees,Pensions Division,PAYMASTER (1836) LIMITED,50017403,"41,558.29"
Departmen of Health,NHS Business Services Authority,08/04/2011,Envision Payroll,Pensions Division,PAYMASTER (1836) LIMITED,50017402,"44,280.96"
Departmen of Health,NHS Business Services Authority,08/04/2011,Lone Worker Support Services,Counter Fraud & Security Management Service,RELIANCE SECURE TASK MANAGEMENT,50017411,"232,974.78"
Departmen of Health,NHS Business Services Authority,08/04/2011,Lone Worker Support Services,Counter Fraud & Security Management Service,RELIANCE SECURE TASK MANAGEMENT,50017412,"250,784.16"
Departmen of Health,NHS Business Services Authority,08/04/2011,Pharmacy Contractors,Prescription Pricing Division,,,"322,229.14"
Departmen of Health,NHS Business Services Authority,11/04/2011,LAN Maintenance,Prescription Pricing Division,BELFAST CITY COUNCIL,80003605,"40,124.40"
Departmen of Health,NHS Business Services Authority,12/04/2011,Temporary Staff,Pensions Division,COMENSURA LTD,50017388,"9,140.76"
Departmen of Health,NHS Business Services Authority,12/04/2011,Temporary Staff,Prescription Pricing Division,COMENSURA LTD,50017388,"17,301.82"
Departmen of Health,NHS Business Services Authority,14/04/2011,Milestone Payments,Corporate Services,CAPITA BUSINESS SERVICES LTD,50017533,"55,678.80"
Departmen of Health,NHS Business Services Authority,14/04/2011,Milestone Payments,Corporate Services,CAPITA BUSINESS SERVICES LTD,50017521,"135,457.00"
Departmen of Health,NHS Business Services Authority,14/04/2011,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,50017559,"29,577.64"
Departmen of Health,NHS Business Services Authority,14/04/2011,Telphone Charges,Pensions Division,PROLOG,50017541,"169,679.13"
Departmen of Health,NHS Business Services Authority,15/04/2011,Childcare Vouchers,Childcare Voucher,CHILDCARE VOUCHERS LTD,50017564,"33,452.23"
Departmen of Health,NHS Business Services Authority,15/04/2011,Milestone Payments,Corporate Services,CAPITA BUSINESS SERVICES LTD,50017526,"1,320,127.00"
Departmen of Health,NHS Business Services Authority,15/04/2011,Milestone Payments,Corporate Services,CAPITA BUSINESS SERVICES LTD,50017527,"372,000.00"
Departmen of Health,NHS Business Services Authority,15/04/2011,Milestone Payments,Corporate Services,CAPITA BUSINESS SERVICES LTD,50017528,"755,376.00"
Departmen of Health,NHS Business Services Authority,15/04/2011,Milestone Payments,Corporate Services,CAPITA BUSINESS SERVICES LTD,50017529,"290,516.40"
Departmen of Health,NHS Business Services Authority,15/04/2011,Milestone Payments,Corporate Services,CAPITA BUSINESS SERVICES LTD,50017530,"708,321.60"
Departmen of Health,NHS Business Services Authority,15/04/2011,Milestone Payments,Corporate Services,CAPITA BUSINESS SERVICES LTD,50017531,"551,940.00"
Departmen of Health,NHS Business Services Authority,15/04/2011,Milestone Payments,Corporate Services,CAPITA BUSINESS SERVICES LTD,50017532,"463,441.20"
Departmen of Health,NHS Business Services Authority,15/04/2011,Milestone Payments,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,80003782,"30,800.00"
Departmen of Health,NHS Business Services Authority,18/04/2011,Envision Medical Services,Pensions Division,PAYMASTER (1836) LIMITED,50017593,"794,907.90"
Departmen of Health,NHS Business Services Authority,19/04/2011,Postage Charges,Prescription Pricing Division,ROYAL MAIL,50017585,"36,397.58"
Departmen of Health,NHS Business Services Authority,19/04/2011,Postage Charges,Prescription Pricing Division,ROYAL MAIL,50017586,"28,061.45"
Departmen of Health,NHS Business Services Authority,19/04/2011,Printing Charges (External),Prescription Pricing Division,THAMES CARD TECHNOLOGY LTD,80003709,"23,630.78"
Departmen of Health,NHS Business Services Authority,20/04/2011,Printing Charges (External),Prescription Pricing Division,3M SECURITY PRINTING & SYSTEMS LTD,50017606,"38,688.23"
Departmen of Health,NHS Business Services Authority,20/04/2011,IT,Prescription Pricing Division,KOFAX UK LIMITED,50017628,"30,915.00"
Departmen of Health,NHS Business Services Authority,20/04/2011,IT,Prescription Pricing Division,KOFAX UK LIMITED,50017629,"28,104.00"
Departmen of Health,NHS Business Services Authority,21/04/2011,Lone Worker Support Services,Counter Fraud & Security Management Service,RELIANCE SECURE TASK MANAGEMENT,50017682,"265,755.91"
Departmen of Health,NHS Business Services Authority,21/04/2011,Lone Worker Support Services,Counter Fraud & Security Management Service,RELIANCE SECURE TASK MANAGEMENT,50017684,"262,943.62"
Departmen of Health,NHS Business Services Authority,21/04/2011,Lone Worker Support Services,Counter Fraud & Security Management Service,RELIANCE SECURE TASK MANAGEMENT,50017686,"259,514.29"
Departmen of Health,NHS Business Services Authority,21/04/2011,Printing Charges (External),Prescription Pricing Division,THE STATIONERY OFFICE,50017654,"27,633.61"
Departmen of Health,NHS Business Services Authority,21/04/2011,Printing Charges (External),Prescription Pricing Division,THAMES CARD TECHNOLOGY LTD,80003708,"54,406.00"
Departmen of Health,NHS Business Services Authority,21/04/2011,Professional Fees,Prescription Pricing Division,KCOM,50017702,"26,539.30"
Departmen of Health,NHS Business Services Authority,28/04/2011,Pharmacy Contractors,Prescription Pricing Division,,,"826,670,639.03"
