Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Departmen of Health,NHS Business Services Authority,01/04/2010,Rates Charges,Pensions Division,WYRE BOROUGH COUNCIL,0050000032,"182,449.00"
Departmen of Health,NHS Business Services Authority,01/04/2010,Rent,Pensions Division,EUROPEAN PENSIONS MANAGEMENT LTD,0050000034,"160,000.00"
Departmen of Health,NHS Business Services Authority,01/04/2010,Dental Contractors,Dental Services Division,,,"165,196,917.00"
Departmen of Health,NHS Business Services Authority,01/04/2010,Pharmacy Contractors,Prescription Pricing Division,,,"713,140,982.95"
Departmen of Health,NHS Business Services Authority,07/04/2010,Pharmacy Contractors,Prescription Pricing Division,,,"156,894.84"
Departmen of Health,NHS Business Services Authority,08/04/2010,Professional Fees,Prescription Pricing Division,DELOITTE MCS LIMITED,0050000213,"61,116.57"
Departmen of Health,NHS Business Services Authority,08/04/2010,Professional Fees,Prescription Pricing Division,DELOITTE MCS LIMITED,0050000214,"31,718.24"
Departmen of Health,NHS Business Services Authority,08/04/2010,Rent,Corporate Services,EMERSON MANAGEMENT SERVICES,0050000218,"134,182.07"
Departmen of Health,NHS Business Services Authority,08/04/2010,Legal Fees General,Pensions Division,ADDLESHAW GODDARD,0050000242,"32,086.02"
Departmen of Health,NHS Business Services Authority,08/04/2010,Envision Retained Services,Pensions Division,PAYMASTER (1836) LIMITED,0050000251,"82,225.18"
Departmen of Health,NHS Business Services Authority,08/04/2010,Envision Retained Services,Pensions Division,PAYMASTER (1836) LIMITED,0050000310,"59,429.70"
Departmen of Health,NHS Business Services Authority,08/04/2010,IT,Prescription Pricing Division,COMPUWARE LTD,0050000323,"51,889.18"
Departmen of Health,NHS Business Services Authority,08/04/2010,Furniture & Equiptment Capital,Corporate Services,OFFICE TEAM LIMITED,0050000336,"31,515.56"
Departmen of Health,NHS Business Services Authority,12/04/2010,Envision Retained Services,Pensions Division,PAYMASTER (1836) LIMITED,0050000412,"80,173.64"
Departmen of Health,NHS Business Services Authority,12/04/2010,Envision Retained Services,Pensions Division,PAYMASTER (1836) LIMITED,0050000414,"64,580.03"
Departmen of Health,NHS Business Services Authority,12/04/2010,NHS Choice,Pensions Division,SCOTTISH GOVERNMENT,0050000436,"70,570.00"
Departmen of Health,NHS Business Services Authority,13/04/2010,Pharmacy Contractors,Prescription Pricing Division,,,"119,848.27"
Departmen of Health,NHS Business Services Authority,14/04/2010,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0050000516,"29,974.18"
Departmen of Health,NHS Business Services Authority,14/04/2010,Furniture & Equiptment Capital,Corporate Services,ALBANY OFFICE EQUIPMENT (WHOLESALE) LTD,0050000525,"33,475.75"
Departmen of Health,NHS Business Services Authority,14/04/2010,Astron Contract,Dental Services Division,RR DONNELLEY GLOBAL DOCUMENT SOLUTIONS,0050000533,"139,535.66"
Departmen of Health,NHS Business Services Authority,14/04/2010,Astron Contract,Dental Services Division,RR DONNELLEY GLOBAL DOCUMENT SOLUTIONS,0050000535,"40,837.79"
Departmen of Health,NHS Business Services Authority,14/04/2010,Professional Fees,Corporate Services,PA CONSULTING GROUP,0050000644,"38,585.48"
Departmen of Health,NHS Business Services Authority,14/04/2010,Printing Charges (External),Prescription Pricing Division,3M SECURITY PRINTING & SYSTEMS LTD,0050000652,"22,388.78"
Departmen of Health,NHS Business Services Authority,14/04/2010,Professional Fees,Prescription Pricing Division,KGS LIMITED,0050000696,"33,873.79"
Departmen of Health,NHS Business Services Authority,14/04/2010,IT,Prescription Pricing Division,MISCO COMPUTER SUPPLIES LTD,0050000711,"23,660.00"
Departmen of Health,NHS Business Services Authority,14/04/2010,IT,Prescription Pricing Division,MISCO COMPUTER SUPPLIES LTD,0050000714,"94,220.00"
Departmen of Health,NHS Business Services Authority,14/04/2010,Equipment Repairs & Maintenance,Corporate Services,HEAT WORKS LTD,0050000721,"27,337.00"
Departmen of Health,NHS Business Services Authority,14/04/2010,Childcare Vouchers,Childcare Voucher,CHILDCARE VOUCHERS LTD,0050000710,"26,918.74"
Departmen of Health,NHS Business Services Authority,14/04/2010,Childcare Vouchers,Corporate Services,CHILDCARE VOUCHERS LTD,0050000710,"1,186.10"
Departmen of Health,NHS Business Services Authority,14/04/2010,Rates Charges,Counter Fraud & Security Management Service,COVENTRY CITY COUNCIL,0050000585,"37,674.00"
Departmen of Health,NHS Business Services Authority,15/04/2010,Pharmacy Contractors,Prescription Pricing Division,,,"21,658.44"
Departmen of Health,NHS Business Services Authority,16/04/2010,Pharmacy Contractors,Prescription Pricing Division,,,"10,823.45"
Departmen of Health,NHS Business Services Authority,21/04/2010,Astron Contract,Dental Services Division,RR DONNELLEY GLOBAL DOCUMENT SOLUTIONS,0050000860,"27,303.77"
Departmen of Health,NHS Business Services Authority,21/04/2010,Envision Retained Services,Pensions Division,PAYMASTER (1836) LIMITED,0050000825,"123,835.00"
Departmen of Health,NHS Business Services Authority,21/04/2010,Envision Retained Services,Pensions Division,PAYMASTER (1836) LIMITED,0050000826,"109,962.00"
Departmen of Health,NHS Business Services Authority,21/04/2010,Envision Retained Services,Pensions Division,PAYMASTER (1836) LIMITED,0050000828,"78,237.00"
Departmen of Health,NHS Business Services Authority,21/04/2010,Envision Retained Services,Pensions Division,PAYMASTER (1836) LIMITED,0050000829,"57,381.00"
Departmen of Health,NHS Business Services Authority,21/04/2010,Envision Retained Services,Pensions Division,PAYMASTER (1836) LIMITED,0050001097,"749,787.09"
Departmen of Health,NHS Business Services Authority,21/04/2010,Equipment Repairs & Maintenance,Corporate Services,HFX LIMITED,0050000856,"24,958.05"
Departmen of Health,NHS Business Services Authority,21/04/2010,Equipment Repairs & Maintenance,Pensions Division,HFX LIMITED,0050000856,"4,084.33"
Departmen of Health,NHS Business Services Authority,21/04/2010,Professional Fees,Pensions Division,CAPGEMINI UK PLC,0050000820,"120,401.35"
Departmen of Health,NHS Business Services Authority,21/04/2010,Professional Fees,Counter Fraud & Security Management Service,DRIVERS JONAS LLP,0050000840,"24,239.00"
Departmen of Health,NHS Business Services Authority,21/04/2010,Rates Charges,Dental Services Division,EASTBOURNE BOROUGH COUNCIL,0050000844,"149,333.54"
Departmen of Health,NHS Business Services Authority,21/04/2010,Rent,Corporate Services,STOREYS:SSP PROPERTY MANAGEMENT,0050000796,"68,864.25"
Departmen of Health,NHS Business Services Authority,21/04/2010,Sun System Maintenance,Prescription Pricing Division,COMPUTACENTER (UK) LTD,0050000795,"111,318.82"
Departmen of Health,NHS Business Services Authority,21/04/2010,Telphone Charges,Pensions Division,PROLOG,0050001045,"67,351.61"
Departmen of Health,NHS Business Services Authority,21/04/2010,Telphone Charges,Pensions Division,PROLOG,0050001058,"60,973.58"
Departmen of Health,NHS Business Services Authority,23/04/2010,Envision Retained Services,Pensions Division,PAYMASTER (1836) LIMITED,0050001304,"44,765.50"
Departmen of Health,NHS Business Services Authority,23/04/2010,General Maintenance,Corporate Services,COMMERCIAL & INDUSTRIAL INTERIORS LTD,0050001283,"46,395.00"
Departmen of Health,NHS Business Services Authority,23/04/2010,Internal Audit Fees,Corporate Services,PRICEWATERHOUSE COOPERS LLP,0050001251,"22,034.93"
Departmen of Health,NHS Business Services Authority,26/04/2010,Envision Retained Services,Pensions Division,PAYMASTER (1836) LIMITED,0050001369,"57,906.35"
Departmen of Health,NHS Business Services Authority,26/04/2010,Printing Charges (External),Prescription Pricing Division,THE STATIONERY OFFICE,0050001491,"29,713.00"
Departmen of Health,NHS Business Services Authority,26/04/2010,Professional Fees,Pensions Division,PAYMASTER (1836) LIMITED,0050001373,"31,853.78"
Departmen of Health,NHS Business Services Authority,26/04/2010,Professional Fees,Pensions Division,SAPIENT LIMITED,0050001387,"89,775.00"
Departmen of Health,NHS Business Services Authority,26/04/2010,Transport Capital,Prescription Pricing Division,MISCO COMPUTER SUPPLIES LTD,0050001493,"56,400.00"
Departmen of Health,NHS Business Services Authority,28/04/2010,Comms Maintenance & Services,Prescription Pricing Division,KCOM GROUP PLC,0050001601,"72,457.00"
Departmen of Health,NHS Business Services Authority,28/04/2010,Comms Maintenance & Services,Supply Chain Management Division,KCOM GROUP PLC,0050001601,"2,000.00"
Departmen of Health,NHS Business Services Authority,28/04/2010,Comms Maintenance & Services,Prescription Pricing Division,KCOM GROUP PLC,0050001751,"24,720.59"
Departmen of Health,NHS Business Services Authority,28/04/2010,Legal Fees General,Counter Fraud & Security Management Service,DEWEY & LE BEOUF,0050001546,"22,930.40"
Departmen of Health,NHS Business Services Authority,28/04/2010,PC Maintenance,Prescription Pricing Division,COMPUTACENTER (UK) LTD,0050001499,"40,230.89"
Departmen of Health,NHS Business Services Authority,28/04/2010,PC Maintenance,Prescription Pricing Division,COMPUTACENTER (UK) LTD,0050001500,"26,183.00"
Departmen of Health,NHS Business Services Authority,28/04/2010,PC Purchases,Counter Fraud & Security Management Service,COMPUTACENTER (UK) LTD,0050001604,"30,155.80"
Departmen of Health,NHS Business Services Authority,28/04/2010,Photocopier Rental,Prescription Pricing Division,XEROX (UK) LTD,0050000859,"50,592.04"
Departmen of Health,NHS Business Services Authority,28/04/2010,Professional Fees,Pensions Division,RECRUITMENT ZONE LIMITED,0050001687,"34,160.00"
Departmen of Health,NHS Business Services Authority,28/04/2010,Storage Costs,Prescription Pricing Division,HARROW GREEN LIMITED,0050001673,"37,728.25"
Departmen of Health,NHS Business Services Authority,28/04/2010,Transport Capital,Prescription Pricing Division,MISCO COMPUTER SUPPLIES LTD,0050001757,"66,199.50"
Departmen of Health,NHS Business Services Authority,29/04/2010,Astron Contract,Corporate Services,CAPITA BUSINESS SERVICES LTD,0050001903,"176,017.00"
Departmen of Health,NHS Business Services Authority,29/04/2010,Professional Fees,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0050001905,"24,548.00"
Departmen of Health,NHS Business Services Authority,29/04/2010,Software Licences,Corporate Services,CAPITA BUSINESS SERVICES LTD,0050001902,"1,813,722.95"
Departmen of Health,NHS Business Services Authority,29/04/2010,Software Licences,Corporate Services,CAPITA BUSINESS SERVICES LTD,0050001904,"181,371.83"
Departmen of Health,NHS Business Services Authority,30/04/2010,Pharmacy Contractors,Prescription Pricing Division,,,"790,893,789.32"
